index,Average Return,Timesteps,env,algorithm_name
0,784.9828904081779,0,Ant-v3,SAC_Q2a
1,-600.7169384896421,5000,Ant-v3,SAC_Q2a
2,-84.3754408273919,10000,Ant-v3,SAC_Q2a
3,-91.04493329147368,15000,Ant-v3,SAC_Q2a
4,519.9877087768266,20000,Ant-v3,SAC_Q2a
5,539.2734678070144,25000,Ant-v3,SAC_Q2a
6,723.9181659502123,30000,Ant-v3,SAC_Q2a
7,794.116070155973,35000,Ant-v3,SAC_Q2a
8,840.1652631451309,40000,Ant-v3,SAC_Q2a
9,848.675941427137,45000,Ant-v3,SAC_Q2a
10,867.0516657740378,50000,Ant-v3,SAC_Q2a
11,873.0169522791251,55000,Ant-v3,SAC_Q2a
12,803.7806340118343,60000,Ant-v3,SAC_Q2a
13,806.0626491617172,65000,Ant-v3,SAC_Q2a
14,916.027574153303,70000,Ant-v3,SAC_Q2a
15,870.3966758870481,75000,Ant-v3,SAC_Q2a
16,908.2583849681723,80000,Ant-v3,SAC_Q2a
17,917.0521619698427,85000,Ant-v3,SAC_Q2a
18,910.3902430407497,90000,Ant-v3,SAC_Q2a
19,931.7960590195833,95000,Ant-v3,SAC_Q2a
20,928.2664334979665,100000,Ant-v3,SAC_Q2a
21,928.7735866779565,105000,Ant-v3,SAC_Q2a
22,937.1849977600807,110000,Ant-v3,SAC_Q2a
23,936.7701700370383,115000,Ant-v3,SAC_Q2a
24,940.6812289044768,120000,Ant-v3,SAC_Q2a
25,930.7314012581276,125000,Ant-v3,SAC_Q2a
26,884.416404871827,130000,Ant-v3,SAC_Q2a
27,928.1557770839485,135000,Ant-v3,SAC_Q2a
28,944.6928121861098,140000,Ant-v3,SAC_Q2a
29,939.7140459951567,145000,Ant-v3,SAC_Q2a
30,925.9193989916217,150000,Ant-v3,SAC_Q2a
31,927.069532394514,155000,Ant-v3,SAC_Q2a
32,824.1963299695047,160000,Ant-v3,SAC_Q2a
33,942.4729256358366,165000,Ant-v3,SAC_Q2a
34,848.5827753022638,170000,Ant-v3,SAC_Q2a
35,921.2182663354002,175000,Ant-v3,SAC_Q2a
36,948.6952889400357,180000,Ant-v3,SAC_Q2a
37,946.205638721174,185000,Ant-v3,SAC_Q2a
38,900.3623537253555,190000,Ant-v3,SAC_Q2a
39,942.0417164180504,195000,Ant-v3,SAC_Q2a
40,891.7674268618124,200000,Ant-v3,SAC_Q2a
41,948.4908670450328,205000,Ant-v3,SAC_Q2a
42,935.3437853603064,210000,Ant-v3,SAC_Q2a
43,929.5109995245723,215000,Ant-v3,SAC_Q2a
44,917.1752132221054,220000,Ant-v3,SAC_Q2a
45,953.8558067115421,225000,Ant-v3,SAC_Q2a
46,949.3424760204274,230000,Ant-v3,SAC_Q2a
47,946.5251140039488,235000,Ant-v3,SAC_Q2a
48,955.2095279863312,240000,Ant-v3,SAC_Q2a
49,924.8962120222288,245000,Ant-v3,SAC_Q2a
50,853.7008135113689,250000,Ant-v3,SAC_Q2a
51,935.2020387642149,255000,Ant-v3,SAC_Q2a
52,938.9649733102424,260000,Ant-v3,SAC_Q2a
53,955.2532259146768,265000,Ant-v3,SAC_Q2a
