index,Average Return,Timesteps,env,algorithm_name
0,820.9740105931736,0,Ant-v3,SAC
1,-351.29913575041223,5000,Ant-v3,SAC
2,-1088.0459385971658,10000,Ant-v3,SAC
3,-226.50260411780965,15000,Ant-v3,SAC
4,569.3096000575343,20000,Ant-v3,SAC
5,699.418358498467,25000,Ant-v3,SAC
6,774.1605199876066,30000,Ant-v3,SAC
7,798.2109121541214,35000,Ant-v3,SAC
8,823.7681081175102,40000,Ant-v3,SAC
9,862.5119799510094,45000,Ant-v3,SAC
10,685.0316237273063,50000,Ant-v3,SAC
11,656.3766076653379,55000,Ant-v3,SAC
12,604.8764360180396,60000,Ant-v3,SAC
13,762.1036591312703,65000,Ant-v3,SAC
14,857.2566309808735,70000,Ant-v3,SAC
15,893.9894199535605,75000,Ant-v3,SAC
16,792.6278531153623,80000,Ant-v3,SAC
17,820.662710333698,85000,Ant-v3,SAC
18,873.2931071861749,90000,Ant-v3,SAC
19,858.7572011187965,95000,Ant-v3,SAC
20,904.7266489685305,100000,Ant-v3,SAC
21,875.2170382455084,105000,Ant-v3,SAC
22,917.0370258422776,110000,Ant-v3,SAC
23,878.3118967834107,115000,Ant-v3,SAC
24,908.1695796886697,120000,Ant-v3,SAC
25,893.6665955068087,125000,Ant-v3,SAC
26,739.1410532126503,130000,Ant-v3,SAC
27,711.5212274287853,135000,Ant-v3,SAC
28,748.802924049769,140000,Ant-v3,SAC
29,922.1966987465651,145000,Ant-v3,SAC
30,921.383913996278,150000,Ant-v3,SAC
31,724.0363768350587,155000,Ant-v3,SAC
32,920.2770064770272,160000,Ant-v3,SAC
33,821.3354945120607,165000,Ant-v3,SAC
34,894.1561016378786,170000,Ant-v3,SAC
35,935.977904309358,175000,Ant-v3,SAC
36,844.8724735151193,180000,Ant-v3,SAC
37,912.4581429255265,185000,Ant-v3,SAC
38,938.9151372426738,190000,Ant-v3,SAC
39,923.309273670001,195000,Ant-v3,SAC
40,922.5108150785679,200000,Ant-v3,SAC
41,909.8728297728512,205000,Ant-v3,SAC
42,912.2391907728648,210000,Ant-v3,SAC
43,917.1144362245257,215000,Ant-v3,SAC
44,945.261689345842,220000,Ant-v3,SAC
45,822.6273595319968,225000,Ant-v3,SAC
46,835.7219202669091,230000,Ant-v3,SAC
47,856.2958838163389,235000,Ant-v3,SAC
48,961.7308474549449,240000,Ant-v3,SAC
49,939.3005823724794,245000,Ant-v3,SAC
50,937.5119449375667,250000,Ant-v3,SAC
51,772.3730624767476,255000,Ant-v3,SAC
52,868.2271832418986,260000,Ant-v3,SAC
53,939.51927240243,265000,Ant-v3,SAC
54,539.4938298032346,270000,Ant-v3,SAC
55,920.8723810170038,275000,Ant-v3,SAC
56,811.8145193368701,280000,Ant-v3,SAC
57,945.7593879337916,285000,Ant-v3,SAC
58,778.7598795703308,290000,Ant-v3,SAC
59,947.31002937827,295000,Ant-v3,SAC
60,906.5824427181508,300000,Ant-v3,SAC
61,947.1811556395236,305000,Ant-v3,SAC
62,742.7150172299655,310000,Ant-v3,SAC
63,950.5196249523684,315000,Ant-v3,SAC
64,911.3775635574673,320000,Ant-v3,SAC
65,801.3590716921229,325000,Ant-v3,SAC
66,785.97199607106,330000,Ant-v3,SAC
67,912.7702956175947,335000,Ant-v3,SAC
68,886.4653228280416,340000,Ant-v3,SAC
69,706.7380915881749,345000,Ant-v3,SAC
70,866.1693157932214,350000,Ant-v3,SAC
71,706.4561579540633,355000,Ant-v3,SAC
72,797.1660003808987,360000,Ant-v3,SAC
73,830.9218840262425,365000,Ant-v3,SAC
74,874.6382353848385,370000,Ant-v3,SAC
75,911.0865390150433,375000,Ant-v3,SAC
76,674.2604526623642,380000,Ant-v3,SAC
77,759.3201386943117,385000,Ant-v3,SAC
78,889.1692134116435,390000,Ant-v3,SAC
79,833.4620667213989,395000,Ant-v3,SAC
80,522.4288024671822,400000,Ant-v3,SAC
81,717.24880454959,405000,Ant-v3,SAC
82,707.5691625690276,410000,Ant-v3,SAC
83,1087.5288927723184,415000,Ant-v3,SAC
84,1242.1411803487133,420000,Ant-v3,SAC
