index,Average Return,Timesteps,env,algorithm_name
0,-108.10855539475196,0,BipedalWalker-v3,SAC_Q2a
1,-93.91238455166379,5000,BipedalWalker-v3,SAC_Q2a
2,-115.88943425370182,10000,BipedalWalker-v3,SAC_Q2a
3,-110.38214964424837,15000,BipedalWalker-v3,SAC_Q2a
4,-125.48759426035822,20000,BipedalWalker-v3,SAC_Q2a
5,-93.83914801765368,25000,BipedalWalker-v3,SAC_Q2a
6,-84.90568686942136,30000,BipedalWalker-v3,SAC_Q2a
7,-75.96934257023861,35000,BipedalWalker-v3,SAC_Q2a
8,-109.7619326629447,40000,BipedalWalker-v3,SAC_Q2a
9,-89.74636942849644,45000,BipedalWalker-v3,SAC_Q2a
10,-106.73360041279436,50000,BipedalWalker-v3,SAC_Q2a
11,-105.46127989982065,55000,BipedalWalker-v3,SAC_Q2a
12,-101.2167531293039,60000,BipedalWalker-v3,SAC_Q2a
13,-75.24793982989111,65000,BipedalWalker-v3,SAC_Q2a
14,-81.67482447809796,70000,BipedalWalker-v3,SAC_Q2a
15,-95.08180284937173,75000,BipedalWalker-v3,SAC_Q2a
16,-114.62768065258436,80000,BipedalWalker-v3,SAC_Q2a
17,-95.12212692016746,85000,BipedalWalker-v3,SAC_Q2a
18,-85.50257926467171,90000,BipedalWalker-v3,SAC_Q2a
19,-69.73574610022516,95000,BipedalWalker-v3,SAC_Q2a
20,-64.05429867071702,100000,BipedalWalker-v3,SAC_Q2a
21,-48.1957144171867,105000,BipedalWalker-v3,SAC_Q2a
22,-90.3040406380848,110000,BipedalWalker-v3,SAC_Q2a
23,-31.40100681417632,115000,BipedalWalker-v3,SAC_Q2a
24,-68.66723860367179,120000,BipedalWalker-v3,SAC_Q2a
25,-70.66752654306438,125000,BipedalWalker-v3,SAC_Q2a
26,-72.11276340173968,130000,BipedalWalker-v3,SAC_Q2a
27,-56.939118246215955,135000,BipedalWalker-v3,SAC_Q2a
28,-60.008683880939245,140000,BipedalWalker-v3,SAC_Q2a
29,-71.68080975661316,145000,BipedalWalker-v3,SAC_Q2a
30,-71.08032707829781,150000,BipedalWalker-v3,SAC_Q2a
31,-70.63074215205941,155000,BipedalWalker-v3,SAC_Q2a
32,-41.89582097047317,160000,BipedalWalker-v3,SAC_Q2a
33,-46.55324256440377,165000,BipedalWalker-v3,SAC_Q2a
34,-32.1632489662215,170000,BipedalWalker-v3,SAC_Q2a
35,-60.34503739986483,175000,BipedalWalker-v3,SAC_Q2a
36,-56.13072315220173,180000,BipedalWalker-v3,SAC_Q2a
37,-33.61492330882283,185000,BipedalWalker-v3,SAC_Q2a
38,-43.572131181082995,190000,BipedalWalker-v3,SAC_Q2a
39,-76.4607528986907,195000,BipedalWalker-v3,SAC_Q2a
40,-34.13740107483598,200000,BipedalWalker-v3,SAC_Q2a
41,-56.2967216878137,205000,BipedalWalker-v3,SAC_Q2a
42,-40.816875792814,210000,BipedalWalker-v3,SAC_Q2a
43,-48.66452731320265,215000,BipedalWalker-v3,SAC_Q2a
44,-39.80376103129974,220000,BipedalWalker-v3,SAC_Q2a
45,-87.00329349677307,225000,BipedalWalker-v3,SAC_Q2a
46,-64.40919180494839,230000,BipedalWalker-v3,SAC_Q2a
47,-19.283130478242292,235000,BipedalWalker-v3,SAC_Q2a
48,-43.71177617182483,240000,BipedalWalker-v3,SAC_Q2a
49,-49.04542900780471,245000,BipedalWalker-v3,SAC_Q2a
50,-59.15282580184301,250000,BipedalWalker-v3,SAC_Q2a
51,-26.865318980281256,255000,BipedalWalker-v3,SAC_Q2a
52,-33.370808918034626,260000,BipedalWalker-v3,SAC_Q2a
53,-16.94255912605309,265000,BipedalWalker-v3,SAC_Q2a
54,-15.180193863020696,270000,BipedalWalker-v3,SAC_Q2a
55,-29.60306392220325,275000,BipedalWalker-v3,SAC_Q2a
56,-25.44041346237833,280000,BipedalWalker-v3,SAC_Q2a
57,-39.08249609584575,285000,BipedalWalker-v3,SAC_Q2a
58,-62.817375140476635,290000,BipedalWalker-v3,SAC_Q2a
59,-50.06958682457846,295000,BipedalWalker-v3,SAC_Q2a
60,-36.281187387176686,300000,BipedalWalker-v3,SAC_Q2a
61,-10.609398371370059,305000,BipedalWalker-v3,SAC_Q2a
62,20.011821845170395,310000,BipedalWalker-v3,SAC_Q2a
63,-4.340557073717591,315000,BipedalWalker-v3,SAC_Q2a
64,22.998718751703883,320000,BipedalWalker-v3,SAC_Q2a
65,52.99267717232667,325000,BipedalWalker-v3,SAC_Q2a
66,31.94695401615248,330000,BipedalWalker-v3,SAC_Q2a
67,19.369390403713105,335000,BipedalWalker-v3,SAC_Q2a
68,46.53055886659614,340000,BipedalWalker-v3,SAC_Q2a
69,45.28792357738507,345000,BipedalWalker-v3,SAC_Q2a
70,55.30191397958163,350000,BipedalWalker-v3,SAC_Q2a
71,31.549432455245352,355000,BipedalWalker-v3,SAC_Q2a
72,39.13892506710867,360000,BipedalWalker-v3,SAC_Q2a
73,49.05372943911587,365000,BipedalWalker-v3,SAC_Q2a
74,59.524594322968575,370000,BipedalWalker-v3,SAC_Q2a
75,44.11992831506556,375000,BipedalWalker-v3,SAC_Q2a
76,48.51923408343008,380000,BipedalWalker-v3,SAC_Q2a
77,89.71922805695695,385000,BipedalWalker-v3,SAC_Q2a
78,51.57060324613373,390000,BipedalWalker-v3,SAC_Q2a
79,79.62848583310821,395000,BipedalWalker-v3,SAC_Q2a
80,60.88644309442252,400000,BipedalWalker-v3,SAC_Q2a
81,86.2195802967936,405000,BipedalWalker-v3,SAC_Q2a
82,47.783816286674934,410000,BipedalWalker-v3,SAC_Q2a
83,73.886537371799,415000,BipedalWalker-v3,SAC_Q2a
84,91.08706035691004,420000,BipedalWalker-v3,SAC_Q2a
85,90.00145871968952,425000,BipedalWalker-v3,SAC_Q2a
86,88.09825886029431,430000,BipedalWalker-v3,SAC_Q2a
87,155.41942070060435,435000,BipedalWalker-v3,SAC_Q2a
88,152.0289849774935,440000,BipedalWalker-v3,SAC_Q2a
89,91.22000805796249,445000,BipedalWalker-v3,SAC_Q2a
90,182.31644008373092,450000,BipedalWalker-v3,SAC_Q2a
91,44.87428022236192,455000,BipedalWalker-v3,SAC_Q2a
92,135.35684852982328,460000,BipedalWalker-v3,SAC_Q2a
93,240.85072402291388,465000,BipedalWalker-v3,SAC_Q2a
94,256.60430695592333,470000,BipedalWalker-v3,SAC_Q2a
95,254.2158346573758,475000,BipedalWalker-v3,SAC_Q2a
96,254.3572396003131,480000,BipedalWalker-v3,SAC_Q2a
97,217.57996324256055,485000,BipedalWalker-v3,SAC_Q2a
98,253.67020548453152,490000,BipedalWalker-v3,SAC_Q2a
99,196.0790408149976,495000,BipedalWalker-v3,SAC_Q2a
100,226.8551817732386,500000,BipedalWalker-v3,SAC_Q2a
101,79.11426516418801,505000,BipedalWalker-v3,SAC_Q2a
102,271.28652996854396,510000,BipedalWalker-v3,SAC_Q2a
103,282.3071767192562,515000,BipedalWalker-v3,SAC_Q2a
104,286.56778553730487,520000,BipedalWalker-v3,SAC_Q2a
105,278.9540947608573,525000,BipedalWalker-v3,SAC_Q2a
106,284.9474354716774,530000,BipedalWalker-v3,SAC_Q2a
107,246.66457138444224,535000,BipedalWalker-v3,SAC_Q2a
108,251.6204196966744,540000,BipedalWalker-v3,SAC_Q2a
109,275.73985051553666,545000,BipedalWalker-v3,SAC_Q2a
110,284.18233920889963,550000,BipedalWalker-v3,SAC_Q2a
111,273.73897772696466,555000,BipedalWalker-v3,SAC_Q2a
112,288.88741828330336,560000,BipedalWalker-v3,SAC_Q2a
113,289.85885338163814,565000,BipedalWalker-v3,SAC_Q2a
114,292.06911324668533,570000,BipedalWalker-v3,SAC_Q2a
115,289.3161539952305,575000,BipedalWalker-v3,SAC_Q2a
116,295.24353452320054,580000,BipedalWalker-v3,SAC_Q2a
117,284.38590550836716,585000,BipedalWalker-v3,SAC_Q2a
118,297.6399411046052,590000,BipedalWalker-v3,SAC_Q2a
119,292.3366091755266,595000,BipedalWalker-v3,SAC_Q2a
120,295.9037583602958,600000,BipedalWalker-v3,SAC_Q2a
121,296.8399362591599,605000,BipedalWalker-v3,SAC_Q2a
122,295.2363735960202,610000,BipedalWalker-v3,SAC_Q2a
123,302.34977373494064,615000,BipedalWalker-v3,SAC_Q2a
124,298.2551962367546,620000,BipedalWalker-v3,SAC_Q2a
125,286.19268698866006,625000,BipedalWalker-v3,SAC_Q2a
126,242.71461867483453,630000,BipedalWalker-v3,SAC_Q2a
127,266.9731130137886,635000,BipedalWalker-v3,SAC_Q2a
128,299.778354100274,640000,BipedalWalker-v3,SAC_Q2a
129,301.36574284607764,645000,BipedalWalker-v3,SAC_Q2a
130,298.1447515335843,650000,BipedalWalker-v3,SAC_Q2a
131,302.27767929276075,655000,BipedalWalker-v3,SAC_Q2a
132,302.8988346538962,660000,BipedalWalker-v3,SAC_Q2a
133,270.10497682870175,665000,BipedalWalker-v3,SAC_Q2a
134,140.74261984243338,670000,BipedalWalker-v3,SAC_Q2a
135,301.3114325609639,675000,BipedalWalker-v3,SAC_Q2a
136,276.95400119657086,680000,BipedalWalker-v3,SAC_Q2a
137,302.14008461546734,685000,BipedalWalker-v3,SAC_Q2a
138,304.58719367322243,690000,BipedalWalker-v3,SAC_Q2a
139,253.64057734962688,695000,BipedalWalker-v3,SAC_Q2a
140,300.79211622246146,700000,BipedalWalker-v3,SAC_Q2a
141,305.84343862884623,705000,BipedalWalker-v3,SAC_Q2a
142,300.1663297846013,710000,BipedalWalker-v3,SAC_Q2a
143,304.03668725219853,715000,BipedalWalker-v3,SAC_Q2a
144,301.1164111264734,720000,BipedalWalker-v3,SAC_Q2a
145,269.1814969211624,725000,BipedalWalker-v3,SAC_Q2a
146,302.151018826596,730000,BipedalWalker-v3,SAC_Q2a
147,299.71608812644797,735000,BipedalWalker-v3,SAC_Q2a
148,301.4991294288132,740000,BipedalWalker-v3,SAC_Q2a
149,305.7349608799927,745000,BipedalWalker-v3,SAC_Q2a
150,301.0304779529624,750000,BipedalWalker-v3,SAC_Q2a
151,305.51980780383366,755000,BipedalWalker-v3,SAC_Q2a
152,305.74733683312706,760000,BipedalWalker-v3,SAC_Q2a
153,301.73371377962036,765000,BipedalWalker-v3,SAC_Q2a
154,300.7471746225947,770000,BipedalWalker-v3,SAC_Q2a
155,305.9284683195224,775000,BipedalWalker-v3,SAC_Q2a
156,305.0316957547968,780000,BipedalWalker-v3,SAC_Q2a
157,305.3105410449487,785000,BipedalWalker-v3,SAC_Q2a
158,305.2769220686406,790000,BipedalWalker-v3,SAC_Q2a
159,304.89193740243275,795000,BipedalWalker-v3,SAC_Q2a
160,304.94670388639287,800000,BipedalWalker-v3,SAC_Q2a
161,302.8105458100116,805000,BipedalWalker-v3,SAC_Q2a
162,305.35649157397404,810000,BipedalWalker-v3,SAC_Q2a
163,304.5822865454301,815000,BipedalWalker-v3,SAC_Q2a
164,306.7641761903611,820000,BipedalWalker-v3,SAC_Q2a
165,303.9611094110786,825000,BipedalWalker-v3,SAC_Q2a
166,306.28203119444686,830000,BipedalWalker-v3,SAC_Q2a
167,307.4466593809244,835000,BipedalWalker-v3,SAC_Q2a
168,305.80975448283687,840000,BipedalWalker-v3,SAC_Q2a
169,306.44159414678086,845000,BipedalWalker-v3,SAC_Q2a
170,305.3008147888278,850000,BipedalWalker-v3,SAC_Q2a
171,309.2444173540716,855000,BipedalWalker-v3,SAC_Q2a
172,308.8043221308643,860000,BipedalWalker-v3,SAC_Q2a
173,304.16540657682174,865000,BipedalWalker-v3,SAC_Q2a
174,306.6533766197498,870000,BipedalWalker-v3,SAC_Q2a
175,306.83507630030783,875000,BipedalWalker-v3,SAC_Q2a
176,305.4054650145048,880000,BipedalWalker-v3,SAC_Q2a
177,306.1523413944889,885000,BipedalWalker-v3,SAC_Q2a
178,309.0328052305773,890000,BipedalWalker-v3,SAC_Q2a
179,308.70388371977583,895000,BipedalWalker-v3,SAC_Q2a
180,306.7245420366122,900000,BipedalWalker-v3,SAC_Q2a
181,303.8361993471725,905000,BipedalWalker-v3,SAC_Q2a
182,280.3187319229118,910000,BipedalWalker-v3,SAC_Q2a
183,197.05148450105975,915000,BipedalWalker-v3,SAC_Q2a
184,311.3645044008391,920000,BipedalWalker-v3,SAC_Q2a
