index,Average Return,Timesteps,env,algorithm_name
0,-573.1599737851975,0,HalfCheetah-v3,SAC_Q2a
1,-87.55092987247568,5000,HalfCheetah-v3,SAC_Q2a
2,-318.77193973497987,10000,HalfCheetah-v3,SAC_Q2a
3,-560.5784248951959,15000,HalfCheetah-v3,SAC_Q2a
4,48.12236322327139,20000,HalfCheetah-v3,SAC_Q2a
5,1457.5706681265451,25000,HalfCheetah-v3,SAC_Q2a
6,2110.6341668343002,30000,HalfCheetah-v3,SAC_Q2a
7,3272.8421864728193,35000,HalfCheetah-v3,SAC_Q2a
8,2980.127025593444,40000,HalfCheetah-v3,SAC_Q2a
9,3901.211731341621,45000,HalfCheetah-v3,SAC_Q2a
10,4341.533424250147,50000,HalfCheetah-v3,SAC_Q2a
11,4503.602902375548,55000,HalfCheetah-v3,SAC_Q2a
12,4482.047280579242,60000,HalfCheetah-v3,SAC_Q2a
13,4789.851212159489,65000,HalfCheetah-v3,SAC_Q2a
14,4791.46710102777,70000,HalfCheetah-v3,SAC_Q2a
15,5358.890473664597,75000,HalfCheetah-v3,SAC_Q2a
16,5221.1006896664885,80000,HalfCheetah-v3,SAC_Q2a
17,5515.250264154815,85000,HalfCheetah-v3,SAC_Q2a
18,5527.976813942541,90000,HalfCheetah-v3,SAC_Q2a
19,5566.489224602821,95000,HalfCheetah-v3,SAC_Q2a
20,5565.445551077797,100000,HalfCheetah-v3,SAC_Q2a
21,5561.860678607481,105000,HalfCheetah-v3,SAC_Q2a
22,5465.134204072202,110000,HalfCheetah-v3,SAC_Q2a
23,5858.614077263574,115000,HalfCheetah-v3,SAC_Q2a
24,5905.114612142124,120000,HalfCheetah-v3,SAC_Q2a
25,5702.5747077939495,125000,HalfCheetah-v3,SAC_Q2a
26,6241.991143820308,130000,HalfCheetah-v3,SAC_Q2a
27,6275.117613053477,135000,HalfCheetah-v3,SAC_Q2a
28,6246.335621508546,140000,HalfCheetah-v3,SAC_Q2a
29,6397.104106318413,145000,HalfCheetah-v3,SAC_Q2a
30,6576.566532163859,150000,HalfCheetah-v3,SAC_Q2a
31,6622.752870962422,155000,HalfCheetah-v3,SAC_Q2a
32,6374.865477916967,160000,HalfCheetah-v3,SAC_Q2a
33,6338.613242927329,165000,HalfCheetah-v3,SAC_Q2a
34,6319.306877799871,170000,HalfCheetah-v3,SAC_Q2a
35,6949.514098660811,175000,HalfCheetah-v3,SAC_Q2a
36,6212.639481734884,180000,HalfCheetah-v3,SAC_Q2a
37,6628.832912496885,185000,HalfCheetah-v3,SAC_Q2a
38,7019.588852508918,190000,HalfCheetah-v3,SAC_Q2a
39,6540.791421394004,195000,HalfCheetah-v3,SAC_Q2a
40,7215.456472006782,200000,HalfCheetah-v3,SAC_Q2a
41,7218.442075357963,205000,HalfCheetah-v3,SAC_Q2a
42,7392.364205382369,210000,HalfCheetah-v3,SAC_Q2a
43,7271.631422996618,215000,HalfCheetah-v3,SAC_Q2a
44,7427.950140450111,220000,HalfCheetah-v3,SAC_Q2a
45,7286.212534061693,225000,HalfCheetah-v3,SAC_Q2a
46,7490.191715771221,230000,HalfCheetah-v3,SAC_Q2a
47,7539.766320436918,235000,HalfCheetah-v3,SAC_Q2a
48,6051.993003482376,240000,HalfCheetah-v3,SAC_Q2a
49,7754.793679923854,245000,HalfCheetah-v3,SAC_Q2a
50,7713.135494440282,250000,HalfCheetah-v3,SAC_Q2a
51,7659.956936420652,255000,HalfCheetah-v3,SAC_Q2a
52,7742.735851880349,260000,HalfCheetah-v3,SAC_Q2a
53,7788.552276701669,265000,HalfCheetah-v3,SAC_Q2a
54,7739.010728757732,270000,HalfCheetah-v3,SAC_Q2a
55,7577.281934077733,275000,HalfCheetah-v3,SAC_Q2a
56,7995.759565527241,280000,HalfCheetah-v3,SAC_Q2a
57,7736.4910759292525,285000,HalfCheetah-v3,SAC_Q2a
58,8013.054563252091,290000,HalfCheetah-v3,SAC_Q2a
59,8020.35619174869,295000,HalfCheetah-v3,SAC_Q2a
60,7563.197241656136,300000,HalfCheetah-v3,SAC_Q2a
61,7805.92027733589,305000,HalfCheetah-v3,SAC_Q2a
62,8221.928804135123,310000,HalfCheetah-v3,SAC_Q2a
63,7816.833771517403,315000,HalfCheetah-v3,SAC_Q2a
64,7896.96296951509,320000,HalfCheetah-v3,SAC_Q2a
65,8275.543640716845,325000,HalfCheetah-v3,SAC_Q2a
66,8392.351670493234,330000,HalfCheetah-v3,SAC_Q2a
67,8068.049439450018,335000,HalfCheetah-v3,SAC_Q2a
68,8319.967175510461,340000,HalfCheetah-v3,SAC_Q2a
69,8404.580516166625,345000,HalfCheetah-v3,SAC_Q2a
70,7956.167989415097,350000,HalfCheetah-v3,SAC_Q2a
71,8371.960535873532,355000,HalfCheetah-v3,SAC_Q2a
72,8440.0508306652,360000,HalfCheetah-v3,SAC_Q2a
73,8475.09129767834,365000,HalfCheetah-v3,SAC_Q2a
74,8375.307981200433,370000,HalfCheetah-v3,SAC_Q2a
75,8392.666881305982,375000,HalfCheetah-v3,SAC_Q2a
76,8602.347922347779,380000,HalfCheetah-v3,SAC_Q2a
77,8619.09631986761,385000,HalfCheetah-v3,SAC_Q2a
78,8510.091650431279,390000,HalfCheetah-v3,SAC_Q2a
79,8747.968061269605,395000,HalfCheetah-v3,SAC_Q2a
80,8658.222888176757,400000,HalfCheetah-v3,SAC_Q2a
81,8679.878808749061,405000,HalfCheetah-v3,SAC_Q2a
82,8783.797783447766,410000,HalfCheetah-v3,SAC_Q2a
83,8850.82987205435,415000,HalfCheetah-v3,SAC_Q2a
84,8949.819363767492,420000,HalfCheetah-v3,SAC_Q2a
85,8991.423536041726,425000,HalfCheetah-v3,SAC_Q2a
86,8975.170126507877,430000,HalfCheetah-v3,SAC_Q2a
87,9022.167623504363,435000,HalfCheetah-v3,SAC_Q2a
88,9076.559860878853,440000,HalfCheetah-v3,SAC_Q2a
89,9277.45974355605,445000,HalfCheetah-v3,SAC_Q2a
90,9128.465514230069,450000,HalfCheetah-v3,SAC_Q2a
91,9172.319241813406,455000,HalfCheetah-v3,SAC_Q2a
92,9207.36296445173,460000,HalfCheetah-v3,SAC_Q2a
93,9126.151624772254,465000,HalfCheetah-v3,SAC_Q2a
94,9533.599094027064,470000,HalfCheetah-v3,SAC_Q2a
95,9348.317959198339,475000,HalfCheetah-v3,SAC_Q2a
96,9608.86274831773,480000,HalfCheetah-v3,SAC_Q2a
97,9673.350610254189,485000,HalfCheetah-v3,SAC_Q2a
98,9659.237177995497,490000,HalfCheetah-v3,SAC_Q2a
99,9528.30648059398,495000,HalfCheetah-v3,SAC_Q2a
100,9757.107389952005,500000,HalfCheetah-v3,SAC_Q2a
101,9724.355087147682,505000,HalfCheetah-v3,SAC_Q2a
102,9700.484179488963,510000,HalfCheetah-v3,SAC_Q2a
103,9671.779376873408,515000,HalfCheetah-v3,SAC_Q2a
104,9973.534407033283,520000,HalfCheetah-v3,SAC_Q2a
105,9970.12009112693,525000,HalfCheetah-v3,SAC_Q2a
106,9828.957856496425,530000,HalfCheetah-v3,SAC_Q2a
107,9892.317100747507,535000,HalfCheetah-v3,SAC_Q2a
108,9909.376524697944,540000,HalfCheetah-v3,SAC_Q2a
109,10009.329248907778,545000,HalfCheetah-v3,SAC_Q2a
110,10002.067661572475,550000,HalfCheetah-v3,SAC_Q2a
111,10081.408825342029,555000,HalfCheetah-v3,SAC_Q2a
112,10142.253824568175,560000,HalfCheetah-v3,SAC_Q2a
113,10197.384061832974,565000,HalfCheetah-v3,SAC_Q2a
114,10132.588607931513,570000,HalfCheetah-v3,SAC_Q2a
115,10197.154574816079,575000,HalfCheetah-v3,SAC_Q2a
116,10340.544098192497,580000,HalfCheetah-v3,SAC_Q2a
117,10465.211737787173,585000,HalfCheetah-v3,SAC_Q2a
118,10353.362914443524,590000,HalfCheetah-v3,SAC_Q2a
119,10369.827191803297,595000,HalfCheetah-v3,SAC_Q2a
120,10030.5012392517,600000,HalfCheetah-v3,SAC_Q2a
121,10420.183662344123,605000,HalfCheetah-v3,SAC_Q2a
122,10417.183039938107,610000,HalfCheetah-v3,SAC_Q2a
123,10518.008006736703,615000,HalfCheetah-v3,SAC_Q2a
124,10414.556070016875,620000,HalfCheetah-v3,SAC_Q2a
125,10594.894974581652,625000,HalfCheetah-v3,SAC_Q2a
126,10556.185492490862,630000,HalfCheetah-v3,SAC_Q2a
127,10661.854463236708,635000,HalfCheetah-v3,SAC_Q2a
128,10626.005830872093,640000,HalfCheetah-v3,SAC_Q2a
129,10360.123325191093,645000,HalfCheetah-v3,SAC_Q2a
130,10606.532329286178,650000,HalfCheetah-v3,SAC_Q2a
131,10360.119122324188,655000,HalfCheetah-v3,SAC_Q2a
132,10161.607571167275,660000,HalfCheetah-v3,SAC_Q2a
133,10228.99416847798,665000,HalfCheetah-v3,SAC_Q2a
134,10678.955530003186,670000,HalfCheetah-v3,SAC_Q2a
135,10256.496539805961,675000,HalfCheetah-v3,SAC_Q2a
136,10754.559229054563,680000,HalfCheetah-v3,SAC_Q2a
137,10878.36503480758,685000,HalfCheetah-v3,SAC_Q2a
138,10993.214881958038,690000,HalfCheetah-v3,SAC_Q2a
139,10844.33602607268,695000,HalfCheetah-v3,SAC_Q2a
140,10501.923453413929,700000,HalfCheetah-v3,SAC_Q2a
141,10873.966531248432,705000,HalfCheetah-v3,SAC_Q2a
142,10998.889728135087,710000,HalfCheetah-v3,SAC_Q2a
143,10895.213763402393,715000,HalfCheetah-v3,SAC_Q2a
144,11007.955845926484,720000,HalfCheetah-v3,SAC_Q2a
145,10576.27625110612,725000,HalfCheetah-v3,SAC_Q2a
146,10857.356144935207,730000,HalfCheetah-v3,SAC_Q2a
147,10988.207627821397,735000,HalfCheetah-v3,SAC_Q2a
