index,Average Return,Timesteps,env,algorithm_name
0,-44.48669359795691,0,HalfCheetah-v3,SAC
1,-25.226045696691475,5000,HalfCheetah-v3,SAC
2,-236.35730952454924,10000,HalfCheetah-v3,SAC
3,-188.9262895165747,15000,HalfCheetah-v3,SAC
4,-112.13337474636702,20000,HalfCheetah-v3,SAC
5,425.1576191370232,25000,HalfCheetah-v3,SAC
6,1242.1863532144666,30000,HalfCheetah-v3,SAC
7,1713.470766933067,35000,HalfCheetah-v3,SAC
8,1739.688831735693,40000,HalfCheetah-v3,SAC
9,2428.946295531739,45000,HalfCheetah-v3,SAC
10,3490.8406407467073,50000,HalfCheetah-v3,SAC
11,3808.1563032315075,55000,HalfCheetah-v3,SAC
12,3801.563251193137,60000,HalfCheetah-v3,SAC
13,3941.275683536266,65000,HalfCheetah-v3,SAC
14,3899.2174555426327,70000,HalfCheetah-v3,SAC
15,4291.110983399968,75000,HalfCheetah-v3,SAC
16,4303.303853942873,80000,HalfCheetah-v3,SAC
17,4851.269642587444,85000,HalfCheetah-v3,SAC
18,4854.529153893485,90000,HalfCheetah-v3,SAC
19,4879.439723838272,95000,HalfCheetah-v3,SAC
20,4973.908190202952,100000,HalfCheetah-v3,SAC
21,5117.729938249782,105000,HalfCheetah-v3,SAC
22,5005.154862003763,110000,HalfCheetah-v3,SAC
23,5352.055781420211,115000,HalfCheetah-v3,SAC
24,5157.2795403010705,120000,HalfCheetah-v3,SAC
25,5641.548235198906,125000,HalfCheetah-v3,SAC
26,5472.058937693939,130000,HalfCheetah-v3,SAC
27,5804.021174009331,135000,HalfCheetah-v3,SAC
28,5891.224070109406,140000,HalfCheetah-v3,SAC
29,6000.290406712198,145000,HalfCheetah-v3,SAC
30,5999.842621373086,150000,HalfCheetah-v3,SAC
31,5874.419512699858,155000,HalfCheetah-v3,SAC
32,6422.901894987015,160000,HalfCheetah-v3,SAC
33,6637.973925614339,165000,HalfCheetah-v3,SAC
34,6415.419217393288,170000,HalfCheetah-v3,SAC
35,6252.001688133928,175000,HalfCheetah-v3,SAC
36,6414.225346148394,180000,HalfCheetah-v3,SAC
37,6679.534049245973,185000,HalfCheetah-v3,SAC
38,6618.299624404154,190000,HalfCheetah-v3,SAC
39,6907.910253705154,195000,HalfCheetah-v3,SAC
40,6747.632491213725,200000,HalfCheetah-v3,SAC
41,6886.551395901204,205000,HalfCheetah-v3,SAC
42,7022.290833091621,210000,HalfCheetah-v3,SAC
43,6993.8963517245475,215000,HalfCheetah-v3,SAC
44,7167.084356573761,220000,HalfCheetah-v3,SAC
45,7395.226875961751,225000,HalfCheetah-v3,SAC
46,7146.948700910145,230000,HalfCheetah-v3,SAC
47,6979.136005259736,235000,HalfCheetah-v3,SAC
48,6860.679678778135,240000,HalfCheetah-v3,SAC
49,7561.848472673647,245000,HalfCheetah-v3,SAC
50,7643.481835618533,250000,HalfCheetah-v3,SAC
51,7592.449005227529,255000,HalfCheetah-v3,SAC
52,7598.47084515281,260000,HalfCheetah-v3,SAC
53,7593.11550016035,265000,HalfCheetah-v3,SAC
54,7845.689473428785,270000,HalfCheetah-v3,SAC
55,7472.10935861373,275000,HalfCheetah-v3,SAC
56,7814.055328906547,280000,HalfCheetah-v3,SAC
57,7854.9461424588035,285000,HalfCheetah-v3,SAC
58,7825.466163517044,290000,HalfCheetah-v3,SAC
59,7877.5527823265265,295000,HalfCheetah-v3,SAC
60,7864.036267117347,300000,HalfCheetah-v3,SAC
61,7896.344702869363,305000,HalfCheetah-v3,SAC
62,8226.920402495898,310000,HalfCheetah-v3,SAC
63,8225.30371861536,315000,HalfCheetah-v3,SAC
64,8247.64410019821,320000,HalfCheetah-v3,SAC
65,8255.101917604927,325000,HalfCheetah-v3,SAC
66,8355.195751379735,330000,HalfCheetah-v3,SAC
67,8381.63243920026,335000,HalfCheetah-v3,SAC
68,8355.915934024812,340000,HalfCheetah-v3,SAC
69,8443.7799909501,345000,HalfCheetah-v3,SAC
70,8455.892887462784,350000,HalfCheetah-v3,SAC
71,8527.482364976566,355000,HalfCheetah-v3,SAC
72,8529.294957638751,360000,HalfCheetah-v3,SAC
73,8283.474861705577,365000,HalfCheetah-v3,SAC
74,8592.827470426788,370000,HalfCheetah-v3,SAC
75,8706.799103817682,375000,HalfCheetah-v3,SAC
76,8628.169905896546,380000,HalfCheetah-v3,SAC
77,8965.643647148867,385000,HalfCheetah-v3,SAC
78,8872.033991776476,390000,HalfCheetah-v3,SAC
79,8919.70410809806,395000,HalfCheetah-v3,SAC
80,8726.005301190784,400000,HalfCheetah-v3,SAC
81,8881.403640440938,405000,HalfCheetah-v3,SAC
82,8929.643261661353,410000,HalfCheetah-v3,SAC
83,8542.70376771755,415000,HalfCheetah-v3,SAC
84,9038.01400661686,420000,HalfCheetah-v3,SAC
85,9236.918046630864,425000,HalfCheetah-v3,SAC
86,8950.317621054639,430000,HalfCheetah-v3,SAC
87,9247.551515019035,435000,HalfCheetah-v3,SAC
