index,Average Return,Timesteps,env,algorithm_name
0,6.296844043353316,0,Hopper-v3,SAC_Q2a
1,55.382216353551144,5000,Hopper-v3,SAC_Q2a
2,172.43713831966585,10000,Hopper-v3,SAC_Q2a
3,14.009511985874784,15000,Hopper-v3,SAC_Q2a
4,397.43163784528787,20000,Hopper-v3,SAC_Q2a
5,438.0965552671838,25000,Hopper-v3,SAC_Q2a
6,538.4489056456323,30000,Hopper-v3,SAC_Q2a
7,462.4256786893425,35000,Hopper-v3,SAC_Q2a
8,482.44913832721994,40000,Hopper-v3,SAC_Q2a
9,532.2277716054843,45000,Hopper-v3,SAC_Q2a
10,1004.5148194564279,50000,Hopper-v3,SAC_Q2a
11,748.1461249382409,55000,Hopper-v3,SAC_Q2a
12,1067.711427576594,60000,Hopper-v3,SAC_Q2a
13,714.7162278420458,65000,Hopper-v3,SAC_Q2a
14,406.2398841928799,70000,Hopper-v3,SAC_Q2a
15,763.3605260878286,75000,Hopper-v3,SAC_Q2a
16,1280.3306634097303,80000,Hopper-v3,SAC_Q2a
17,625.1372447358824,85000,Hopper-v3,SAC_Q2a
18,1288.1742039834467,90000,Hopper-v3,SAC_Q2a
19,407.3085240998961,95000,Hopper-v3,SAC_Q2a
20,782.7206499954733,100000,Hopper-v3,SAC_Q2a
21,784.1679779667162,105000,Hopper-v3,SAC_Q2a
22,1155.664745183431,110000,Hopper-v3,SAC_Q2a
23,998.5251839875613,115000,Hopper-v3,SAC_Q2a
24,2129.2951117561734,120000,Hopper-v3,SAC_Q2a
25,253.5840432005492,125000,Hopper-v3,SAC_Q2a
26,771.694274846913,130000,Hopper-v3,SAC_Q2a
27,901.7632062398219,135000,Hopper-v3,SAC_Q2a
28,1065.87771279961,140000,Hopper-v3,SAC_Q2a
29,950.7974482444163,145000,Hopper-v3,SAC_Q2a
30,1198.6637304891894,150000,Hopper-v3,SAC_Q2a
31,710.8025935220611,155000,Hopper-v3,SAC_Q2a
32,688.6390121788215,160000,Hopper-v3,SAC_Q2a
33,281.06458035860345,165000,Hopper-v3,SAC_Q2a
34,953.9783480236365,170000,Hopper-v3,SAC_Q2a
35,1353.7847203162003,175000,Hopper-v3,SAC_Q2a
36,1058.1473838775105,180000,Hopper-v3,SAC_Q2a
37,2962.1134648833986,185000,Hopper-v3,SAC_Q2a
38,1202.9045655931375,190000,Hopper-v3,SAC_Q2a
39,3143.9671475003056,195000,Hopper-v3,SAC_Q2a
40,3086.05354518693,200000,Hopper-v3,SAC_Q2a
41,1271.1746453648632,205000,Hopper-v3,SAC_Q2a
42,3129.2304146591014,210000,Hopper-v3,SAC_Q2a
43,3115.0012676401884,215000,Hopper-v3,SAC_Q2a
44,3150.609788794477,220000,Hopper-v3,SAC_Q2a
45,2867.7223252643084,225000,Hopper-v3,SAC_Q2a
46,2608.1717002008913,230000,Hopper-v3,SAC_Q2a
47,2087.7584843438553,235000,Hopper-v3,SAC_Q2a
48,1736.6831366923536,240000,Hopper-v3,SAC_Q2a
49,3239.9346567220555,245000,Hopper-v3,SAC_Q2a
50,3162.966961439769,250000,Hopper-v3,SAC_Q2a
51,3164.1308566859984,255000,Hopper-v3,SAC_Q2a
52,3218.257518714907,260000,Hopper-v3,SAC_Q2a
53,3080.8196725833095,265000,Hopper-v3,SAC_Q2a
54,3225.104483784801,270000,Hopper-v3,SAC_Q2a
55,3010.377005105668,275000,Hopper-v3,SAC_Q2a
56,1998.7586429974497,280000,Hopper-v3,SAC_Q2a
57,1399.1353644758012,285000,Hopper-v3,SAC_Q2a
58,3062.062704238213,290000,Hopper-v3,SAC_Q2a
59,2098.4195325097194,295000,Hopper-v3,SAC_Q2a
60,2405.3471227993878,300000,Hopper-v3,SAC_Q2a
