index,Average Return,Timesteps,env,algorithm_name
0,32.689740566947066,0,Hopper-v3,SAC
1,209.11904529551384,5000,Hopper-v3,SAC
2,164.71512018384493,10000,Hopper-v3,SAC
3,266.5245904043358,15000,Hopper-v3,SAC
4,1010.8753939653346,20000,Hopper-v3,SAC
5,312.453351305979,25000,Hopper-v3,SAC
6,222.2736979791278,30000,Hopper-v3,SAC
7,331.2154045768906,35000,Hopper-v3,SAC
8,1035.0316598984518,40000,Hopper-v3,SAC
9,236.35463944828962,45000,Hopper-v3,SAC
10,361.6813829658878,50000,Hopper-v3,SAC
11,300.7771631870742,55000,Hopper-v3,SAC
12,324.28991565828125,60000,Hopper-v3,SAC
13,334.0812569215941,65000,Hopper-v3,SAC
14,473.83260606358573,70000,Hopper-v3,SAC
15,427.0365018451706,75000,Hopper-v3,SAC
16,1466.6531734112339,80000,Hopper-v3,SAC
17,562.9376628860068,85000,Hopper-v3,SAC
18,1694.473163139934,90000,Hopper-v3,SAC
19,442.119084508734,95000,Hopper-v3,SAC
20,835.8654313999416,100000,Hopper-v3,SAC
21,942.6122976743134,105000,Hopper-v3,SAC
22,982.3863376045031,110000,Hopper-v3,SAC
23,556.9408078567662,115000,Hopper-v3,SAC
24,1591.0036609976546,120000,Hopper-v3,SAC
25,313.18800823030796,125000,Hopper-v3,SAC
26,646.447743156754,130000,Hopper-v3,SAC
27,791.7890458244938,135000,Hopper-v3,SAC
28,1484.385443085451,140000,Hopper-v3,SAC
29,1014.5775943924333,145000,Hopper-v3,SAC
30,892.7935426788456,150000,Hopper-v3,SAC
31,1059.956772377213,155000,Hopper-v3,SAC
32,979.4239712820981,160000,Hopper-v3,SAC
33,916.6661051478984,165000,Hopper-v3,SAC
34,732.7134852549837,170000,Hopper-v3,SAC
35,1016.4147588364552,175000,Hopper-v3,SAC
36,1466.9076801289455,180000,Hopper-v3,SAC
37,1401.669128435175,185000,Hopper-v3,SAC
38,1867.719571912762,190000,Hopper-v3,SAC
39,1234.0761359420135,195000,Hopper-v3,SAC
40,3188.9870221059273,200000,Hopper-v3,SAC
41,2548.316026604813,205000,Hopper-v3,SAC
42,989.4946603370565,210000,Hopper-v3,SAC
43,971.6967339591304,215000,Hopper-v3,SAC
44,1708.6499651976108,220000,Hopper-v3,SAC
45,751.2480658540778,225000,Hopper-v3,SAC
46,1225.460036118288,230000,Hopper-v3,SAC
47,951.3303132377632,235000,Hopper-v3,SAC
48,2950.094258324309,240000,Hopper-v3,SAC
49,1083.1852758740804,245000,Hopper-v3,SAC
50,1923.2202749037988,250000,Hopper-v3,SAC
51,716.5648819168736,255000,Hopper-v3,SAC
52,1535.0056814521986,260000,Hopper-v3,SAC
53,888.0438525650086,265000,Hopper-v3,SAC
54,1669.4950460729444,270000,Hopper-v3,SAC
55,2683.7410172872565,275000,Hopper-v3,SAC
56,587.1929981068099,280000,Hopper-v3,SAC
57,1582.012600759959,285000,Hopper-v3,SAC
58,3185.389423361701,290000,Hopper-v3,SAC
59,1969.1431950430226,295000,Hopper-v3,SAC
60,2006.315063717489,300000,Hopper-v3,SAC
61,2471.7437761811284,305000,Hopper-v3,SAC
62,3206.2889290137414,310000,Hopper-v3,SAC
63,3004.6789438688465,315000,Hopper-v3,SAC
64,2329.6386365479457,320000,Hopper-v3,SAC
65,3343.354274599414,325000,Hopper-v3,SAC
66,2990.3209616999748,330000,Hopper-v3,SAC
67,2857.7573445654402,335000,Hopper-v3,SAC
68,3097.6773225572856,340000,Hopper-v3,SAC
69,1153.1632357456235,345000,Hopper-v3,SAC
70,3399.5391781128274,350000,Hopper-v3,SAC
71,2383.3674733618363,355000,Hopper-v3,SAC
72,3465.7215384766823,360000,Hopper-v3,SAC
73,3365.9270065269325,365000,Hopper-v3,SAC
74,3244.691886238822,370000,Hopper-v3,SAC
75,3273.588090300823,375000,Hopper-v3,SAC
76,2648.0036215383566,380000,Hopper-v3,SAC
77,1980.3498559201503,385000,Hopper-v3,SAC
78,3532.8487436363416,390000,Hopper-v3,SAC
79,3360.3941680494236,395000,Hopper-v3,SAC
80,1056.2434251098298,400000,Hopper-v3,SAC
81,2320.151134021087,405000,Hopper-v3,SAC
82,1569.7829626861135,410000,Hopper-v3,SAC
83,916.1597033557398,415000,Hopper-v3,SAC
84,2714.006660373913,420000,Hopper-v3,SAC
85,1922.0332880773926,425000,Hopper-v3,SAC
86,3692.4329919436504,430000,Hopper-v3,SAC
87,1658.322011528085,435000,Hopper-v3,SAC
88,3530.3615405829332,440000,Hopper-v3,SAC
89,3341.5352265834445,445000,Hopper-v3,SAC
90,3551.373306940328,450000,Hopper-v3,SAC
91,3455.221070489691,455000,Hopper-v3,SAC
92,3576.459739531662,460000,Hopper-v3,SAC
93,3628.309666759451,465000,Hopper-v3,SAC
94,3502.3057190936297,470000,Hopper-v3,SAC
95,3423.1307249141946,475000,Hopper-v3,SAC
96,3551.904017429325,480000,Hopper-v3,SAC
97,1063.5669707862994,485000,Hopper-v3,SAC
98,3472.6352374322537,490000,Hopper-v3,SAC
99,3645.276972785966,495000,Hopper-v3,SAC
100,3565.4791694235732,500000,Hopper-v3,SAC
101,3557.8280955732907,505000,Hopper-v3,SAC
102,3229.8403324523397,510000,Hopper-v3,SAC
103,3626.5112358793062,515000,Hopper-v3,SAC
104,3565.8466368450872,520000,Hopper-v3,SAC
105,3629.670736958451,525000,Hopper-v3,SAC
106,3640.617804490289,530000,Hopper-v3,SAC
107,3594.0889099210667,535000,Hopper-v3,SAC
108,3619.2273585783296,540000,Hopper-v3,SAC
109,3575.858804546865,545000,Hopper-v3,SAC
110,3673.744466553327,550000,Hopper-v3,SAC
111,3570.750213952876,555000,Hopper-v3,SAC
112,3625.7086275274605,560000,Hopper-v3,SAC
113,3627.0780616910915,565000,Hopper-v3,SAC
114,3453.991239868651,570000,Hopper-v3,SAC
115,3538.106464027221,575000,Hopper-v3,SAC
116,3615.753522938162,580000,Hopper-v3,SAC
117,2594.671429616998,585000,Hopper-v3,SAC
118,3431.7980713695883,590000,Hopper-v3,SAC
119,3520.3724445823527,595000,Hopper-v3,SAC
120,2148.0412717119734,600000,Hopper-v3,SAC
121,3241.9978258646256,605000,Hopper-v3,SAC
122,1731.174715753556,610000,Hopper-v3,SAC
123,2797.866902868384,615000,Hopper-v3,SAC
124,3553.6220745738747,620000,Hopper-v3,SAC
125,1639.432356363906,625000,Hopper-v3,SAC
126,1473.7981936483404,630000,Hopper-v3,SAC
127,3238.280316770485,635000,Hopper-v3,SAC
128,2035.0011890892401,640000,Hopper-v3,SAC
129,3121.9797474831653,645000,Hopper-v3,SAC
130,1381.4099884708617,650000,Hopper-v3,SAC
131,3371.5016854012597,655000,Hopper-v3,SAC
132,2409.882382925381,660000,Hopper-v3,SAC
133,3351.7244871055905,665000,Hopper-v3,SAC
134,1412.634761103241,670000,Hopper-v3,SAC
135,1613.8209958928767,675000,Hopper-v3,SAC
136,991.4465706685376,680000,Hopper-v3,SAC
137,1095.0117907271112,685000,Hopper-v3,SAC
138,1234.0509350966033,690000,Hopper-v3,SAC
139,2312.8081340125786,695000,Hopper-v3,SAC
140,1082.897171583277,700000,Hopper-v3,SAC
141,3699.2324859399205,705000,Hopper-v3,SAC
142,3675.197061036445,710000,Hopper-v3,SAC
143,2805.6147937062296,715000,Hopper-v3,SAC
144,1275.318634078277,720000,Hopper-v3,SAC
145,1591.884000424039,725000,Hopper-v3,SAC
146,3672.019500750806,730000,Hopper-v3,SAC
147,3415.973324920365,735000,Hopper-v3,SAC
148,1357.1654111070925,740000,Hopper-v3,SAC
149,2517.999282479671,745000,Hopper-v3,SAC
150,3187.7181159866373,750000,Hopper-v3,SAC
151,1367.6197554944424,755000,Hopper-v3,SAC
152,3655.206247508999,760000,Hopper-v3,SAC
153,3592.4847771528825,765000,Hopper-v3,SAC
154,3617.1647341568532,770000,Hopper-v3,SAC
155,3617.258407491555,775000,Hopper-v3,SAC
156,2562.625594091683,780000,Hopper-v3,SAC
157,3248.0033030305453,785000,Hopper-v3,SAC
158,3668.590185704197,790000,Hopper-v3,SAC
159,3727.7931269415167,795000,Hopper-v3,SAC
160,3691.1410073438565,800000,Hopper-v3,SAC
161,3683.41560820398,805000,Hopper-v3,SAC
162,3612.0598357436734,810000,Hopper-v3,SAC
163,3627.370574366815,815000,Hopper-v3,SAC
