index,Average Return,Timesteps,env,algorithm_name
0,205.5591989323231,0,Humanoid-v3,SAC_Q2a
1,257.4279979337135,5000,Humanoid-v3,SAC_Q2a
2,305.5331949002642,10000,Humanoid-v3,SAC_Q2a
3,397.132964771734,15000,Humanoid-v3,SAC_Q2a
4,523.5215421244528,20000,Humanoid-v3,SAC_Q2a
5,468.21187764539417,25000,Humanoid-v3,SAC_Q2a
6,362.357704220358,30000,Humanoid-v3,SAC_Q2a
7,470.2506298507816,35000,Humanoid-v3,SAC_Q2a
8,405.01959757931587,40000,Humanoid-v3,SAC_Q2a
9,475.7001020179776,45000,Humanoid-v3,SAC_Q2a
10,516.9070746240741,50000,Humanoid-v3,SAC_Q2a
11,557.262382464807,55000,Humanoid-v3,SAC_Q2a
12,493.22256599621517,60000,Humanoid-v3,SAC_Q2a
13,496.5564935279325,65000,Humanoid-v3,SAC_Q2a
14,511.95398669950845,70000,Humanoid-v3,SAC_Q2a
15,587.1190019364606,75000,Humanoid-v3,SAC_Q2a
16,424.4637813011269,80000,Humanoid-v3,SAC_Q2a
17,620.4842150631846,85000,Humanoid-v3,SAC_Q2a
18,468.0842454561481,90000,Humanoid-v3,SAC_Q2a
19,504.4258001184738,95000,Humanoid-v3,SAC_Q2a
20,613.2163563867942,100000,Humanoid-v3,SAC_Q2a
21,670.9511469983211,105000,Humanoid-v3,SAC_Q2a
22,579.4965068759261,110000,Humanoid-v3,SAC_Q2a
23,509.1301932542989,115000,Humanoid-v3,SAC_Q2a
24,655.6077191587719,120000,Humanoid-v3,SAC_Q2a
25,568.6720864731955,125000,Humanoid-v3,SAC_Q2a
26,691.3451833160124,130000,Humanoid-v3,SAC_Q2a
27,613.98692117927,135000,Humanoid-v3,SAC_Q2a
28,502.2693781276622,140000,Humanoid-v3,SAC_Q2a
29,632.2797302814895,145000,Humanoid-v3,SAC_Q2a
30,758.2237653631918,150000,Humanoid-v3,SAC_Q2a
31,637.4668857868423,155000,Humanoid-v3,SAC_Q2a
32,851.7986819680676,160000,Humanoid-v3,SAC_Q2a
33,653.9991187395015,165000,Humanoid-v3,SAC_Q2a
34,574.0403862240557,170000,Humanoid-v3,SAC_Q2a
35,725.9200356014941,175000,Humanoid-v3,SAC_Q2a
36,863.3433338018446,180000,Humanoid-v3,SAC_Q2a
37,676.6904767788848,185000,Humanoid-v3,SAC_Q2a
