index,Average Return,Timesteps,env,algorithm_name
0,71.7796499534414,0,Humanoid-v3,SAC
1,102.80684974873277,5000,Humanoid-v3,SAC
2,242.76795782568288,10000,Humanoid-v3,SAC
3,374.2930839631597,15000,Humanoid-v3,SAC
4,433.4721429966263,20000,Humanoid-v3,SAC
5,488.8630336514955,25000,Humanoid-v3,SAC
6,519.9218281343863,30000,Humanoid-v3,SAC
7,331.3652170966147,35000,Humanoid-v3,SAC
8,402.8602915107379,40000,Humanoid-v3,SAC
9,491.486745243734,45000,Humanoid-v3,SAC
10,436.48917231198874,50000,Humanoid-v3,SAC
11,475.54575510785423,55000,Humanoid-v3,SAC
12,598.694552834075,60000,Humanoid-v3,SAC
13,551.5163491871132,65000,Humanoid-v3,SAC
14,648.3872767772674,70000,Humanoid-v3,SAC
15,366.9169795667611,75000,Humanoid-v3,SAC
16,549.1969850581761,80000,Humanoid-v3,SAC
17,495.39054889909914,85000,Humanoid-v3,SAC
18,594.2614140577673,90000,Humanoid-v3,SAC
19,604.0247211133376,95000,Humanoid-v3,SAC
20,598.7686791949884,100000,Humanoid-v3,SAC
21,589.485328630959,105000,Humanoid-v3,SAC
22,583.1367417861311,110000,Humanoid-v3,SAC
23,599.0979032549126,115000,Humanoid-v3,SAC
24,777.2598008848983,120000,Humanoid-v3,SAC
25,757.18214788808,125000,Humanoid-v3,SAC
26,690.1545160457352,130000,Humanoid-v3,SAC
27,626.095506298649,135000,Humanoid-v3,SAC
28,652.3224968145831,140000,Humanoid-v3,SAC
29,578.0300094622382,145000,Humanoid-v3,SAC
30,598.7636000061359,150000,Humanoid-v3,SAC
31,796.7708307349155,155000,Humanoid-v3,SAC
32,776.3780453712955,160000,Humanoid-v3,SAC
33,757.3310707383758,165000,Humanoid-v3,SAC
34,855.4935656032754,170000,Humanoid-v3,SAC
35,1318.8033045422405,175000,Humanoid-v3,SAC
36,836.7156874888584,180000,Humanoid-v3,SAC
37,929.6474404226958,185000,Humanoid-v3,SAC
38,1275.219743903087,190000,Humanoid-v3,SAC
39,1103.305408879632,195000,Humanoid-v3,SAC
40,1223.466123237915,200000,Humanoid-v3,SAC
41,1020.2094870402794,205000,Humanoid-v3,SAC
42,1252.7087006358063,210000,Humanoid-v3,SAC
43,2017.222043847624,215000,Humanoid-v3,SAC
44,1557.3078429526563,220000,Humanoid-v3,SAC
45,2389.853916222098,225000,Humanoid-v3,SAC
46,1297.4192197096552,230000,Humanoid-v3,SAC
47,2287.492485779297,235000,Humanoid-v3,SAC
48,4093.3921339043677,240000,Humanoid-v3,SAC
49,3056.3586756219916,245000,Humanoid-v3,SAC
50,1186.1284192284097,250000,Humanoid-v3,SAC
51,1455.5425953502152,255000,Humanoid-v3,SAC
52,4650.979078241188,260000,Humanoid-v3,SAC
53,4249.43741057076,265000,Humanoid-v3,SAC
54,3420.80795811261,270000,Humanoid-v3,SAC
55,4185.707486515492,275000,Humanoid-v3,SAC
56,5227.955085904794,280000,Humanoid-v3,SAC
57,1317.898473283431,285000,Humanoid-v3,SAC
58,5232.955053438173,290000,Humanoid-v3,SAC
59,4229.9063369910255,295000,Humanoid-v3,SAC
60,3453.723148244305,300000,Humanoid-v3,SAC
61,3607.006231534154,305000,Humanoid-v3,SAC
62,4515.590995507597,310000,Humanoid-v3,SAC
63,783.9937281563003,315000,Humanoid-v3,SAC
64,1325.1395183096643,320000,Humanoid-v3,SAC
65,3673.313535933822,325000,Humanoid-v3,SAC
66,2067.0062467569132,330000,Humanoid-v3,SAC
67,2841.1104573636817,335000,Humanoid-v3,SAC
68,5277.024179778187,340000,Humanoid-v3,SAC
69,4971.85263517665,345000,Humanoid-v3,SAC
70,3148.5475251603884,350000,Humanoid-v3,SAC
71,3759.2302622260913,355000,Humanoid-v3,SAC
72,4800.644081965662,360000,Humanoid-v3,SAC
73,2340.695438880173,365000,Humanoid-v3,SAC
74,1977.6297999749331,370000,Humanoid-v3,SAC
75,5191.1034375159725,375000,Humanoid-v3,SAC
76,3262.2943852041017,380000,Humanoid-v3,SAC
77,5230.557281534549,385000,Humanoid-v3,SAC
78,3876.4970382402003,390000,Humanoid-v3,SAC
79,3610.505004685514,395000,Humanoid-v3,SAC
80,3543.0682417564008,400000,Humanoid-v3,SAC
81,3739.1467345885967,405000,Humanoid-v3,SAC
82,4531.806236823964,410000,Humanoid-v3,SAC
83,5178.152583862506,415000,Humanoid-v3,SAC
84,5101.253914196043,420000,Humanoid-v3,SAC
85,5010.576150671746,425000,Humanoid-v3,SAC
86,3608.0871124151636,430000,Humanoid-v3,SAC
87,5215.1040483062525,435000,Humanoid-v3,SAC
88,4776.9283016242725,440000,Humanoid-v3,SAC
89,5272.221325156417,445000,Humanoid-v3,SAC
90,3825.221858741629,450000,Humanoid-v3,SAC
91,1911.519262813927,455000,Humanoid-v3,SAC
92,5341.2431549121775,460000,Humanoid-v3,SAC
93,4979.3147974612075,465000,Humanoid-v3,SAC
94,5216.952835986072,470000,Humanoid-v3,SAC
95,4978.270150889519,475000,Humanoid-v3,SAC
96,2217.6661794976685,480000,Humanoid-v3,SAC
97,5095.217764927393,485000,Humanoid-v3,SAC
98,4950.944725372137,490000,Humanoid-v3,SAC
99,3985.8374286595463,495000,Humanoid-v3,SAC
100,5054.87225379684,500000,Humanoid-v3,SAC
101,5297.507495383707,505000,Humanoid-v3,SAC
102,4775.076090816465,510000,Humanoid-v3,SAC
103,5047.107431931979,515000,Humanoid-v3,SAC
104,5182.55289319742,520000,Humanoid-v3,SAC
105,5430.490739823101,525000,Humanoid-v3,SAC
106,3585.8881840225863,530000,Humanoid-v3,SAC
107,5376.718550818555,535000,Humanoid-v3,SAC
108,5342.253285542718,540000,Humanoid-v3,SAC
109,5366.53713706456,545000,Humanoid-v3,SAC
110,5298.725241329315,550000,Humanoid-v3,SAC
111,5079.914590108546,555000,Humanoid-v3,SAC
112,4862.849618425439,560000,Humanoid-v3,SAC
113,5062.002535531035,565000,Humanoid-v3,SAC
114,4090.5912647211526,570000,Humanoid-v3,SAC
115,4228.156712958602,575000,Humanoid-v3,SAC
116,5321.360262170062,580000,Humanoid-v3,SAC
117,5224.776507379861,585000,Humanoid-v3,SAC
118,1796.906320462907,590000,Humanoid-v3,SAC
119,5288.3155116881735,595000,Humanoid-v3,SAC
120,5328.192123805215,600000,Humanoid-v3,SAC
121,5289.60233857554,605000,Humanoid-v3,SAC
122,5278.804076407437,610000,Humanoid-v3,SAC
123,5314.789261027259,615000,Humanoid-v3,SAC
124,5389.4509181012345,620000,Humanoid-v3,SAC
125,5425.121737998694,625000,Humanoid-v3,SAC
126,5342.300010401122,630000,Humanoid-v3,SAC
127,5252.155130357392,635000,Humanoid-v3,SAC
128,5384.885941157194,640000,Humanoid-v3,SAC
129,5146.311180054823,645000,Humanoid-v3,SAC
130,3857.034638079539,650000,Humanoid-v3,SAC
131,5393.872943340755,655000,Humanoid-v3,SAC
132,4348.788350494738,660000,Humanoid-v3,SAC
133,5530.732738580982,665000,Humanoid-v3,SAC
134,5085.431973725867,670000,Humanoid-v3,SAC
135,5383.251477551663,675000,Humanoid-v3,SAC
136,5395.640919718702,680000,Humanoid-v3,SAC
137,4767.049818312212,685000,Humanoid-v3,SAC
138,5122.399173052715,690000,Humanoid-v3,SAC
139,5307.987086902708,695000,Humanoid-v3,SAC
140,3957.2977857359438,700000,Humanoid-v3,SAC
141,4245.802651968856,705000,Humanoid-v3,SAC
142,5007.608776185226,710000,Humanoid-v3,SAC
143,3887.5183246304778,715000,Humanoid-v3,SAC
144,5349.39530063411,720000,Humanoid-v3,SAC
145,3886.43278477404,725000,Humanoid-v3,SAC
146,5309.86951216526,730000,Humanoid-v3,SAC
147,4969.58792029787,735000,Humanoid-v3,SAC
148,5291.465056196617,740000,Humanoid-v3,SAC
149,4150.949518163294,745000,Humanoid-v3,SAC
150,4477.177531464333,750000,Humanoid-v3,SAC
151,3390.2099418985754,755000,Humanoid-v3,SAC
152,5388.299049760778,760000,Humanoid-v3,SAC
153,4102.096849692445,765000,Humanoid-v3,SAC
154,5321.914583254344,770000,Humanoid-v3,SAC
155,5356.246075926321,775000,Humanoid-v3,SAC
156,3978.581489215874,780000,Humanoid-v3,SAC
157,5346.948057656932,785000,Humanoid-v3,SAC
158,5237.164134988974,790000,Humanoid-v3,SAC
159,5445.262741566715,795000,Humanoid-v3,SAC
160,5406.981726753087,800000,Humanoid-v3,SAC
161,5321.843502524688,805000,Humanoid-v3,SAC
162,5447.124489624949,810000,Humanoid-v3,SAC
163,5341.982580798044,815000,Humanoid-v3,SAC
164,2125.337486658827,820000,Humanoid-v3,SAC
165,5039.251244751116,825000,Humanoid-v3,SAC
166,5404.505712149758,830000,Humanoid-v3,SAC
167,3987.4235128506903,835000,Humanoid-v3,SAC
168,5341.667294185571,840000,Humanoid-v3,SAC
169,3922.655534340647,845000,Humanoid-v3,SAC
170,2011.1323554865562,850000,Humanoid-v3,SAC
171,4928.440183984382,855000,Humanoid-v3,SAC
172,5447.814996943696,860000,Humanoid-v3,SAC
173,4723.234940717509,865000,Humanoid-v3,SAC
174,5203.853583095563,870000,Humanoid-v3,SAC
175,4086.356792521098,875000,Humanoid-v3,SAC
176,3361.285336628664,880000,Humanoid-v3,SAC
177,3402.465660365063,885000,Humanoid-v3,SAC
178,5392.374718960085,890000,Humanoid-v3,SAC
179,5390.904467428668,895000,Humanoid-v3,SAC
180,5481.438335236976,900000,Humanoid-v3,SAC
181,5362.2406920924595,905000,Humanoid-v3,SAC
182,4457.927062233395,910000,Humanoid-v3,SAC
183,4251.356158984983,915000,Humanoid-v3,SAC
184,4347.467059365475,920000,Humanoid-v3,SAC
185,5408.30630238953,925000,Humanoid-v3,SAC
186,4334.446275311018,930000,Humanoid-v3,SAC
187,5273.280145994232,935000,Humanoid-v3,SAC
188,5136.399092906126,940000,Humanoid-v3,SAC
189,5125.518782512112,945000,Humanoid-v3,SAC
190,4030.884704181558,950000,Humanoid-v3,SAC
191,5390.750267158988,955000,Humanoid-v3,SAC
192,4265.403670250033,960000,Humanoid-v3,SAC
193,5388.3231557399595,965000,Humanoid-v3,SAC
