index,Average Return,Timesteps,env,algorithm_name
0,2.6072309469617108,0,Walker2d-v3,SAC_Q2a
1,63.505879829236655,5000,Walker2d-v3,SAC_Q2a
2,731.2461844495235,10000,Walker2d-v3,SAC_Q2a
3,362.7543954846903,15000,Walker2d-v3,SAC_Q2a
4,114.76156147605525,20000,Walker2d-v3,SAC_Q2a
5,109.23956728018251,25000,Walker2d-v3,SAC_Q2a
6,256.1717295084537,30000,Walker2d-v3,SAC_Q2a
7,337.9950651551277,35000,Walker2d-v3,SAC_Q2a
8,245.0931979420543,40000,Walker2d-v3,SAC_Q2a
9,206.20424598924333,45000,Walker2d-v3,SAC_Q2a
10,391.5272080860303,50000,Walker2d-v3,SAC_Q2a
11,223.1643068735451,55000,Walker2d-v3,SAC_Q2a
12,372.73805376432006,60000,Walker2d-v3,SAC_Q2a
13,451.9768275211224,65000,Walker2d-v3,SAC_Q2a
14,362.66866530137975,70000,Walker2d-v3,SAC_Q2a
15,385.0986902767836,75000,Walker2d-v3,SAC_Q2a
16,180.03537146573055,80000,Walker2d-v3,SAC_Q2a
17,345.3111495845639,85000,Walker2d-v3,SAC_Q2a
18,462.85009799128204,90000,Walker2d-v3,SAC_Q2a
19,249.46126453862243,95000,Walker2d-v3,SAC_Q2a
20,207.01382870474671,100000,Walker2d-v3,SAC_Q2a
21,475.6466804810957,105000,Walker2d-v3,SAC_Q2a
22,425.2383034773611,110000,Walker2d-v3,SAC_Q2a
23,266.0440962533053,115000,Walker2d-v3,SAC_Q2a
24,418.2591618789452,120000,Walker2d-v3,SAC_Q2a
25,279.12332017211054,125000,Walker2d-v3,SAC_Q2a
26,471.3301006347174,130000,Walker2d-v3,SAC_Q2a
27,348.91708367428237,135000,Walker2d-v3,SAC_Q2a
28,289.8978577935991,140000,Walker2d-v3,SAC_Q2a
29,185.540402203768,145000,Walker2d-v3,SAC_Q2a
30,369.122739656192,150000,Walker2d-v3,SAC_Q2a
31,498.6218696795795,155000,Walker2d-v3,SAC_Q2a
32,254.29043418890154,160000,Walker2d-v3,SAC_Q2a
33,52.507094246688254,165000,Walker2d-v3,SAC_Q2a
34,401.0475067282379,170000,Walker2d-v3,SAC_Q2a
35,554.9801456717219,175000,Walker2d-v3,SAC_Q2a
36,412.2634294655339,180000,Walker2d-v3,SAC_Q2a
37,401.1554673000172,185000,Walker2d-v3,SAC_Q2a
38,699.301998010442,190000,Walker2d-v3,SAC_Q2a
39,338.3728487012543,195000,Walker2d-v3,SAC_Q2a
40,587.3593679987764,200000,Walker2d-v3,SAC_Q2a
41,509.3838152033595,205000,Walker2d-v3,SAC_Q2a
42,535.8832470945607,210000,Walker2d-v3,SAC_Q2a
43,695.8105672710793,215000,Walker2d-v3,SAC_Q2a
44,339.81266180123964,220000,Walker2d-v3,SAC_Q2a
45,327.64780323958524,225000,Walker2d-v3,SAC_Q2a
46,771.4350766788341,230000,Walker2d-v3,SAC_Q2a
47,297.56625905309363,235000,Walker2d-v3,SAC_Q2a
