index,Average Return,Timesteps,env,algorithm_name
0,967.0800020788441,0.0,Ant-v3,TD3_Q2ahidden2x64_facp1
1,969.42414290491,5000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
2,970.0393978920416,10000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
3,784.8950010079672,15000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
4,883.7163774538898,20000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
5,289.33167732721313,25000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
6,667.4612194079192,30000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
7,806.4115362673625,35000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
8,871.8347821472516,40000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
9,771.5628516918475,45000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
10,770.0348723846976,50000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
11,862.9575600619297,55000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
12,853.7914836780889,60000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
13,918.7355672964916,65000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
14,915.5009091155147,70000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
15,928.3909630456228,75000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
16,878.0105126630127,80000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
17,873.4391111254175,85000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
18,889.2912911951207,90000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
19,895.5001689563267,95000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
20,926.1634126427558,100000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
21,920.5412923744283,105000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
22,792.915880750669,110000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
23,918.2755109663291,115000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
24,896.4991853444483,120000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
25,924.6020602634214,125000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
26,930.7131237763185,130000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
27,943.9673417253322,135000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
28,911.8161041265096,140000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
29,930.3335239369648,145000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
30,983.4156526276478,150000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
31,1000.9681823840523,155000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
32,1112.3664345748882,160000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
33,1022.3280220618992,165000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
34,1120.6040322948631,170000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
35,1076.9282416415865,175000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
36,1021.6115100080721,180000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
37,1112.2060012895658,185000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
38,1217.814555379817,190000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
39,1140.2558068547783,195000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
40,1230.8671918041039,200000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
41,1209.7449396569782,205000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
42,1181.760443467592,210000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
43,1285.7399944760855,215000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
44,1413.5781683021905,220000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
45,1546.084903430468,225000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
46,1603.6783067933698,230000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
47,1624.774524674052,235000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
48,1592.6895288016817,240000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
49,1751.239572498589,245000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
50,1778.0133454566999,250000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
51,1819.650137239497,255000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
52,1812.3192563792963,260000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
53,1669.6863787936259,265000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
54,1544.7283858413043,270000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
55,1091.2445292436046,275000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
56,1582.5067894790682,280000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
57,1233.4928517770259,285000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
58,1515.9468699922907,290000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
59,2214.445827153636,295000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
60,2098.205014513882,300000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
61,1296.0435904724634,305000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
62,1864.5254373354012,310000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
63,1864.5466982913263,315000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
64,2074.464806269939,320000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
65,1918.30752069278,325000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
66,2141.266299559601,330000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
67,1902.3602482082165,335000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
68,2211.350194615913,340000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
69,2150.53884701032,345000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
70,2270.553555466574,350000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
71,2042.024467856305,355000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
72,2167.254196436735,360000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
73,2460.6916980371816,365000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
74,1990.7504017350043,370000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
75,1882.4510128287322,375000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
76,2445.962347276376,380000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
77,2354.413827728856,385000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
78,2518.2431034175233,390000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
79,2364.4817954627906,395000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
80,2302.929407830926,400000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
81,2324.4681608286446,405000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
82,1873.8774540614625,410000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
83,2115.0285164199527,415000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
84,2454.421693123778,420000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
85,2675.2639802754197,425000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
86,2797.2869610822363,430000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
87,2574.4329111473453,435000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
88,2767.960651983435,440000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
89,2612.443128702391,445000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
90,2444.6846362337833,450000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
91,2509.2915049369503,455000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
92,2757.8344169454294,460000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
93,2414.3788553942422,465000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
94,2221.6836505377687,470000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
95,2754.4877719933997,475000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
96,2455.8458811856904,480000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
97,2811.952348758819,485000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
98,2442.3131730623786,490000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
99,2653.9307767954556,495000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
100,2931.858287131802,500000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
101,2819.123710261255,505000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
102,2940.554240165439,510000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
103,2913.6366931703033,515000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
104,2818.427481515957,520000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
105,2496.8766706416914,525000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
106,2852.4999789491912,530000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
107,2390.657940372642,535000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
108,2585.1862232468284,540000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
109,2227.096793075828,545000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
110,2853.001895387585,550000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
111,2439.043491403343,555000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
112,2950.84825236367,560000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
113,3059.0540090532872,565000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
114,3012.4566937887666,570000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
115,2839.1345419772406,575000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
116,2949.703477243232,580000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
117,2678.332189680482,585000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
118,2910.8352904698813,590000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
119,1906.5402686499754,595000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
120,3000.8839933073205,600000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
121,3012.1492551047886,605000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
122,2927.129072226925,610000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
123,3047.002913833056,615000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
124,3085.2698046860246,620000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
125,3177.1613357675915,625000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
126,3099.3444122895407,630000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
127,3052.820449958496,635000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
128,3132.029179597621,640000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
129,2406.4201711121214,645000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
130,3207.3982741939963,650000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
131,3003.046735533228,655000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
132,3215.6064964975094,660000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
133,3103.9036748307494,665000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
134,3180.4807127323156,670000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
135,2626.5545796386796,675000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
136,2864.203072348887,680000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
137,2563.283960583107,685000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
138,3188.223028935204,690000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
139,3104.2993285731,695000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
140,3096.743892603902,700000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
141,3227.993903445043,705000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
142,3238.621532067318,710000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
143,3219.8644594033567,715000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
144,3150.947642255539,720000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
145,3190.0369151036602,725000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
146,2885.5351604446355,730000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
147,3066.7469377231578,735000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
148,2685.4386709600685,740000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
149,3243.460185473339,745000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
150,2743.632660283793,750000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
151,2602.3066381540966,755000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
152,3266.5024455418397,760000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
153,3249.814685605631,765000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
154,3075.135719976896,770000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
155,2983.0278551899155,775000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
156,3205.428656589828,780000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
157,3199.7851945345697,785000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
158,3194.749580914545,790000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
159,2600.0035557684523,795000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
160,3176.4521298351365,800000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
161,3032.269776586499,805000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
162,3341.7819963367924,810000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
163,3325.8335366767255,815000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
164,3076.5468240189834,820000.0,Ant-v3,TD3_Q2ahidden2x64_facp1
