index,Average Return,Timesteps,env,algorithm_name
0,987.2113220893865,0.0,Ant-v3,TD3_Q2a
1,988.6782113998904,5000.0,Ant-v3,TD3_Q2a
2,988.8127804870097,10000.0,Ant-v3,TD3_Q2a
3,771.4724304016966,15000.0,Ant-v3,TD3_Q2a
4,782.9518797252678,20000.0,Ant-v3,TD3_Q2a
5,606.4174299611528,25000.0,Ant-v3,TD3_Q2a
6,641.2219328822039,30000.0,Ant-v3,TD3_Q2a
7,786.301990663175,35000.0,Ant-v3,TD3_Q2a
8,742.6125994043614,40000.0,Ant-v3,TD3_Q2a
9,506.2580081496443,45000.0,Ant-v3,TD3_Q2a
10,668.7614895753937,50000.0,Ant-v3,TD3_Q2a
11,792.366500735886,55000.0,Ant-v3,TD3_Q2a
12,668.902306878794,60000.0,Ant-v3,TD3_Q2a
13,591.1316293847294,65000.0,Ant-v3,TD3_Q2a
14,680.6953148759076,70000.0,Ant-v3,TD3_Q2a
15,861.3571130926588,75000.0,Ant-v3,TD3_Q2a
16,714.1466271636564,80000.0,Ant-v3,TD3_Q2a
17,769.6706554992545,85000.0,Ant-v3,TD3_Q2a
18,904.6625450812195,90000.0,Ant-v3,TD3_Q2a
19,429.0037261442047,95000.0,Ant-v3,TD3_Q2a
20,892.7589535087378,100000.0,Ant-v3,TD3_Q2a
21,905.2927295950673,105000.0,Ant-v3,TD3_Q2a
22,838.575770431696,110000.0,Ant-v3,TD3_Q2a
23,883.5417718059322,115000.0,Ant-v3,TD3_Q2a
24,608.8405834925463,120000.0,Ant-v3,TD3_Q2a
25,664.4605395860074,125000.0,Ant-v3,TD3_Q2a
26,838.2282183427227,130000.0,Ant-v3,TD3_Q2a
27,890.5347195101773,135000.0,Ant-v3,TD3_Q2a
28,969.8736162489655,140000.0,Ant-v3,TD3_Q2a
29,858.3295062737095,145000.0,Ant-v3,TD3_Q2a
30,952.5074261548273,150000.0,Ant-v3,TD3_Q2a
31,987.1401546052269,155000.0,Ant-v3,TD3_Q2a
32,874.0660707075783,160000.0,Ant-v3,TD3_Q2a
33,776.2345372377381,165000.0,Ant-v3,TD3_Q2a
34,659.5822380831914,170000.0,Ant-v3,TD3_Q2a
35,726.9474934793519,175000.0,Ant-v3,TD3_Q2a
36,803.4137961101079,180000.0,Ant-v3,TD3_Q2a
37,990.1177419673861,185000.0,Ant-v3,TD3_Q2a
38,1475.8139306550254,190000.0,Ant-v3,TD3_Q2a
39,1756.6471685202207,195000.0,Ant-v3,TD3_Q2a
40,918.3828585323556,200000.0,Ant-v3,TD3_Q2a
41,1542.046579585289,205000.0,Ant-v3,TD3_Q2a
42,1506.0748772508766,210000.0,Ant-v3,TD3_Q2a
43,1393.7936896725219,215000.0,Ant-v3,TD3_Q2a
44,1443.0324217490052,220000.0,Ant-v3,TD3_Q2a
45,920.6204332126514,225000.0,Ant-v3,TD3_Q2a
46,809.6472626953075,230000.0,Ant-v3,TD3_Q2a
47,1058.9980649011434,235000.0,Ant-v3,TD3_Q2a
48,1543.5092002775841,240000.0,Ant-v3,TD3_Q2a
49,1191.2333385810825,245000.0,Ant-v3,TD3_Q2a
50,1693.4903295064694,250000.0,Ant-v3,TD3_Q2a
51,2454.7005520965677,255000.0,Ant-v3,TD3_Q2a
52,1668.0837385328384,260000.0,Ant-v3,TD3_Q2a
53,938.4061796227159,265000.0,Ant-v3,TD3_Q2a
54,2432.9660640353623,270000.0,Ant-v3,TD3_Q2a
55,2409.5180225550876,275000.0,Ant-v3,TD3_Q2a
