index,Average Return,Timesteps,env,algorithm_name
0,973.4117077767075,0.0,Ant-v3,TD3_Q2a1x64_p1
1,974.9916051725386,5000.0,Ant-v3,TD3_Q2a1x64_p1
2,975.0838917491516,10000.0,Ant-v3,TD3_Q2a1x64_p1
3,974.4570581677872,15000.0,Ant-v3,TD3_Q2a1x64_p1
4,973.6169431316332,20000.0,Ant-v3,TD3_Q2a1x64_p1
5,976.328177237768,25000.0,Ant-v3,TD3_Q2a1x64_p1
6,971.6749984700546,30000.0,Ant-v3,TD3_Q2a1x64_p1
7,973.2047177775781,35000.0,Ant-v3,TD3_Q2a1x64_p1
8,975.7507649653755,40000.0,Ant-v3,TD3_Q2a1x64_p1
9,974.4713074858003,45000.0,Ant-v3,TD3_Q2a1x64_p1
10,855.1016375907266,50000.0,Ant-v3,TD3_Q2a1x64_p1
11,855.5649836521267,55000.0,Ant-v3,TD3_Q2a1x64_p1
12,854.0231789892205,60000.0,Ant-v3,TD3_Q2a1x64_p1
13,845.5575428746622,65000.0,Ant-v3,TD3_Q2a1x64_p1
14,853.4204584547913,70000.0,Ant-v3,TD3_Q2a1x64_p1
15,853.3083479897065,75000.0,Ant-v3,TD3_Q2a1x64_p1
16,856.5639442779259,80000.0,Ant-v3,TD3_Q2a1x64_p1
17,868.1030403949046,85000.0,Ant-v3,TD3_Q2a1x64_p1
18,856.3836152225613,90000.0,Ant-v3,TD3_Q2a1x64_p1
19,849.4002233161816,95000.0,Ant-v3,TD3_Q2a1x64_p1
20,251.42869358486368,100000.0,Ant-v3,TD3_Q2a1x64_p1
21,484.3336866032343,105000.0,Ant-v3,TD3_Q2a1x64_p1
22,143.15487475928285,110000.0,Ant-v3,TD3_Q2a1x64_p1
23,202.33060443321386,115000.0,Ant-v3,TD3_Q2a1x64_p1
24,347.0102107450063,120000.0,Ant-v3,TD3_Q2a1x64_p1
25,692.442300589721,125000.0,Ant-v3,TD3_Q2a1x64_p1
26,682.9456607893009,130000.0,Ant-v3,TD3_Q2a1x64_p1
27,702.5028071122498,135000.0,Ant-v3,TD3_Q2a1x64_p1
28,706.3129364298352,140000.0,Ant-v3,TD3_Q2a1x64_p1
29,698.6457812294758,145000.0,Ant-v3,TD3_Q2a1x64_p1
30,751.1879837160513,150000.0,Ant-v3,TD3_Q2a1x64_p1
31,741.0110589359293,155000.0,Ant-v3,TD3_Q2a1x64_p1
32,736.3303194384104,160000.0,Ant-v3,TD3_Q2a1x64_p1
33,741.896167807228,165000.0,Ant-v3,TD3_Q2a1x64_p1
34,746.0194135421925,170000.0,Ant-v3,TD3_Q2a1x64_p1
35,848.2922811078336,175000.0,Ant-v3,TD3_Q2a1x64_p1
36,855.13362993662,180000.0,Ant-v3,TD3_Q2a1x64_p1
37,839.3192759785295,185000.0,Ant-v3,TD3_Q2a1x64_p1
38,832.9646907683016,190000.0,Ant-v3,TD3_Q2a1x64_p1
39,829.2202297820922,195000.0,Ant-v3,TD3_Q2a1x64_p1
40,771.978713518629,200000.0,Ant-v3,TD3_Q2a1x64_p1
41,766.9682430641463,205000.0,Ant-v3,TD3_Q2a1x64_p1
42,769.379398464953,210000.0,Ant-v3,TD3_Q2a1x64_p1
43,733.5850872146344,215000.0,Ant-v3,TD3_Q2a1x64_p1
44,857.8458558316612,220000.0,Ant-v3,TD3_Q2a1x64_p1
45,758.7971031921376,225000.0,Ant-v3,TD3_Q2a1x64_p1
46,908.235136563789,230000.0,Ant-v3,TD3_Q2a1x64_p1
47,677.672190409646,235000.0,Ant-v3,TD3_Q2a1x64_p1
48,634.0036086436636,240000.0,Ant-v3,TD3_Q2a1x64_p1
49,548.2402016348146,245000.0,Ant-v3,TD3_Q2a1x64_p1
50,856.8227166822714,250000.0,Ant-v3,TD3_Q2a1x64_p1
51,852.6509180127084,255000.0,Ant-v3,TD3_Q2a1x64_p1
52,830.6413092173146,260000.0,Ant-v3,TD3_Q2a1x64_p1
53,842.0419618651764,265000.0,Ant-v3,TD3_Q2a1x64_p1
54,863.4221107581918,270000.0,Ant-v3,TD3_Q2a1x64_p1
55,934.5557479550822,275000.0,Ant-v3,TD3_Q2a1x64_p1
56,929.4410704687804,280000.0,Ant-v3,TD3_Q2a1x64_p1
57,929.5222338233829,285000.0,Ant-v3,TD3_Q2a1x64_p1
58,930.418769803255,290000.0,Ant-v3,TD3_Q2a1x64_p1
59,909.2315864499251,295000.0,Ant-v3,TD3_Q2a1x64_p1
60,919.352984406932,300000.0,Ant-v3,TD3_Q2a1x64_p1
61,912.9057851171194,305000.0,Ant-v3,TD3_Q2a1x64_p1
62,915.0006656686155,310000.0,Ant-v3,TD3_Q2a1x64_p1
63,899.950442548123,315000.0,Ant-v3,TD3_Q2a1x64_p1
64,892.6492085832722,320000.0,Ant-v3,TD3_Q2a1x64_p1
65,927.4155409196495,325000.0,Ant-v3,TD3_Q2a1x64_p1
66,925.49437178062,330000.0,Ant-v3,TD3_Q2a1x64_p1
67,922.9439080692573,335000.0,Ant-v3,TD3_Q2a1x64_p1
68,871.156552450736,340000.0,Ant-v3,TD3_Q2a1x64_p1
69,904.1454305218689,345000.0,Ant-v3,TD3_Q2a1x64_p1
70,919.9699519714702,350000.0,Ant-v3,TD3_Q2a1x64_p1
71,921.840714655487,355000.0,Ant-v3,TD3_Q2a1x64_p1
72,916.7790101050407,360000.0,Ant-v3,TD3_Q2a1x64_p1
73,920.8289062804697,365000.0,Ant-v3,TD3_Q2a1x64_p1
74,916.770559444048,370000.0,Ant-v3,TD3_Q2a1x64_p1
75,936.1815135961158,375000.0,Ant-v3,TD3_Q2a1x64_p1
76,921.7093060267173,380000.0,Ant-v3,TD3_Q2a1x64_p1
77,909.8515294586247,385000.0,Ant-v3,TD3_Q2a1x64_p1
78,930.0646811912632,390000.0,Ant-v3,TD3_Q2a1x64_p1
79,911.3051876292706,395000.0,Ant-v3,TD3_Q2a1x64_p1
80,944.3743837757496,400000.0,Ant-v3,TD3_Q2a1x64_p1
81,938.379623640888,405000.0,Ant-v3,TD3_Q2a1x64_p1
82,942.221510846847,410000.0,Ant-v3,TD3_Q2a1x64_p1
83,936.2571392336079,415000.0,Ant-v3,TD3_Q2a1x64_p1
84,938.5452286638462,420000.0,Ant-v3,TD3_Q2a1x64_p1
85,945.1409410500712,425000.0,Ant-v3,TD3_Q2a1x64_p1
86,940.4055891500775,430000.0,Ant-v3,TD3_Q2a1x64_p1
87,940.176482096517,435000.0,Ant-v3,TD3_Q2a1x64_p1
88,941.2771215183066,440000.0,Ant-v3,TD3_Q2a1x64_p1
89,938.6703578454711,445000.0,Ant-v3,TD3_Q2a1x64_p1
90,945.4041095368178,450000.0,Ant-v3,TD3_Q2a1x64_p1
91,938.1955575813838,455000.0,Ant-v3,TD3_Q2a1x64_p1
92,946.5183645032384,460000.0,Ant-v3,TD3_Q2a1x64_p1
93,935.3441078106162,465000.0,Ant-v3,TD3_Q2a1x64_p1
94,942.7059429446978,470000.0,Ant-v3,TD3_Q2a1x64_p1
95,906.250912214489,475000.0,Ant-v3,TD3_Q2a1x64_p1
96,917.4560222004918,480000.0,Ant-v3,TD3_Q2a1x64_p1
97,902.6024124396517,485000.0,Ant-v3,TD3_Q2a1x64_p1
98,904.7392865779173,490000.0,Ant-v3,TD3_Q2a1x64_p1
99,815.1123973158462,495000.0,Ant-v3,TD3_Q2a1x64_p1
100,910.747123058308,500000.0,Ant-v3,TD3_Q2a1x64_p1
101,917.4554161681142,505000.0,Ant-v3,TD3_Q2a1x64_p1
102,920.8817646788596,510000.0,Ant-v3,TD3_Q2a1x64_p1
103,918.9255896979487,515000.0,Ant-v3,TD3_Q2a1x64_p1
104,920.5345401088698,520000.0,Ant-v3,TD3_Q2a1x64_p1
105,929.1582776692474,525000.0,Ant-v3,TD3_Q2a1x64_p1
106,931.2403936512283,530000.0,Ant-v3,TD3_Q2a1x64_p1
107,932.5128873673144,535000.0,Ant-v3,TD3_Q2a1x64_p1
108,931.2989921375389,540000.0,Ant-v3,TD3_Q2a1x64_p1
109,915.0999451271007,545000.0,Ant-v3,TD3_Q2a1x64_p1
110,925.1406237076641,550000.0,Ant-v3,TD3_Q2a1x64_p1
111,919.9284721509852,555000.0,Ant-v3,TD3_Q2a1x64_p1
112,923.447561876225,560000.0,Ant-v3,TD3_Q2a1x64_p1
113,922.0868018870124,565000.0,Ant-v3,TD3_Q2a1x64_p1
114,928.6815134842997,570000.0,Ant-v3,TD3_Q2a1x64_p1
115,869.8346473575787,575000.0,Ant-v3,TD3_Q2a1x64_p1
116,835.2063141432461,580000.0,Ant-v3,TD3_Q2a1x64_p1
117,845.3026222068195,585000.0,Ant-v3,TD3_Q2a1x64_p1
118,835.3911955767937,590000.0,Ant-v3,TD3_Q2a1x64_p1
119,847.0601465650792,595000.0,Ant-v3,TD3_Q2a1x64_p1
120,928.3549457159024,600000.0,Ant-v3,TD3_Q2a1x64_p1
121,942.5125134315861,605000.0,Ant-v3,TD3_Q2a1x64_p1
122,927.9169234008993,610000.0,Ant-v3,TD3_Q2a1x64_p1
123,933.6969692668821,615000.0,Ant-v3,TD3_Q2a1x64_p1
124,926.2980758298633,620000.0,Ant-v3,TD3_Q2a1x64_p1
125,929.2675746197303,625000.0,Ant-v3,TD3_Q2a1x64_p1
126,918.6842082397804,630000.0,Ant-v3,TD3_Q2a1x64_p1
127,917.6906672431065,635000.0,Ant-v3,TD3_Q2a1x64_p1
128,928.543018883408,640000.0,Ant-v3,TD3_Q2a1x64_p1
129,926.3945903381571,645000.0,Ant-v3,TD3_Q2a1x64_p1
130,890.4262503043162,650000.0,Ant-v3,TD3_Q2a1x64_p1
131,907.8385136213479,655000.0,Ant-v3,TD3_Q2a1x64_p1
132,903.8858907576198,660000.0,Ant-v3,TD3_Q2a1x64_p1
133,884.1469481522934,665000.0,Ant-v3,TD3_Q2a1x64_p1
134,906.5220918058278,670000.0,Ant-v3,TD3_Q2a1x64_p1
135,903.9051502002385,675000.0,Ant-v3,TD3_Q2a1x64_p1
136,925.3726255652876,680000.0,Ant-v3,TD3_Q2a1x64_p1
137,903.9767151085873,685000.0,Ant-v3,TD3_Q2a1x64_p1
138,915.5918851357101,690000.0,Ant-v3,TD3_Q2a1x64_p1
139,898.8635236139859,695000.0,Ant-v3,TD3_Q2a1x64_p1
140,924.0940441561821,700000.0,Ant-v3,TD3_Q2a1x64_p1
141,931.2503473183926,705000.0,Ant-v3,TD3_Q2a1x64_p1
142,932.71134879485,710000.0,Ant-v3,TD3_Q2a1x64_p1
143,941.6504218173302,715000.0,Ant-v3,TD3_Q2a1x64_p1
144,910.4797113673205,720000.0,Ant-v3,TD3_Q2a1x64_p1
145,920.4715803671937,725000.0,Ant-v3,TD3_Q2a1x64_p1
146,945.0496931297057,730000.0,Ant-v3,TD3_Q2a1x64_p1
147,933.4383445036901,735000.0,Ant-v3,TD3_Q2a1x64_p1
148,944.4881057931527,740000.0,Ant-v3,TD3_Q2a1x64_p1
149,944.1799953699074,745000.0,Ant-v3,TD3_Q2a1x64_p1
150,957.2075434191145,750000.0,Ant-v3,TD3_Q2a1x64_p1
151,949.9855038402235,755000.0,Ant-v3,TD3_Q2a1x64_p1
152,952.1643928690761,760000.0,Ant-v3,TD3_Q2a1x64_p1
153,954.3203820090175,765000.0,Ant-v3,TD3_Q2a1x64_p1
154,957.4073182036991,770000.0,Ant-v3,TD3_Q2a1x64_p1
155,944.8073348536498,775000.0,Ant-v3,TD3_Q2a1x64_p1
156,942.9471396206258,780000.0,Ant-v3,TD3_Q2a1x64_p1
157,952.4492636031421,785000.0,Ant-v3,TD3_Q2a1x64_p1
158,942.2733788245263,790000.0,Ant-v3,TD3_Q2a1x64_p1
159,944.7070709417267,795000.0,Ant-v3,TD3_Q2a1x64_p1
160,962.1585156698827,800000.0,Ant-v3,TD3_Q2a1x64_p1
161,939.2955330998124,805000.0,Ant-v3,TD3_Q2a1x64_p1
162,847.0779494261739,810000.0,Ant-v3,TD3_Q2a1x64_p1
163,952.2646185135758,815000.0,Ant-v3,TD3_Q2a1x64_p1
164,924.3120361686248,820000.0,Ant-v3,TD3_Q2a1x64_p1
165,922.4542407543973,825000.0,Ant-v3,TD3_Q2a1x64_p1
166,928.055836436162,830000.0,Ant-v3,TD3_Q2a1x64_p1
167,927.5070428699313,835000.0,Ant-v3,TD3_Q2a1x64_p1
168,918.3840586229555,840000.0,Ant-v3,TD3_Q2a1x64_p1
169,920.616197952983,845000.0,Ant-v3,TD3_Q2a1x64_p1
170,951.8975542762606,850000.0,Ant-v3,TD3_Q2a1x64_p1
171,925.6663995344443,855000.0,Ant-v3,TD3_Q2a1x64_p1
172,950.8964154159546,860000.0,Ant-v3,TD3_Q2a1x64_p1
173,947.736155467395,865000.0,Ant-v3,TD3_Q2a1x64_p1
174,946.6843166632991,870000.0,Ant-v3,TD3_Q2a1x64_p1
175,947.0170559131391,875000.0,Ant-v3,TD3_Q2a1x64_p1
176,946.5127981611207,880000.0,Ant-v3,TD3_Q2a1x64_p1
177,954.4494160894716,885000.0,Ant-v3,TD3_Q2a1x64_p1
178,942.032727448334,890000.0,Ant-v3,TD3_Q2a1x64_p1
179,946.9078644620015,895000.0,Ant-v3,TD3_Q2a1x64_p1
180,991.6634024371722,900000.0,Ant-v3,TD3_Q2a1x64_p1
181,984.3858391187172,905000.0,Ant-v3,TD3_Q2a1x64_p1
182,949.5670385282114,910000.0,Ant-v3,TD3_Q2a1x64_p1
183,965.6216885443412,915000.0,Ant-v3,TD3_Q2a1x64_p1
184,983.138565082834,920000.0,Ant-v3,TD3_Q2a1x64_p1
185,934.8297626934942,925000.0,Ant-v3,TD3_Q2a1x64_p1
186,939.1770590925698,930000.0,Ant-v3,TD3_Q2a1x64_p1
187,947.6242729230091,935000.0,Ant-v3,TD3_Q2a1x64_p1
188,836.4027557063334,940000.0,Ant-v3,TD3_Q2a1x64_p1
189,710.8104567561492,945000.0,Ant-v3,TD3_Q2a1x64_p1
190,950.4972532686672,950000.0,Ant-v3,TD3_Q2a1x64_p1
191,964.8940365201139,955000.0,Ant-v3,TD3_Q2a1x64_p1
192,962.8823921752088,960000.0,Ant-v3,TD3_Q2a1x64_p1
193,966.0574767446639,965000.0,Ant-v3,TD3_Q2a1x64_p1
194,966.9588855992977,970000.0,Ant-v3,TD3_Q2a1x64_p1
195,960.5947938932668,975000.0,Ant-v3,TD3_Q2a1x64_p1
196,957.0588518040407,980000.0,Ant-v3,TD3_Q2a1x64_p1
197,960.2462269053743,985000.0,Ant-v3,TD3_Q2a1x64_p1
198,861.4515213862189,990000.0,Ant-v3,TD3_Q2a1x64_p1
199,945.6607528124334,995000.0,Ant-v3,TD3_Q2a1x64_p1
200,932.1412293930418,1000000.0,Ant-v3,TD3_Q2a1x64_p1
201,975.8311557617253,1005000.0,Ant-v3,TD3_Q2a1x64_p1
202,957.9846872711962,1010000.0,Ant-v3,TD3_Q2a1x64_p1
203,930.9616661686798,1015000.0,Ant-v3,TD3_Q2a1x64_p1
204,953.4359816701484,1020000.0,Ant-v3,TD3_Q2a1x64_p1
205,954.0598113641569,1025000.0,Ant-v3,TD3_Q2a1x64_p1
206,937.9186570926186,1030000.0,Ant-v3,TD3_Q2a1x64_p1
207,959.9778360450142,1035000.0,Ant-v3,TD3_Q2a1x64_p1
208,959.2089023596589,1040000.0,Ant-v3,TD3_Q2a1x64_p1
209,958.5005150212061,1045000.0,Ant-v3,TD3_Q2a1x64_p1
210,954.8766716265578,1050000.0,Ant-v3,TD3_Q2a1x64_p1
211,938.4585552674895,1055000.0,Ant-v3,TD3_Q2a1x64_p1
212,919.8576378030817,1060000.0,Ant-v3,TD3_Q2a1x64_p1
213,956.3130661510337,1065000.0,Ant-v3,TD3_Q2a1x64_p1
214,947.1288192980021,1070000.0,Ant-v3,TD3_Q2a1x64_p1
215,977.7145124778332,1075000.0,Ant-v3,TD3_Q2a1x64_p1
216,978.6225109702618,1080000.0,Ant-v3,TD3_Q2a1x64_p1
217,981.1868800507,1085000.0,Ant-v3,TD3_Q2a1x64_p1
218,981.8602436300513,1090000.0,Ant-v3,TD3_Q2a1x64_p1
219,991.1645308839688,1095000.0,Ant-v3,TD3_Q2a1x64_p1
220,808.3281349005568,1100000.0,Ant-v3,TD3_Q2a1x64_p1
221,910.8834795519166,1105000.0,Ant-v3,TD3_Q2a1x64_p1
222,955.0743776451151,1110000.0,Ant-v3,TD3_Q2a1x64_p1
223,963.6651997480409,1115000.0,Ant-v3,TD3_Q2a1x64_p1
224,916.468902989062,1120000.0,Ant-v3,TD3_Q2a1x64_p1
225,958.5428605232601,1125000.0,Ant-v3,TD3_Q2a1x64_p1
226,958.4427165165564,1130000.0,Ant-v3,TD3_Q2a1x64_p1
227,867.2575907392032,1135000.0,Ant-v3,TD3_Q2a1x64_p1
228,967.9301683620681,1140000.0,Ant-v3,TD3_Q2a1x64_p1
229,971.849476111888,1145000.0,Ant-v3,TD3_Q2a1x64_p1
230,947.2385901543518,1150000.0,Ant-v3,TD3_Q2a1x64_p1
231,939.641547684247,1155000.0,Ant-v3,TD3_Q2a1x64_p1
232,955.3002379272903,1160000.0,Ant-v3,TD3_Q2a1x64_p1
233,968.33646517376,1165000.0,Ant-v3,TD3_Q2a1x64_p1
234,959.1776892524418,1170000.0,Ant-v3,TD3_Q2a1x64_p1
235,849.8311315703683,1175000.0,Ant-v3,TD3_Q2a1x64_p1
236,945.1752441380977,1180000.0,Ant-v3,TD3_Q2a1x64_p1
237,950.3187685404924,1185000.0,Ant-v3,TD3_Q2a1x64_p1
238,949.3048670242764,1190000.0,Ant-v3,TD3_Q2a1x64_p1
239,969.4128651112196,1195000.0,Ant-v3,TD3_Q2a1x64_p1
240,953.515029159638,1200000.0,Ant-v3,TD3_Q2a1x64_p1
241,949.1181631151445,1205000.0,Ant-v3,TD3_Q2a1x64_p1
242,952.752518563702,1210000.0,Ant-v3,TD3_Q2a1x64_p1
243,954.7680849813621,1215000.0,Ant-v3,TD3_Q2a1x64_p1
244,953.2524459204527,1220000.0,Ant-v3,TD3_Q2a1x64_p1
245,1012.7870356390642,1225000.0,Ant-v3,TD3_Q2a1x64_p1
246,961.163615834908,1230000.0,Ant-v3,TD3_Q2a1x64_p1
247,999.3233561740802,1235000.0,Ant-v3,TD3_Q2a1x64_p1
248,976.8758061355077,1240000.0,Ant-v3,TD3_Q2a1x64_p1
249,997.9301971939054,1245000.0,Ant-v3,TD3_Q2a1x64_p1
250,780.2395444259918,1250000.0,Ant-v3,TD3_Q2a1x64_p1
251,982.9850593695262,1255000.0,Ant-v3,TD3_Q2a1x64_p1
252,843.9944412376565,1260000.0,Ant-v3,TD3_Q2a1x64_p1
253,984.4644148429358,1265000.0,Ant-v3,TD3_Q2a1x64_p1
254,984.6983194506136,1270000.0,Ant-v3,TD3_Q2a1x64_p1
255,1057.9930151762903,1275000.0,Ant-v3,TD3_Q2a1x64_p1
256,1023.5947881940416,1280000.0,Ant-v3,TD3_Q2a1x64_p1
