index,Average Return,Timesteps,env,algorithm_name
0,972.9894268593247,0.0,Ant-v3,TD3_Q2a1x64_p1
1,973.5312116656409,5000.0,Ant-v3,TD3_Q2a1x64_p1
2,973.9142312823809,10000.0,Ant-v3,TD3_Q2a1x64_p1
3,897.3981535049055,15000.0,Ant-v3,TD3_Q2a1x64_p1
4,844.8161598564741,20000.0,Ant-v3,TD3_Q2a1x64_p1
5,699.5231413422194,25000.0,Ant-v3,TD3_Q2a1x64_p1
6,921.8023828599823,30000.0,Ant-v3,TD3_Q2a1x64_p1
7,828.3121061611821,35000.0,Ant-v3,TD3_Q2a1x64_p1
8,849.5464334437984,40000.0,Ant-v3,TD3_Q2a1x64_p1
9,887.563584680626,45000.0,Ant-v3,TD3_Q2a1x64_p1
10,835.6332549738269,50000.0,Ant-v3,TD3_Q2a1x64_p1
11,933.8727588909142,55000.0,Ant-v3,TD3_Q2a1x64_p1
12,915.1763279665231,60000.0,Ant-v3,TD3_Q2a1x64_p1
13,603.4888481152232,65000.0,Ant-v3,TD3_Q2a1x64_p1
14,927.9525023019289,70000.0,Ant-v3,TD3_Q2a1x64_p1
15,937.0979888167843,75000.0,Ant-v3,TD3_Q2a1x64_p1
16,949.5078885647472,80000.0,Ant-v3,TD3_Q2a1x64_p1
17,938.9445999041922,85000.0,Ant-v3,TD3_Q2a1x64_p1
18,951.8696918874779,90000.0,Ant-v3,TD3_Q2a1x64_p1
19,902.3977480374248,95000.0,Ant-v3,TD3_Q2a1x64_p1
20,939.5944170160619,100000.0,Ant-v3,TD3_Q2a1x64_p1
21,948.1242684701787,105000.0,Ant-v3,TD3_Q2a1x64_p1
22,940.6527555305578,110000.0,Ant-v3,TD3_Q2a1x64_p1
23,946.7176136773899,115000.0,Ant-v3,TD3_Q2a1x64_p1
24,952.0167243652916,120000.0,Ant-v3,TD3_Q2a1x64_p1
25,948.2844102532856,125000.0,Ant-v3,TD3_Q2a1x64_p1
26,931.489884279318,130000.0,Ant-v3,TD3_Q2a1x64_p1
27,903.9283910605157,135000.0,Ant-v3,TD3_Q2a1x64_p1
28,943.1145197535068,140000.0,Ant-v3,TD3_Q2a1x64_p1
29,942.4415193581823,145000.0,Ant-v3,TD3_Q2a1x64_p1
30,932.4225849323723,150000.0,Ant-v3,TD3_Q2a1x64_p1
31,927.4208073315815,155000.0,Ant-v3,TD3_Q2a1x64_p1
32,918.2092877874104,160000.0,Ant-v3,TD3_Q2a1x64_p1
33,930.6234004910764,165000.0,Ant-v3,TD3_Q2a1x64_p1
34,946.8218195373483,170000.0,Ant-v3,TD3_Q2a1x64_p1
35,935.9180201289386,175000.0,Ant-v3,TD3_Q2a1x64_p1
36,953.9236434977917,180000.0,Ant-v3,TD3_Q2a1x64_p1
37,960.5543830374467,185000.0,Ant-v3,TD3_Q2a1x64_p1
38,937.9544597213813,190000.0,Ant-v3,TD3_Q2a1x64_p1
39,835.5665011437286,195000.0,Ant-v3,TD3_Q2a1x64_p1
40,937.0747574975946,200000.0,Ant-v3,TD3_Q2a1x64_p1
41,872.9525693705973,205000.0,Ant-v3,TD3_Q2a1x64_p1
42,898.6133515350742,210000.0,Ant-v3,TD3_Q2a1x64_p1
43,910.245707651937,215000.0,Ant-v3,TD3_Q2a1x64_p1
44,893.352346307639,220000.0,Ant-v3,TD3_Q2a1x64_p1
45,905.6804473800069,225000.0,Ant-v3,TD3_Q2a1x64_p1
46,924.6490888868587,230000.0,Ant-v3,TD3_Q2a1x64_p1
47,902.9859947397099,235000.0,Ant-v3,TD3_Q2a1x64_p1
48,928.7673195903371,240000.0,Ant-v3,TD3_Q2a1x64_p1
49,937.8559278073332,245000.0,Ant-v3,TD3_Q2a1x64_p1
50,1000.7958420755616,250000.0,Ant-v3,TD3_Q2a1x64_p1
51,935.9877905032652,255000.0,Ant-v3,TD3_Q2a1x64_p1
52,1102.6056887183508,260000.0,Ant-v3,TD3_Q2a1x64_p1
53,934.3064797534314,265000.0,Ant-v3,TD3_Q2a1x64_p1
54,976.0748677005855,270000.0,Ant-v3,TD3_Q2a1x64_p1
55,960.4031151807836,275000.0,Ant-v3,TD3_Q2a1x64_p1
56,751.8570020001217,280000.0,Ant-v3,TD3_Q2a1x64_p1
57,1016.1742224515667,285000.0,Ant-v3,TD3_Q2a1x64_p1
58,1074.8881900001807,290000.0,Ant-v3,TD3_Q2a1x64_p1
59,1199.732044474013,295000.0,Ant-v3,TD3_Q2a1x64_p1
60,1135.0191272761617,300000.0,Ant-v3,TD3_Q2a1x64_p1
61,1187.028446668823,305000.0,Ant-v3,TD3_Q2a1x64_p1
62,1020.4260940458362,310000.0,Ant-v3,TD3_Q2a1x64_p1
63,1228.935154370511,315000.0,Ant-v3,TD3_Q2a1x64_p1
64,965.4525202790037,320000.0,Ant-v3,TD3_Q2a1x64_p1
65,1075.3710277389332,325000.0,Ant-v3,TD3_Q2a1x64_p1
66,1276.1011254144205,330000.0,Ant-v3,TD3_Q2a1x64_p1
67,1302.1380026009494,335000.0,Ant-v3,TD3_Q2a1x64_p1
68,1065.3161536296498,340000.0,Ant-v3,TD3_Q2a1x64_p1
69,1389.092811185803,345000.0,Ant-v3,TD3_Q2a1x64_p1
70,1609.3517050283722,350000.0,Ant-v3,TD3_Q2a1x64_p1
71,1611.5385921639117,355000.0,Ant-v3,TD3_Q2a1x64_p1
72,1685.039385330072,360000.0,Ant-v3,TD3_Q2a1x64_p1
73,1631.5477891280163,365000.0,Ant-v3,TD3_Q2a1x64_p1
74,1759.9261765647993,370000.0,Ant-v3,TD3_Q2a1x64_p1
75,1751.2590486096863,375000.0,Ant-v3,TD3_Q2a1x64_p1
76,945.5525643786528,380000.0,Ant-v3,TD3_Q2a1x64_p1
77,1839.5135971889624,385000.0,Ant-v3,TD3_Q2a1x64_p1
78,1857.672617356829,390000.0,Ant-v3,TD3_Q2a1x64_p1
79,1773.9453396827328,395000.0,Ant-v3,TD3_Q2a1x64_p1
80,1675.0425546331305,400000.0,Ant-v3,TD3_Q2a1x64_p1
81,1786.076515452113,405000.0,Ant-v3,TD3_Q2a1x64_p1
82,1610.4310116804018,410000.0,Ant-v3,TD3_Q2a1x64_p1
83,1995.1246063421283,415000.0,Ant-v3,TD3_Q2a1x64_p1
84,1905.7465223627364,420000.0,Ant-v3,TD3_Q2a1x64_p1
85,1834.9568480259968,425000.0,Ant-v3,TD3_Q2a1x64_p1
86,2059.0802961251125,430000.0,Ant-v3,TD3_Q2a1x64_p1
87,1749.8977040414775,435000.0,Ant-v3,TD3_Q2a1x64_p1
88,2099.8567686005385,440000.0,Ant-v3,TD3_Q2a1x64_p1
89,2017.3859290796931,445000.0,Ant-v3,TD3_Q2a1x64_p1
90,2134.2308745822766,450000.0,Ant-v3,TD3_Q2a1x64_p1
91,2059.3954960921055,455000.0,Ant-v3,TD3_Q2a1x64_p1
92,1945.362124287733,460000.0,Ant-v3,TD3_Q2a1x64_p1
93,2201.406260553068,465000.0,Ant-v3,TD3_Q2a1x64_p1
94,2041.1457694446376,470000.0,Ant-v3,TD3_Q2a1x64_p1
95,2160.6362983455692,475000.0,Ant-v3,TD3_Q2a1x64_p1
