index,Average Return,Timesteps,env,algorithm_name
0,947.801185515805,0.0,Ant-v3,TD3_Q2a1x64_p25
1,926.5388850651709,5000.0,Ant-v3,TD3_Q2a1x64_p25
2,902.9102458489693,10000.0,Ant-v3,TD3_Q2a1x64_p25
3,774.7111791753598,15000.0,Ant-v3,TD3_Q2a1x64_p25
4,423.7043037600726,20000.0,Ant-v3,TD3_Q2a1x64_p25
5,947.3439412626925,25000.0,Ant-v3,TD3_Q2a1x64_p25
6,934.9868407586313,30000.0,Ant-v3,TD3_Q2a1x64_p25
7,902.975793340605,35000.0,Ant-v3,TD3_Q2a1x64_p25
8,767.1065832563561,40000.0,Ant-v3,TD3_Q2a1x64_p25
9,684.7657496417899,45000.0,Ant-v3,TD3_Q2a1x64_p25
10,839.2466339312983,50000.0,Ant-v3,TD3_Q2a1x64_p25
11,802.7518534971526,55000.0,Ant-v3,TD3_Q2a1x64_p25
12,756.4257329945711,60000.0,Ant-v3,TD3_Q2a1x64_p25
13,587.9763300634543,65000.0,Ant-v3,TD3_Q2a1x64_p25
14,452.94302605210066,70000.0,Ant-v3,TD3_Q2a1x64_p25
15,532.9050529140306,75000.0,Ant-v3,TD3_Q2a1x64_p25
16,338.7400756710917,80000.0,Ant-v3,TD3_Q2a1x64_p25
17,254.77314299175328,85000.0,Ant-v3,TD3_Q2a1x64_p25
18,143.90091482851707,90000.0,Ant-v3,TD3_Q2a1x64_p25
19,116.53566482366486,95000.0,Ant-v3,TD3_Q2a1x64_p25
20,288.99423248296534,100000.0,Ant-v3,TD3_Q2a1x64_p25
21,282.2904527991347,105000.0,Ant-v3,TD3_Q2a1x64_p25
22,108.91558240109848,110000.0,Ant-v3,TD3_Q2a1x64_p25
23,124.91060886995078,115000.0,Ant-v3,TD3_Q2a1x64_p25
24,36.78025450971691,120000.0,Ant-v3,TD3_Q2a1x64_p25
25,549.4205717476141,125000.0,Ant-v3,TD3_Q2a1x64_p25
26,421.98102005421276,130000.0,Ant-v3,TD3_Q2a1x64_p25
27,262.28358862865144,135000.0,Ant-v3,TD3_Q2a1x64_p25
28,148.8199339816262,140000.0,Ant-v3,TD3_Q2a1x64_p25
29,112.23832879981587,145000.0,Ant-v3,TD3_Q2a1x64_p25
30,778.4831348465622,150000.0,Ant-v3,TD3_Q2a1x64_p25
31,731.5776879843255,155000.0,Ant-v3,TD3_Q2a1x64_p25
32,389.95595642260446,160000.0,Ant-v3,TD3_Q2a1x64_p25
33,373.4880678763704,165000.0,Ant-v3,TD3_Q2a1x64_p25
34,240.16682347265413,170000.0,Ant-v3,TD3_Q2a1x64_p25
35,673.6936493066345,175000.0,Ant-v3,TD3_Q2a1x64_p25
36,728.9900295388953,180000.0,Ant-v3,TD3_Q2a1x64_p25
37,540.2874208846613,185000.0,Ant-v3,TD3_Q2a1x64_p25
38,350.4835456790497,190000.0,Ant-v3,TD3_Q2a1x64_p25
39,283.53383419683985,195000.0,Ant-v3,TD3_Q2a1x64_p25
40,818.9101928635527,200000.0,Ant-v3,TD3_Q2a1x64_p25
41,716.9524503025751,205000.0,Ant-v3,TD3_Q2a1x64_p25
42,657.4983957704342,210000.0,Ant-v3,TD3_Q2a1x64_p25
43,424.41628858511905,215000.0,Ant-v3,TD3_Q2a1x64_p25
44,327.9003186315037,220000.0,Ant-v3,TD3_Q2a1x64_p25
45,846.6248444493161,225000.0,Ant-v3,TD3_Q2a1x64_p25
46,827.4640840056949,230000.0,Ant-v3,TD3_Q2a1x64_p25
47,684.0231401149929,235000.0,Ant-v3,TD3_Q2a1x64_p25
48,602.6376132620281,240000.0,Ant-v3,TD3_Q2a1x64_p25
49,446.65015744568944,245000.0,Ant-v3,TD3_Q2a1x64_p25
50,877.6622331939985,250000.0,Ant-v3,TD3_Q2a1x64_p25
51,709.8026046957826,255000.0,Ant-v3,TD3_Q2a1x64_p25
52,742.2307621586394,260000.0,Ant-v3,TD3_Q2a1x64_p25
53,386.1506063809496,265000.0,Ant-v3,TD3_Q2a1x64_p25
54,188.2668515561096,270000.0,Ant-v3,TD3_Q2a1x64_p25
55,910.2065229666111,275000.0,Ant-v3,TD3_Q2a1x64_p25
56,892.7917223181126,280000.0,Ant-v3,TD3_Q2a1x64_p25
57,484.13546772329653,285000.0,Ant-v3,TD3_Q2a1x64_p25
58,400.8771028980219,290000.0,Ant-v3,TD3_Q2a1x64_p25
59,277.1808145207535,295000.0,Ant-v3,TD3_Q2a1x64_p25
60,873.1518765795656,300000.0,Ant-v3,TD3_Q2a1x64_p25
61,866.3560499832965,305000.0,Ant-v3,TD3_Q2a1x64_p25
62,734.6396639587404,310000.0,Ant-v3,TD3_Q2a1x64_p25
63,443.2430694178871,315000.0,Ant-v3,TD3_Q2a1x64_p25
64,272.24167589380255,320000.0,Ant-v3,TD3_Q2a1x64_p25
65,799.785544517955,325000.0,Ant-v3,TD3_Q2a1x64_p25
66,812.3144388012417,330000.0,Ant-v3,TD3_Q2a1x64_p25
67,629.3388333991193,335000.0,Ant-v3,TD3_Q2a1x64_p25
68,260.68613332893074,340000.0,Ant-v3,TD3_Q2a1x64_p25
69,114.19782427466112,345000.0,Ant-v3,TD3_Q2a1x64_p25
70,790.2892405075547,350000.0,Ant-v3,TD3_Q2a1x64_p25
71,847.0315036932758,355000.0,Ant-v3,TD3_Q2a1x64_p25
72,690.8656387411932,360000.0,Ant-v3,TD3_Q2a1x64_p25
73,615.8689391632475,365000.0,Ant-v3,TD3_Q2a1x64_p25
74,349.9083515719878,370000.0,Ant-v3,TD3_Q2a1x64_p25
75,889.8093041485806,375000.0,Ant-v3,TD3_Q2a1x64_p25
76,871.0088767887777,380000.0,Ant-v3,TD3_Q2a1x64_p25
77,724.0521352438985,385000.0,Ant-v3,TD3_Q2a1x64_p25
