index,Average Return,Timesteps,env,algorithm_name
0,982.3432234206214,0.0,Ant-v3,TD3
1,981.0956151240198,5000.0,Ant-v3,TD3
2,980.890988569308,10000.0,Ant-v3,TD3
3,981.405835241093,15000.0,Ant-v3,TD3
4,983.1878673717308,20000.0,Ant-v3,TD3
5,982.5191718417366,25000.0,Ant-v3,TD3
6,981.3895932003454,30000.0,Ant-v3,TD3
7,982.2953386162092,35000.0,Ant-v3,TD3
8,982.0641046385132,40000.0,Ant-v3,TD3
9,980.0133571574625,45000.0,Ant-v3,TD3
10,704.4237068963263,50000.0,Ant-v3,TD3
11,720.424153581107,55000.0,Ant-v3,TD3
12,757.2979974376105,60000.0,Ant-v3,TD3
13,757.050105402182,65000.0,Ant-v3,TD3
14,719.634576332496,70000.0,Ant-v3,TD3
15,835.4782938368614,75000.0,Ant-v3,TD3
16,844.640323392855,80000.0,Ant-v3,TD3
17,876.3854556997976,85000.0,Ant-v3,TD3
18,774.9635820434818,90000.0,Ant-v3,TD3
19,873.3182991953048,95000.0,Ant-v3,TD3
20,607.3381107143925,100000.0,Ant-v3,TD3
21,527.5953009178273,105000.0,Ant-v3,TD3
22,636.9741364824306,110000.0,Ant-v3,TD3
23,387.22345858236156,115000.0,Ant-v3,TD3
24,646.3861770154197,120000.0,Ant-v3,TD3
25,736.4647371111422,125000.0,Ant-v3,TD3
26,772.3356277829522,130000.0,Ant-v3,TD3
27,788.9203446171798,135000.0,Ant-v3,TD3
28,760.8873873577638,140000.0,Ant-v3,TD3
29,780.2810549439994,145000.0,Ant-v3,TD3
30,852.5883395134957,150000.0,Ant-v3,TD3
31,788.177103179008,155000.0,Ant-v3,TD3
32,807.3511801918446,160000.0,Ant-v3,TD3
33,767.4751543059044,165000.0,Ant-v3,TD3
34,782.2205885730571,170000.0,Ant-v3,TD3
35,858.6598104522225,175000.0,Ant-v3,TD3
36,810.2163107965895,180000.0,Ant-v3,TD3
37,758.0698895693263,185000.0,Ant-v3,TD3
38,800.365990957527,190000.0,Ant-v3,TD3
39,826.7121173065977,195000.0,Ant-v3,TD3
40,839.4157661456231,200000.0,Ant-v3,TD3
41,817.7877086749932,205000.0,Ant-v3,TD3
42,814.7432362942575,210000.0,Ant-v3,TD3
