index,Average Return,Timesteps,env,algorithm_name
0,988.6640231653719,0.0,Ant-v3,TD3
1,944.3111688093097,5000.0,Ant-v3,TD3
2,885.8373947974342,10000.0,Ant-v3,TD3
3,799.2025679465436,15000.0,Ant-v3,TD3
4,728.1475153696837,20000.0,Ant-v3,TD3
5,989.9645143633801,25000.0,Ant-v3,TD3
6,956.4184139537244,30000.0,Ant-v3,TD3
7,871.9944875023602,35000.0,Ant-v3,TD3
8,791.1137756769612,40000.0,Ant-v3,TD3
9,663.4297734871385,45000.0,Ant-v3,TD3
10,826.3013064084814,50000.0,Ant-v3,TD3
11,679.5832301330986,55000.0,Ant-v3,TD3
12,558.8368954512566,60000.0,Ant-v3,TD3
13,506.4278395493282,65000.0,Ant-v3,TD3
14,374.7418675594297,70000.0,Ant-v3,TD3
15,497.8951017124867,75000.0,Ant-v3,TD3
16,487.8845169232479,80000.0,Ant-v3,TD3
17,344.6383296349564,85000.0,Ant-v3,TD3
18,132.18171250260932,90000.0,Ant-v3,TD3
19,132.82443928248642,95000.0,Ant-v3,TD3
20,447.2784297585399,100000.0,Ant-v3,TD3
21,360.2332808161378,105000.0,Ant-v3,TD3
22,287.2153962335186,110000.0,Ant-v3,TD3
23,182.5448926783145,115000.0,Ant-v3,TD3
24,85.66001174782772,120000.0,Ant-v3,TD3
25,699.0800768992369,125000.0,Ant-v3,TD3
26,618.0402499580106,130000.0,Ant-v3,TD3
27,356.2314534600407,135000.0,Ant-v3,TD3
28,304.5363632900377,140000.0,Ant-v3,TD3
29,130.27476306409952,145000.0,Ant-v3,TD3
30,566.5526108463966,150000.0,Ant-v3,TD3
31,527.518809322687,155000.0,Ant-v3,TD3
32,205.5560268091636,160000.0,Ant-v3,TD3
33,106.87754484142654,165000.0,Ant-v3,TD3
34,46.121414178301265,170000.0,Ant-v3,TD3
35,798.6499502197133,175000.0,Ant-v3,TD3
36,457.6107881900678,180000.0,Ant-v3,TD3
37,279.1211345053886,185000.0,Ant-v3,TD3
38,107.51405640708256,190000.0,Ant-v3,TD3
39,100.02281319205619,195000.0,Ant-v3,TD3
40,691.1373541930781,200000.0,Ant-v3,TD3
41,629.6920116420699,205000.0,Ant-v3,TD3
42,323.5219652234117,210000.0,Ant-v3,TD3
43,213.1299417018839,215000.0,Ant-v3,TD3
44,81.41133496747992,220000.0,Ant-v3,TD3
45,826.8584257800497,225000.0,Ant-v3,TD3
46,755.3213577509724,230000.0,Ant-v3,TD3
47,596.6419661939327,235000.0,Ant-v3,TD3
48,360.82106701558587,240000.0,Ant-v3,TD3
49,140.50160486371274,245000.0,Ant-v3,TD3
50,664.596607484176,250000.0,Ant-v3,TD3
51,458.1226323850936,255000.0,Ant-v3,TD3
52,453.83171752883743,260000.0,Ant-v3,TD3
53,159.7058069662928,265000.0,Ant-v3,TD3
54,167.19786195739601,270000.0,Ant-v3,TD3
55,712.2780401268542,275000.0,Ant-v3,TD3
56,622.1512850470193,280000.0,Ant-v3,TD3
57,470.52018038859626,285000.0,Ant-v3,TD3
58,335.9101081859136,290000.0,Ant-v3,TD3
59,177.51275989742453,295000.0,Ant-v3,TD3
60,778.3917796067312,300000.0,Ant-v3,TD3
61,689.0274817295445,305000.0,Ant-v3,TD3
62,683.3563585591331,310000.0,Ant-v3,TD3
63,437.8653938515703,315000.0,Ant-v3,TD3
64,288.04329687389634,320000.0,Ant-v3,TD3
65,633.20007522875,325000.0,Ant-v3,TD3
66,676.1929193660719,330000.0,Ant-v3,TD3
67,600.2414657203178,335000.0,Ant-v3,TD3
68,333.9619852066301,340000.0,Ant-v3,TD3
69,222.15001502340937,345000.0,Ant-v3,TD3
70,814.7176721574693,350000.0,Ant-v3,TD3
71,807.6636649409121,355000.0,Ant-v3,TD3
72,625.1363341908179,360000.0,Ant-v3,TD3
73,478.0231826152205,365000.0,Ant-v3,TD3
74,267.5354362523195,370000.0,Ant-v3,TD3
75,771.2544960506405,375000.0,Ant-v3,TD3
76,841.8377336067713,380000.0,Ant-v3,TD3
77,603.92545856824,385000.0,Ant-v3,TD3
78,441.8389237972909,390000.0,Ant-v3,TD3
79,211.29353428214375,395000.0,Ant-v3,TD3
80,696.1166822820796,400000.0,Ant-v3,TD3
81,677.3485457700342,405000.0,Ant-v3,TD3
82,470.7834699216948,410000.0,Ant-v3,TD3
83,461.15657141683715,415000.0,Ant-v3,TD3
84,189.92637695056112,420000.0,Ant-v3,TD3
85,746.5401528810258,425000.0,Ant-v3,TD3
86,750.823592820315,430000.0,Ant-v3,TD3
87,661.5702518634295,435000.0,Ant-v3,TD3
88,356.51868495175705,440000.0,Ant-v3,TD3
89,257.27364064828856,445000.0,Ant-v3,TD3
90,696.5723761838334,450000.0,Ant-v3,TD3
91,708.0282220974414,455000.0,Ant-v3,TD3
92,736.4259510914338,460000.0,Ant-v3,TD3
93,449.349899535432,465000.0,Ant-v3,TD3
94,291.04623738556927,470000.0,Ant-v3,TD3
95,837.8871752752264,475000.0,Ant-v3,TD3
96,814.6612894895567,480000.0,Ant-v3,TD3
97,514.504686648717,485000.0,Ant-v3,TD3
98,405.205930464108,490000.0,Ant-v3,TD3
99,289.8345988894615,495000.0,Ant-v3,TD3
100,817.829489290112,500000.0,Ant-v3,TD3
101,746.4898071497693,505000.0,Ant-v3,TD3
102,638.309253287883,510000.0,Ant-v3,TD3
103,537.256934421928,515000.0,Ant-v3,TD3
104,288.0939685753498,520000.0,Ant-v3,TD3
105,811.9949420558595,525000.0,Ant-v3,TD3
106,858.3391311752584,530000.0,Ant-v3,TD3
107,713.1797348754981,535000.0,Ant-v3,TD3
108,573.8450779651079,540000.0,Ant-v3,TD3
109,358.9279293062567,545000.0,Ant-v3,TD3
110,798.0528398536338,550000.0,Ant-v3,TD3
111,607.639015110319,555000.0,Ant-v3,TD3
112,384.79844944835725,560000.0,Ant-v3,TD3
113,482.94420673506966,565000.0,Ant-v3,TD3
114,253.05236595227908,570000.0,Ant-v3,TD3
115,917.178836596798,575000.0,Ant-v3,TD3
116,842.2171853856462,580000.0,Ant-v3,TD3
117,724.9682461504094,585000.0,Ant-v3,TD3
118,582.6259288111411,590000.0,Ant-v3,TD3
119,410.3241671601053,595000.0,Ant-v3,TD3
120,808.2525477953128,600000.0,Ant-v3,TD3
121,817.5249384722831,605000.0,Ant-v3,TD3
122,482.4408631878541,610000.0,Ant-v3,TD3
123,314.5263816467633,615000.0,Ant-v3,TD3
124,370.7191436277084,620000.0,Ant-v3,TD3
125,806.8224950369787,625000.0,Ant-v3,TD3
126,793.2660355616008,630000.0,Ant-v3,TD3
127,648.2973982370446,635000.0,Ant-v3,TD3
128,266.01119184122916,640000.0,Ant-v3,TD3
129,128.39993132485625,645000.0,Ant-v3,TD3
130,931.7933884921542,650000.0,Ant-v3,TD3
131,825.4087634558409,655000.0,Ant-v3,TD3
132,760.4384840301983,660000.0,Ant-v3,TD3
133,603.4481632318701,665000.0,Ant-v3,TD3
134,239.08724180815238,670000.0,Ant-v3,TD3
135,871.6737013938515,675000.0,Ant-v3,TD3
136,918.2758187559905,680000.0,Ant-v3,TD3
137,703.7924522812274,685000.0,Ant-v3,TD3
138,526.4365714015048,690000.0,Ant-v3,TD3
139,479.6196161334019,695000.0,Ant-v3,TD3
140,962.193197404704,700000.0,Ant-v3,TD3
141,925.083360563381,705000.0,Ant-v3,TD3
142,823.5282422592311,710000.0,Ant-v3,TD3
143,701.983333763864,715000.0,Ant-v3,TD3
144,498.358158212568,720000.0,Ant-v3,TD3
145,1042.2720564081233,725000.0,Ant-v3,TD3
146,970.8370605217609,730000.0,Ant-v3,TD3
147,592.5612802097679,735000.0,Ant-v3,TD3
148,615.0771780400028,740000.0,Ant-v3,TD3
149,435.617518916816,745000.0,Ant-v3,TD3
150,782.4713212266862,750000.0,Ant-v3,TD3
151,676.547888616393,755000.0,Ant-v3,TD3
152,594.0672307194698,760000.0,Ant-v3,TD3
153,500.3947662159676,765000.0,Ant-v3,TD3
154,292.1881270226928,770000.0,Ant-v3,TD3
155,922.5202853452483,775000.0,Ant-v3,TD3
156,475.61024274493474,780000.0,Ant-v3,TD3
157,686.5201161089072,785000.0,Ant-v3,TD3
158,631.6156394870566,790000.0,Ant-v3,TD3
159,276.68850768323034,795000.0,Ant-v3,TD3
160,988.1827817571572,800000.0,Ant-v3,TD3
161,580.7902964082133,805000.0,Ant-v3,TD3
162,457.2459280393317,810000.0,Ant-v3,TD3
163,648.3803213122155,815000.0,Ant-v3,TD3
164,350.5594376054843,820000.0,Ant-v3,TD3
165,823.0868737355252,825000.0,Ant-v3,TD3
166,976.9617013052559,830000.0,Ant-v3,TD3
167,586.0759013644213,835000.0,Ant-v3,TD3
168,433.28794644235705,840000.0,Ant-v3,TD3
169,369.9037806737998,845000.0,Ant-v3,TD3
170,815.5234704169782,850000.0,Ant-v3,TD3
171,847.3863316762614,855000.0,Ant-v3,TD3
172,675.5273141660072,860000.0,Ant-v3,TD3
173,151.57000129389627,865000.0,Ant-v3,TD3
174,154.31216399096948,870000.0,Ant-v3,TD3
175,855.9400406750319,875000.0,Ant-v3,TD3
176,762.8948734749861,880000.0,Ant-v3,TD3
177,596.977446928103,885000.0,Ant-v3,TD3
178,601.775029297193,890000.0,Ant-v3,TD3
179,379.42871839423805,895000.0,Ant-v3,TD3
180,1032.43561429826,900000.0,Ant-v3,TD3
181,710.3300754576491,905000.0,Ant-v3,TD3
182,613.9087197714956,910000.0,Ant-v3,TD3
183,414.69491769308826,915000.0,Ant-v3,TD3
184,456.1706902608871,920000.0,Ant-v3,TD3
185,1115.9683953388173,925000.0,Ant-v3,TD3
186,765.0085463784883,930000.0,Ant-v3,TD3
187,669.1712775229923,935000.0,Ant-v3,TD3
188,672.8475070254945,940000.0,Ant-v3,TD3
189,763.1585990503522,945000.0,Ant-v3,TD3
190,773.986921394978,950000.0,Ant-v3,TD3
191,490.90501849783976,955000.0,Ant-v3,TD3
192,478.4952528588944,960000.0,Ant-v3,TD3
193,262.1690113934792,965000.0,Ant-v3,TD3
194,368.0083500920146,970000.0,Ant-v3,TD3
195,1037.9464291715856,975000.0,Ant-v3,TD3
196,1234.3620385575223,980000.0,Ant-v3,TD3
197,1058.1400925622752,985000.0,Ant-v3,TD3
198,1001.1119602366782,990000.0,Ant-v3,TD3
199,663.8718510045605,995000.0,Ant-v3,TD3
200,1309.9948130621717,1000000.0,Ant-v3,TD3
201,1194.8830138368073,1005000.0,Ant-v3,TD3
202,756.3684146246335,1010000.0,Ant-v3,TD3
203,987.8617159275489,1015000.0,Ant-v3,TD3
204,387.24124275348345,1020000.0,Ant-v3,TD3
205,473.61979859405284,1025000.0,Ant-v3,TD3
206,753.7021550705126,1030000.0,Ant-v3,TD3
207,913.1730961980577,1035000.0,Ant-v3,TD3
208,384.7201584432654,1040000.0,Ant-v3,TD3
209,473.78074422189303,1045000.0,Ant-v3,TD3
210,528.3956444286863,1050000.0,Ant-v3,TD3
211,640.1404146123612,1055000.0,Ant-v3,TD3
212,621.3674739893258,1060000.0,Ant-v3,TD3
213,261.13838429086064,1065000.0,Ant-v3,TD3
214,116.48151910038389,1070000.0,Ant-v3,TD3
215,926.150404117658,1075000.0,Ant-v3,TD3
216,742.4927195463771,1080000.0,Ant-v3,TD3
217,712.8282924650781,1085000.0,Ant-v3,TD3
218,447.5924217916798,1090000.0,Ant-v3,TD3
219,412.31572079836604,1095000.0,Ant-v3,TD3
220,994.2887585903948,1100000.0,Ant-v3,TD3
221,1054.3494992796147,1105000.0,Ant-v3,TD3
222,935.413363690066,1110000.0,Ant-v3,TD3
223,700.2842269173846,1115000.0,Ant-v3,TD3
224,580.3467926397195,1120000.0,Ant-v3,TD3
225,1175.1285055641192,1125000.0,Ant-v3,TD3
226,1219.9794740859718,1130000.0,Ant-v3,TD3
227,1284.0629554436634,1135000.0,Ant-v3,TD3
228,1035.869710545045,1140000.0,Ant-v3,TD3
229,1109.9581449756786,1145000.0,Ant-v3,TD3
230,1151.3466109808892,1150000.0,Ant-v3,TD3
231,1117.3435419154825,1155000.0,Ant-v3,TD3
232,1132.5045741626957,1160000.0,Ant-v3,TD3
233,1038.051346547061,1165000.0,Ant-v3,TD3
234,614.2020099660378,1170000.0,Ant-v3,TD3
235,1833.1845477367751,1175000.0,Ant-v3,TD3
236,1427.718023490856,1180000.0,Ant-v3,TD3
237,975.9846283765659,1185000.0,Ant-v3,TD3
238,1010.5180293219222,1190000.0,Ant-v3,TD3
239,855.8053669735461,1195000.0,Ant-v3,TD3
240,1362.6115041068738,1200000.0,Ant-v3,TD3
241,1681.186290275742,1205000.0,Ant-v3,TD3
242,1613.2328524618438,1210000.0,Ant-v3,TD3
243,1280.0707782078985,1215000.0,Ant-v3,TD3
244,1087.0827436887805,1220000.0,Ant-v3,TD3
245,2002.6282535804003,1225000.0,Ant-v3,TD3
246,1825.3147439252182,1230000.0,Ant-v3,TD3
247,1521.447468056704,1235000.0,Ant-v3,TD3
248,1058.146717154091,1240000.0,Ant-v3,TD3
249,768.052389361183,1245000.0,Ant-v3,TD3
250,1339.3972957277058,1250000.0,Ant-v3,TD3
251,1168.7145160247699,1255000.0,Ant-v3,TD3
252,847.0350166097878,1260000.0,Ant-v3,TD3
253,681.535999068222,1265000.0,Ant-v3,TD3
254,613.2646843266114,1270000.0,Ant-v3,TD3
255,1524.9478143009167,1275000.0,Ant-v3,TD3
256,1481.74984416889,1280000.0,Ant-v3,TD3
257,1498.483790432605,1285000.0,Ant-v3,TD3
258,833.2310950896556,1290000.0,Ant-v3,TD3
259,858.1547202080083,1295000.0,Ant-v3,TD3
260,1653.4445460591644,1300000.0,Ant-v3,TD3
261,1194.1073023669007,1305000.0,Ant-v3,TD3
262,1172.2005394147707,1310000.0,Ant-v3,TD3
263,983.7307781398507,1315000.0,Ant-v3,TD3
264,777.2819921913836,1320000.0,Ant-v3,TD3
265,1960.4063624065395,1325000.0,Ant-v3,TD3
266,1520.056381727485,1330000.0,Ant-v3,TD3
267,1495.803119174046,1335000.0,Ant-v3,TD3
268,877.1032260183777,1340000.0,Ant-v3,TD3
269,1074.2888639154671,1345000.0,Ant-v3,TD3
270,1880.9384211679069,1350000.0,Ant-v3,TD3
271,1853.0086972225745,1355000.0,Ant-v3,TD3
272,1504.7543076006932,1360000.0,Ant-v3,TD3
273,1575.815595734606,1365000.0,Ant-v3,TD3
274,824.0628387772524,1370000.0,Ant-v3,TD3
275,1645.71516828009,1375000.0,Ant-v3,TD3
276,1679.7128478797226,1380000.0,Ant-v3,TD3
277,1627.406493958314,1385000.0,Ant-v3,TD3
278,1362.6446038621893,1390000.0,Ant-v3,TD3
279,1104.837968555897,1395000.0,Ant-v3,TD3
280,2136.2471269303514,1400000.0,Ant-v3,TD3
281,2059.4186029757866,1405000.0,Ant-v3,TD3
282,1655.3324871776756,1410000.0,Ant-v3,TD3
283,1317.3871533668719,1415000.0,Ant-v3,TD3
284,1101.3289556052828,1420000.0,Ant-v3,TD3
285,654.9046259971127,1425000.0,Ant-v3,TD3
286,955.9659643193849,1430000.0,Ant-v3,TD3
287,792.0718324185929,1435000.0,Ant-v3,TD3
288,771.1038019194167,1440000.0,Ant-v3,TD3
289,619.8627839983623,1445000.0,Ant-v3,TD3
