index,Average Return,Timesteps,env,algorithm_name
0,-28.65380077205102,0.0,Ant-v3,TD3_L
1,44.5073521005987,5000.0,Ant-v3,TD3_L
2,106.52384203402612,10000.0,Ant-v3,TD3_L
3,881.949543051277,15000.0,Ant-v3,TD3_L
4,740.8105460234743,20000.0,Ant-v3,TD3_L
5,529.7229859949697,25000.0,Ant-v3,TD3_L
6,806.8580010013426,30000.0,Ant-v3,TD3_L
7,810.9353742521779,35000.0,Ant-v3,TD3_L
8,789.9488813681212,40000.0,Ant-v3,TD3_L
9,875.5633853972956,45000.0,Ant-v3,TD3_L
10,874.8158262556854,50000.0,Ant-v3,TD3_L
11,697.8026997992835,55000.0,Ant-v3,TD3_L
12,930.8101353295917,60000.0,Ant-v3,TD3_L
13,915.0323476517617,65000.0,Ant-v3,TD3_L
14,932.1326364138009,70000.0,Ant-v3,TD3_L
15,878.1385107224199,75000.0,Ant-v3,TD3_L
16,932.6277983702612,80000.0,Ant-v3,TD3_L
17,952.7757807883279,85000.0,Ant-v3,TD3_L
18,807.5228373829683,90000.0,Ant-v3,TD3_L
19,823.876508118978,95000.0,Ant-v3,TD3_L
20,876.3208392151791,100000.0,Ant-v3,TD3_L
21,939.0100816290776,105000.0,Ant-v3,TD3_L
22,938.8287782693345,110000.0,Ant-v3,TD3_L
23,961.5839699293474,115000.0,Ant-v3,TD3_L
24,958.5030632911561,120000.0,Ant-v3,TD3_L
25,948.7470449431318,125000.0,Ant-v3,TD3_L
26,936.4463835597962,130000.0,Ant-v3,TD3_L
27,901.7595691148033,135000.0,Ant-v3,TD3_L
28,942.882579233574,140000.0,Ant-v3,TD3_L
29,894.4784523023521,145000.0,Ant-v3,TD3_L
30,656.546895990077,150000.0,Ant-v3,TD3_L
31,682.729947980595,155000.0,Ant-v3,TD3_L
32,932.9459527512856,160000.0,Ant-v3,TD3_L
33,929.9539609123194,165000.0,Ant-v3,TD3_L
34,927.1738555121923,170000.0,Ant-v3,TD3_L
35,926.5820271172031,175000.0,Ant-v3,TD3_L
36,923.7684755658693,180000.0,Ant-v3,TD3_L
37,957.9733836647771,185000.0,Ant-v3,TD3_L
38,951.4897875382167,190000.0,Ant-v3,TD3_L
39,904.7336940962484,195000.0,Ant-v3,TD3_L
40,822.2189849653171,200000.0,Ant-v3,TD3_L
41,963.1096014619013,205000.0,Ant-v3,TD3_L
42,926.2649725181752,210000.0,Ant-v3,TD3_L
43,940.2933373838114,215000.0,Ant-v3,TD3_L
44,650.1138095786483,220000.0,Ant-v3,TD3_L
45,938.7461850249663,225000.0,Ant-v3,TD3_L
46,946.6585280312158,230000.0,Ant-v3,TD3_L
47,915.7237273907476,235000.0,Ant-v3,TD3_L
48,940.0554222268687,240000.0,Ant-v3,TD3_L
49,957.2554047208611,245000.0,Ant-v3,TD3_L
50,954.8512573532328,250000.0,Ant-v3,TD3_L
51,941.3301506044633,255000.0,Ant-v3,TD3_L
52,924.9565405358147,260000.0,Ant-v3,TD3_L
53,942.9199049013962,265000.0,Ant-v3,TD3_L
54,953.7767363804344,270000.0,Ant-v3,TD3_L
55,953.5215295451655,275000.0,Ant-v3,TD3_L
56,946.0727282710665,280000.0,Ant-v3,TD3_L
57,944.1217152472188,285000.0,Ant-v3,TD3_L
58,966.8508223259829,290000.0,Ant-v3,TD3_L
59,963.9794679188774,295000.0,Ant-v3,TD3_L
60,942.4163957353067,300000.0,Ant-v3,TD3_L
61,978.0365693313075,305000.0,Ant-v3,TD3_L
62,964.1810188465986,310000.0,Ant-v3,TD3_L
63,951.4372416848697,315000.0,Ant-v3,TD3_L
64,975.1710827563411,320000.0,Ant-v3,TD3_L
65,958.1217622337584,325000.0,Ant-v3,TD3_L
66,1148.4399362598551,330000.0,Ant-v3,TD3_L
67,1150.138362225866,335000.0,Ant-v3,TD3_L
68,1247.951369940471,340000.0,Ant-v3,TD3_L
69,1229.5026968844122,345000.0,Ant-v3,TD3_L
70,1023.2882002086453,350000.0,Ant-v3,TD3_L
71,1355.0327987104408,355000.0,Ant-v3,TD3_L
72,1239.5699110680916,360000.0,Ant-v3,TD3_L
73,1293.1222114045615,365000.0,Ant-v3,TD3_L
