index,Average Return,Timesteps,env,algorithm_name
0,71.18991135693534,0.0,Ant-v3,TD3_Q2b
1,-30.566226799385,5000.0,Ant-v3,TD3_Q2b
2,343.760059276477,10000.0,Ant-v3,TD3_Q2b
3,852.3435382497555,15000.0,Ant-v3,TD3_Q2b
4,650.7415975490649,20000.0,Ant-v3,TD3_Q2b
5,623.2033424130684,25000.0,Ant-v3,TD3_Q2b
6,776.1398393070006,30000.0,Ant-v3,TD3_Q2b
7,779.5141344963124,35000.0,Ant-v3,TD3_Q2b
8,837.6536563200985,40000.0,Ant-v3,TD3_Q2b
9,889.764464086533,45000.0,Ant-v3,TD3_Q2b
10,828.0564602332524,50000.0,Ant-v3,TD3_Q2b
11,925.6537361959654,55000.0,Ant-v3,TD3_Q2b
12,908.6438059357579,60000.0,Ant-v3,TD3_Q2b
13,885.9404260393603,65000.0,Ant-v3,TD3_Q2b
14,884.9221892077625,70000.0,Ant-v3,TD3_Q2b
15,713.4882055703054,75000.0,Ant-v3,TD3_Q2b
16,827.2525100908267,80000.0,Ant-v3,TD3_Q2b
17,862.0470878238004,85000.0,Ant-v3,TD3_Q2b
18,924.3237672011801,90000.0,Ant-v3,TD3_Q2b
19,953.7110598724851,95000.0,Ant-v3,TD3_Q2b
20,927.8586872067217,100000.0,Ant-v3,TD3_Q2b
21,924.9844079623914,105000.0,Ant-v3,TD3_Q2b
22,974.1309406963512,110000.0,Ant-v3,TD3_Q2b
23,1045.6616837202046,115000.0,Ant-v3,TD3_Q2b
24,1051.7299118130838,120000.0,Ant-v3,TD3_Q2b
25,875.6412412663583,125000.0,Ant-v3,TD3_Q2b
26,867.0973971261385,130000.0,Ant-v3,TD3_Q2b
27,965.7957619027302,135000.0,Ant-v3,TD3_Q2b
28,752.1246546542725,140000.0,Ant-v3,TD3_Q2b
29,1240.914138326908,145000.0,Ant-v3,TD3_Q2b
30,700.393660532472,150000.0,Ant-v3,TD3_Q2b
31,640.8445182790169,155000.0,Ant-v3,TD3_Q2b
32,585.8533433596688,160000.0,Ant-v3,TD3_Q2b
33,845.076542004503,165000.0,Ant-v3,TD3_Q2b
34,1245.0153518064776,170000.0,Ant-v3,TD3_Q2b
35,697.7924758112384,175000.0,Ant-v3,TD3_Q2b
36,1208.949521853118,180000.0,Ant-v3,TD3_Q2b
37,669.5237331390033,185000.0,Ant-v3,TD3_Q2b
38,1164.0877934451023,190000.0,Ant-v3,TD3_Q2b
39,894.659565640621,195000.0,Ant-v3,TD3_Q2b
40,1236.016777724471,200000.0,Ant-v3,TD3_Q2b
41,926.7456202158206,205000.0,Ant-v3,TD3_Q2b
42,508.66169213447483,210000.0,Ant-v3,TD3_Q2b
43,1556.2057037441969,215000.0,Ant-v3,TD3_Q2b
44,1757.2050206697854,220000.0,Ant-v3,TD3_Q2b
45,1605.187677463999,225000.0,Ant-v3,TD3_Q2b
46,1004.2423281926997,230000.0,Ant-v3,TD3_Q2b
47,1400.8990111786884,235000.0,Ant-v3,TD3_Q2b
48,1477.7938547342205,240000.0,Ant-v3,TD3_Q2b
49,1805.106089451973,245000.0,Ant-v3,TD3_Q2b
50,1356.810715027843,250000.0,Ant-v3,TD3_Q2b
51,1900.4771691678022,255000.0,Ant-v3,TD3_Q2b
52,1481.4874827377253,260000.0,Ant-v3,TD3_Q2b
53,1897.4016241117029,265000.0,Ant-v3,TD3_Q2b
54,2318.4075739678383,270000.0,Ant-v3,TD3_Q2b
55,2356.2420187979383,275000.0,Ant-v3,TD3_Q2b
56,2345.438211695642,280000.0,Ant-v3,TD3_Q2b
