index,Average Return,Timesteps,env,algorithm_name
0,-32.697117494952025,0.0,BipedalWalker-v3,TD3_Q2a
1,-33.582396745133344,5000.0,BipedalWalker-v3,TD3_Q2a
2,-33.33386536304631,10000.0,BipedalWalker-v3,TD3_Q2a
3,-106.29878037435665,15000.0,BipedalWalker-v3,TD3_Q2a
4,-119.53839761052004,20000.0,BipedalWalker-v3,TD3_Q2a
5,-44.778261588445126,25000.0,BipedalWalker-v3,TD3_Q2a
6,-127.80277178757675,30000.0,BipedalWalker-v3,TD3_Q2a
7,-110.3941145664763,35000.0,BipedalWalker-v3,TD3_Q2a
8,-102.15066798092093,40000.0,BipedalWalker-v3,TD3_Q2a
9,-94.57718319445055,45000.0,BipedalWalker-v3,TD3_Q2a
10,-101.72233097455776,50000.0,BipedalWalker-v3,TD3_Q2a
11,-62.352659448044946,55000.0,BipedalWalker-v3,TD3_Q2a
12,-63.85391573588602,60000.0,BipedalWalker-v3,TD3_Q2a
13,-68.35922364704062,65000.0,BipedalWalker-v3,TD3_Q2a
14,-70.56445510094282,70000.0,BipedalWalker-v3,TD3_Q2a
15,-83.14970816628087,75000.0,BipedalWalker-v3,TD3_Q2a
16,-58.85618085503684,80000.0,BipedalWalker-v3,TD3_Q2a
17,-49.198849958844725,85000.0,BipedalWalker-v3,TD3_Q2a
18,-55.152380382042836,90000.0,BipedalWalker-v3,TD3_Q2a
19,-67.20525123092696,95000.0,BipedalWalker-v3,TD3_Q2a
20,-96.48176268640006,100000.0,BipedalWalker-v3,TD3_Q2a
21,-87.34322961035147,105000.0,BipedalWalker-v3,TD3_Q2a
22,-84.61357661993462,110000.0,BipedalWalker-v3,TD3_Q2a
23,-83.6969154204027,115000.0,BipedalWalker-v3,TD3_Q2a
24,30.25855453691102,120000.0,BipedalWalker-v3,TD3_Q2a
25,4.999044992787115,125000.0,BipedalWalker-v3,TD3_Q2a
26,95.68892814008173,130000.0,BipedalWalker-v3,TD3_Q2a
27,10.827739884420966,135000.0,BipedalWalker-v3,TD3_Q2a
28,6.53334614846198,140000.0,BipedalWalker-v3,TD3_Q2a
29,132.15050000946255,145000.0,BipedalWalker-v3,TD3_Q2a
30,147.91999037410727,150000.0,BipedalWalker-v3,TD3_Q2a
31,105.4382260441138,155000.0,BipedalWalker-v3,TD3_Q2a
32,174.83257467751264,160000.0,BipedalWalker-v3,TD3_Q2a
33,155.20562163929208,165000.0,BipedalWalker-v3,TD3_Q2a
34,162.99716688593222,170000.0,BipedalWalker-v3,TD3_Q2a
35,179.36405965965378,175000.0,BipedalWalker-v3,TD3_Q2a
36,242.58738916635326,180000.0,BipedalWalker-v3,TD3_Q2a
37,245.3655410566805,185000.0,BipedalWalker-v3,TD3_Q2a
38,272.1789160631447,190000.0,BipedalWalker-v3,TD3_Q2a
39,256.3102709213141,195000.0,BipedalWalker-v3,TD3_Q2a
40,-68.7416376556681,200000.0,BipedalWalker-v3,TD3_Q2a
41,265.19391782805116,205000.0,BipedalWalker-v3,TD3_Q2a
42,271.9014432453344,210000.0,BipedalWalker-v3,TD3_Q2a
43,273.08988225739046,215000.0,BipedalWalker-v3,TD3_Q2a
44,247.11571027897952,220000.0,BipedalWalker-v3,TD3_Q2a
45,278.07003764309735,225000.0,BipedalWalker-v3,TD3_Q2a
46,40.91681026781492,230000.0,BipedalWalker-v3,TD3_Q2a
47,-48.71512999816428,235000.0,BipedalWalker-v3,TD3_Q2a
48,179.90485557211693,240000.0,BipedalWalker-v3,TD3_Q2a
49,252.24372988555348,245000.0,BipedalWalker-v3,TD3_Q2a
50,264.8014067788039,250000.0,BipedalWalker-v3,TD3_Q2a
51,205.88136942023448,255000.0,BipedalWalker-v3,TD3_Q2a
52,283.2204545917831,260000.0,BipedalWalker-v3,TD3_Q2a
53,284.098696092008,265000.0,BipedalWalker-v3,TD3_Q2a
54,283.6606833776073,270000.0,BipedalWalker-v3,TD3_Q2a
55,292.046866366804,275000.0,BipedalWalker-v3,TD3_Q2a
56,285.4677054397915,280000.0,BipedalWalker-v3,TD3_Q2a
57,274.65333852189184,285000.0,BipedalWalker-v3,TD3_Q2a
58,282.18824853394625,290000.0,BipedalWalker-v3,TD3_Q2a
59,284.67712287272167,295000.0,BipedalWalker-v3,TD3_Q2a
60,270.30349362658603,300000.0,BipedalWalker-v3,TD3_Q2a
61,277.9028439678434,305000.0,BipedalWalker-v3,TD3_Q2a
62,295.1007112687318,310000.0,BipedalWalker-v3,TD3_Q2a
63,257.7909577211639,315000.0,BipedalWalker-v3,TD3_Q2a
64,268.94274139198933,320000.0,BipedalWalker-v3,TD3_Q2a
65,297.93829374435074,325000.0,BipedalWalker-v3,TD3_Q2a
66,295.4908019228203,330000.0,BipedalWalker-v3,TD3_Q2a
67,294.74091606894973,335000.0,BipedalWalker-v3,TD3_Q2a
68,299.0198107136357,340000.0,BipedalWalker-v3,TD3_Q2a
69,294.1302193720634,345000.0,BipedalWalker-v3,TD3_Q2a
70,293.11370050995856,350000.0,BipedalWalker-v3,TD3_Q2a
71,297.4057708129948,355000.0,BipedalWalker-v3,TD3_Q2a
72,270.94623502746856,360000.0,BipedalWalker-v3,TD3_Q2a
73,299.82867363145476,365000.0,BipedalWalker-v3,TD3_Q2a
74,246.2245397274723,370000.0,BipedalWalker-v3,TD3_Q2a
75,296.76059851348896,375000.0,BipedalWalker-v3,TD3_Q2a
76,302.67636704485545,380000.0,BipedalWalker-v3,TD3_Q2a
77,279.25709617595743,385000.0,BipedalWalker-v3,TD3_Q2a
78,301.71635219788243,390000.0,BipedalWalker-v3,TD3_Q2a
79,301.278044445911,395000.0,BipedalWalker-v3,TD3_Q2a
80,304.8728035447927,400000.0,BipedalWalker-v3,TD3_Q2a
81,298.76453558861226,405000.0,BipedalWalker-v3,TD3_Q2a
82,302.4625343735444,410000.0,BipedalWalker-v3,TD3_Q2a
83,300.107505379759,415000.0,BipedalWalker-v3,TD3_Q2a
84,307.02927069745687,420000.0,BipedalWalker-v3,TD3_Q2a
85,304.85315076699555,425000.0,BipedalWalker-v3,TD3_Q2a
86,299.74085789598746,430000.0,BipedalWalker-v3,TD3_Q2a
87,189.66223572185118,435000.0,BipedalWalker-v3,TD3_Q2a
88,295.5435802346571,440000.0,BipedalWalker-v3,TD3_Q2a
89,301.80351090775855,445000.0,BipedalWalker-v3,TD3_Q2a
90,304.8110735931808,450000.0,BipedalWalker-v3,TD3_Q2a
91,293.4571319921725,455000.0,BipedalWalker-v3,TD3_Q2a
92,300.40930267316975,460000.0,BipedalWalker-v3,TD3_Q2a
93,304.58158595328985,465000.0,BipedalWalker-v3,TD3_Q2a
94,303.24316181550824,470000.0,BipedalWalker-v3,TD3_Q2a
95,295.13248892601064,475000.0,BipedalWalker-v3,TD3_Q2a
96,274.86696658053063,480000.0,BipedalWalker-v3,TD3_Q2a
97,280.26889738926434,485000.0,BipedalWalker-v3,TD3_Q2a
98,268.97985787226605,490000.0,BipedalWalker-v3,TD3_Q2a
99,311.17343523726873,495000.0,BipedalWalker-v3,TD3_Q2a
100,209.32838475147474,500000.0,BipedalWalker-v3,TD3_Q2a
101,307.1136832016001,505000.0,BipedalWalker-v3,TD3_Q2a
102,279.2756060856097,510000.0,BipedalWalker-v3,TD3_Q2a
103,305.6099531819977,515000.0,BipedalWalker-v3,TD3_Q2a
104,303.2605116274983,520000.0,BipedalWalker-v3,TD3_Q2a
105,307.4264962279873,525000.0,BipedalWalker-v3,TD3_Q2a
106,224.6592679099287,530000.0,BipedalWalker-v3,TD3_Q2a
107,279.2388134345721,535000.0,BipedalWalker-v3,TD3_Q2a
108,308.0590641271066,540000.0,BipedalWalker-v3,TD3_Q2a
109,308.1792395598815,545000.0,BipedalWalker-v3,TD3_Q2a
110,306.6277438459996,550000.0,BipedalWalker-v3,TD3_Q2a
111,306.97269006320766,555000.0,BipedalWalker-v3,TD3_Q2a
112,306.28139528022575,560000.0,BipedalWalker-v3,TD3_Q2a
113,304.7576021914435,565000.0,BipedalWalker-v3,TD3_Q2a
