index,Average Return,Timesteps,env,algorithm_name
0,-103.98421036733563,0.0,BipedalWalker-v3,TD3
1,-104.06590038973044,5000.0,BipedalWalker-v3,TD3
2,-103.995955194246,10000.0,BipedalWalker-v3,TD3
3,-80.11504849964373,15000.0,BipedalWalker-v3,TD3
4,-108.86207103310753,20000.0,BipedalWalker-v3,TD3
5,-92.11224015171277,25000.0,BipedalWalker-v3,TD3
6,-110.2808593281109,30000.0,BipedalWalker-v3,TD3
7,-69.92606803134271,35000.0,BipedalWalker-v3,TD3
8,-108.79212172731545,40000.0,BipedalWalker-v3,TD3
9,-100.11589848932502,45000.0,BipedalWalker-v3,TD3
10,-95.99365076992004,50000.0,BipedalWalker-v3,TD3
11,-87.66528777945624,55000.0,BipedalWalker-v3,TD3
12,-87.66230425644798,60000.0,BipedalWalker-v3,TD3
13,-57.8778273158628,65000.0,BipedalWalker-v3,TD3
14,-119.12203409738117,70000.0,BipedalWalker-v3,TD3
15,-65.3705776953636,75000.0,BipedalWalker-v3,TD3
16,-87.48678246265017,80000.0,BipedalWalker-v3,TD3
17,9.445601854187636,85000.0,BipedalWalker-v3,TD3
18,-48.8259641683121,90000.0,BipedalWalker-v3,TD3
19,-106.38755574468254,95000.0,BipedalWalker-v3,TD3
20,-24.710691617938174,100000.0,BipedalWalker-v3,TD3
21,-89.89011522503328,105000.0,BipedalWalker-v3,TD3
22,65.79762679317604,110000.0,BipedalWalker-v3,TD3
23,-153.5721556904869,115000.0,BipedalWalker-v3,TD3
24,92.80510850720933,120000.0,BipedalWalker-v3,TD3
25,84.18173785309222,125000.0,BipedalWalker-v3,TD3
26,22.031122184826597,130000.0,BipedalWalker-v3,TD3
27,-41.8376167361179,135000.0,BipedalWalker-v3,TD3
28,-53.83643763771861,140000.0,BipedalWalker-v3,TD3
29,-32.96289958602499,145000.0,BipedalWalker-v3,TD3
30,190.7668898890029,150000.0,BipedalWalker-v3,TD3
31,128.38122293999336,155000.0,BipedalWalker-v3,TD3
32,237.22724730301266,160000.0,BipedalWalker-v3,TD3
33,222.697759719353,165000.0,BipedalWalker-v3,TD3
34,156.9485873498765,170000.0,BipedalWalker-v3,TD3
35,252.02013739753184,175000.0,BipedalWalker-v3,TD3
36,171.73617605138574,180000.0,BipedalWalker-v3,TD3
37,89.86231561911967,185000.0,BipedalWalker-v3,TD3
38,-30.7420309998343,190000.0,BipedalWalker-v3,TD3
39,-61.24860827600302,195000.0,BipedalWalker-v3,TD3
40,57.46019056168113,200000.0,BipedalWalker-v3,TD3
41,-63.86584940152801,205000.0,BipedalWalker-v3,TD3
42,281.8791676512743,210000.0,BipedalWalker-v3,TD3
43,272.7612891927109,215000.0,BipedalWalker-v3,TD3
44,288.31148694475985,220000.0,BipedalWalker-v3,TD3
45,287.2160019737388,225000.0,BipedalWalker-v3,TD3
46,266.8656668824392,230000.0,BipedalWalker-v3,TD3
47,288.41799120956915,235000.0,BipedalWalker-v3,TD3
48,292.22127483303706,240000.0,BipedalWalker-v3,TD3
49,263.46218936731043,245000.0,BipedalWalker-v3,TD3
50,280.48919656937477,250000.0,BipedalWalker-v3,TD3
51,299.9134929100977,255000.0,BipedalWalker-v3,TD3
52,301.1480971372306,260000.0,BipedalWalker-v3,TD3
53,302.1314439335399,265000.0,BipedalWalker-v3,TD3
54,267.9665507678634,270000.0,BipedalWalker-v3,TD3
55,302.8273385722679,275000.0,BipedalWalker-v3,TD3
56,304.6018067560297,280000.0,BipedalWalker-v3,TD3
57,299.13277640577235,285000.0,BipedalWalker-v3,TD3
58,263.5668161462094,290000.0,BipedalWalker-v3,TD3
59,306.48313676813166,295000.0,BipedalWalker-v3,TD3
60,278.7965500540212,300000.0,BipedalWalker-v3,TD3
61,301.2497454299648,305000.0,BipedalWalker-v3,TD3
62,304.15095492250515,310000.0,BipedalWalker-v3,TD3
63,299.33528053783004,315000.0,BipedalWalker-v3,TD3
64,301.26192487245584,320000.0,BipedalWalker-v3,TD3
65,303.2091610651818,325000.0,BipedalWalker-v3,TD3
66,306.8978775710046,330000.0,BipedalWalker-v3,TD3
67,305.5611298114112,335000.0,BipedalWalker-v3,TD3
68,299.829470275986,340000.0,BipedalWalker-v3,TD3
69,307.22553069334106,345000.0,BipedalWalker-v3,TD3
70,303.56596433921834,350000.0,BipedalWalker-v3,TD3
71,304.53441366395,355000.0,BipedalWalker-v3,TD3
72,304.9081858513074,360000.0,BipedalWalker-v3,TD3
73,308.7748386357535,365000.0,BipedalWalker-v3,TD3
74,301.35290007905866,370000.0,BipedalWalker-v3,TD3
75,299.28542462449735,375000.0,BipedalWalker-v3,TD3
76,307.06854145539546,380000.0,BipedalWalker-v3,TD3
77,304.1109055364712,385000.0,BipedalWalker-v3,TD3
78,202.0897910058044,390000.0,BipedalWalker-v3,TD3
79,307.01023072309863,395000.0,BipedalWalker-v3,TD3
80,308.7036500342342,400000.0,BipedalWalker-v3,TD3
81,307.6418771567191,405000.0,BipedalWalker-v3,TD3
82,308.01346096760847,410000.0,BipedalWalker-v3,TD3
83,306.53727544446934,415000.0,BipedalWalker-v3,TD3
84,306.39456496285374,420000.0,BipedalWalker-v3,TD3
85,307.75617651643336,425000.0,BipedalWalker-v3,TD3
86,301.85148278697557,430000.0,BipedalWalker-v3,TD3
87,307.30527236527564,435000.0,BipedalWalker-v3,TD3
88,298.7473762904696,440000.0,BipedalWalker-v3,TD3
89,307.5826754338706,445000.0,BipedalWalker-v3,TD3
90,309.25027621675827,450000.0,BipedalWalker-v3,TD3
91,286.87749909723095,455000.0,BipedalWalker-v3,TD3
92,305.78651253659194,460000.0,BipedalWalker-v3,TD3
93,308.80898112632974,465000.0,BipedalWalker-v3,TD3
94,308.9038129217967,470000.0,BipedalWalker-v3,TD3
95,298.69371009728115,475000.0,BipedalWalker-v3,TD3
96,304.42294017435233,480000.0,BipedalWalker-v3,TD3
97,307.7378963881759,485000.0,BipedalWalker-v3,TD3
98,308.0880480156604,490000.0,BipedalWalker-v3,TD3
99,311.35624951383454,495000.0,BipedalWalker-v3,TD3
100,311.60694438128553,500000.0,BipedalWalker-v3,TD3
101,313.61108754585314,505000.0,BipedalWalker-v3,TD3
102,311.4594477929919,510000.0,BipedalWalker-v3,TD3
103,309.1754135534439,515000.0,BipedalWalker-v3,TD3
104,308.2232621371651,520000.0,BipedalWalker-v3,TD3
105,312.518870052961,525000.0,BipedalWalker-v3,TD3
106,309.87341323350927,530000.0,BipedalWalker-v3,TD3
107,309.69029346392875,535000.0,BipedalWalker-v3,TD3
108,308.20653324092194,540000.0,BipedalWalker-v3,TD3
109,310.95721520488075,545000.0,BipedalWalker-v3,TD3
110,308.5487182031691,550000.0,BipedalWalker-v3,TD3
