index,Average Return,Timesteps,env,algorithm_name
0,-287.8477104446344,0.0,HalfCheetah-v3,TD3_Q2a2x64_1p
1,-416.41552219991115,5000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
2,-469.6158703078795,10000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
3,-265.5078503074972,15000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
4,-429.76091402926266,20000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
5,-450.31249540598645,25000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
6,-451.63650399075215,30000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
7,-214.8923028988445,35000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
8,-326.81406496482316,40000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
9,-353.34556420836714,45000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
10,-381.1389403082312,50000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
11,-384.3065087857875,55000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
12,-372.88318690506105,60000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
13,-380.71357676919536,65000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
14,-386.4133006481763,70000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
15,-458.1489685563808,75000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
16,-440.50525960423084,80000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
17,-437.3991524013762,85000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
18,-431.0612279670977,90000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
19,-385.61361693383435,95000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
20,-352.70704880921596,100000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
21,-388.11348033964765,105000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
22,-401.0031367762511,110000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
