index,Average Return,Timesteps,env,algorithm_name
0,-519.180693411992,0.0,HalfCheetah-v3,TD3_Q2a2x64_1p
1,-440.51315884707975,5000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
2,-508.6797530987475,10000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
3,-466.66631392429036,15000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
4,-456.6542418678462,20000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
5,-546.9854167914863,25000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
6,-430.7785761385796,30000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
7,-480.64286437084354,35000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
8,-446.0484208311365,40000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
9,-477.41547106110767,45000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
10,-586.9810109128446,50000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
11,-563.7385386040687,55000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
12,-576.0511144979806,60000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
13,-551.3111411025409,65000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
14,-532.2168625149546,70000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
15,-305.71643299315787,75000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
16,-314.0297619852024,80000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
17,-287.26629844678183,85000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
18,-285.7896089021276,90000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
19,-287.5247768699436,95000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
20,-243.75239272366275,100000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
21,-196.78730440603866,105000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
22,-273.23538169857716,110000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
23,-241.25733038749087,115000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
24,-149.39293551386305,120000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
25,447.0129351785798,125000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
26,538.5293077076228,130000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
27,477.033125088369,135000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
28,541.1934452187094,140000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
29,550.0178848068248,145000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
30,1335.641980497027,150000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
31,1266.6555750378855,155000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
32,1239.3919026737299,160000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
33,1173.385705752787,165000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
34,1124.6462198052634,170000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
35,1182.9926176865913,175000.0,HalfCheetah-v3,TD3_Q2a2x64_1p
