index,Average Return,Timesteps,env,algorithm_name
0,-419.4685572430212,0.0,HalfCheetah-v3,TD3_Q2a3x64_1p
1,-385.24384361083673,5000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
2,-407.57850048483664,10000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
3,-579.7252494434357,15000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
4,-563.2706877510747,20000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
5,-397.82125462379383,25000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
6,214.5462894891331,30000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
7,1198.3781550956473,35000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
8,2134.0304489624914,40000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
9,1499.4666225983879,45000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
10,1595.3203525982885,50000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
11,2897.2296161645195,55000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
12,2746.4980036072457,60000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
13,3519.0321763420093,65000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
14,3715.9998766279873,70000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
15,3353.374665109738,75000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
16,4023.4122200873508,80000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
17,4175.666267951409,85000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
18,4532.161987075674,90000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
19,4422.2647826509765,95000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
20,4599.21647567701,100000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
21,4694.825537563711,105000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
22,3615.1920009000305,110000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
23,4971.6364202215755,115000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
24,4762.159757504125,120000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
25,4192.1848567545,125000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
26,5158.609853850894,130000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
27,5116.671743921948,135000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
28,4851.987626767243,140000.0,HalfCheetah-v3,TD3_Q2a3x64_1p
