index,Average Return,Timesteps,env,algorithm_name
0,-3.2552495154831953,0.0,HalfCheetah-v3,TD3
1,-3.599087655965429,5000.0,HalfCheetah-v3,TD3
2,-3.195216118165573,10000.0,HalfCheetah-v3,TD3
3,-3.296177508187781,15000.0,HalfCheetah-v3,TD3
4,-3.093496314134983,20000.0,HalfCheetah-v3,TD3
5,-3.1717783250399547,25000.0,HalfCheetah-v3,TD3
6,-3.2003376581051284,30000.0,HalfCheetah-v3,TD3
7,-3.274518221840011,35000.0,HalfCheetah-v3,TD3
8,-3.2842251509200624,40000.0,HalfCheetah-v3,TD3
9,-3.42054204352585,45000.0,HalfCheetah-v3,TD3
10,-583.6627654928569,50000.0,HalfCheetah-v3,TD3
11,-586.6988041442971,55000.0,HalfCheetah-v3,TD3
12,-608.2065219959056,60000.0,HalfCheetah-v3,TD3
13,-588.7545336242598,65000.0,HalfCheetah-v3,TD3
14,-594.5977127990933,70000.0,HalfCheetah-v3,TD3
15,-342.5302307129117,75000.0,HalfCheetah-v3,TD3
16,-277.63191357786326,80000.0,HalfCheetah-v3,TD3
17,-318.49459302777575,85000.0,HalfCheetah-v3,TD3
18,-297.351747224846,90000.0,HalfCheetah-v3,TD3
19,-283.86296572000253,95000.0,HalfCheetah-v3,TD3
20,-436.84644184091087,100000.0,HalfCheetah-v3,TD3
21,-450.9815907851906,105000.0,HalfCheetah-v3,TD3
22,-366.8137475801269,110000.0,HalfCheetah-v3,TD3
23,-414.84227003511444,115000.0,HalfCheetah-v3,TD3
24,-409.1040571754537,120000.0,HalfCheetah-v3,TD3
25,572.4668778790922,125000.0,HalfCheetah-v3,TD3
26,780.319058107325,130000.0,HalfCheetah-v3,TD3
27,628.1510892740415,135000.0,HalfCheetah-v3,TD3
28,666.576120636636,140000.0,HalfCheetah-v3,TD3
29,626.146547273531,145000.0,HalfCheetah-v3,TD3
30,1620.440286789756,150000.0,HalfCheetah-v3,TD3
31,1697.5492634899056,155000.0,HalfCheetah-v3,TD3
32,1602.1601376211668,160000.0,HalfCheetah-v3,TD3
33,1647.5488167280569,165000.0,HalfCheetah-v3,TD3
34,1803.4192268501017,170000.0,HalfCheetah-v3,TD3
35,2019.4362476854851,175000.0,HalfCheetah-v3,TD3
36,2026.6022113085637,180000.0,HalfCheetah-v3,TD3
37,2010.0918889577274,185000.0,HalfCheetah-v3,TD3
38,2105.97514178067,190000.0,HalfCheetah-v3,TD3
39,2066.0980512681576,195000.0,HalfCheetah-v3,TD3
40,2283.995913526093,200000.0,HalfCheetah-v3,TD3
41,2371.115959234352,205000.0,HalfCheetah-v3,TD3
42,2129.3540033469226,210000.0,HalfCheetah-v3,TD3
