index,Average Return,Timesteps,env,algorithm_name
0,-2.765739074129852,0.0,HalfCheetah-v3,TD3
1,-6.105291266062791,5000.0,HalfCheetah-v3,TD3
2,-25.713348615227392,10000.0,HalfCheetah-v3,TD3
3,-44.65983015819099,15000.0,HalfCheetah-v3,TD3
4,-79.10555426786911,20000.0,HalfCheetah-v3,TD3
5,-2.471024157399209,25000.0,HalfCheetah-v3,TD3
6,-8.124407403932143,30000.0,HalfCheetah-v3,TD3
7,-16.99922424521661,35000.0,HalfCheetah-v3,TD3
8,-48.50474921752438,40000.0,HalfCheetah-v3,TD3
9,-74.0307128170828,45000.0,HalfCheetah-v3,TD3
10,-555.0531289982042,50000.0,HalfCheetah-v3,TD3
11,-518.2780680151807,55000.0,HalfCheetah-v3,TD3
12,-409.4207398164443,60000.0,HalfCheetah-v3,TD3
13,-372.3154205222989,65000.0,HalfCheetah-v3,TD3
14,-347.7921260510151,70000.0,HalfCheetah-v3,TD3
15,-258.674281273625,75000.0,HalfCheetah-v3,TD3
16,-262.6542102692128,80000.0,HalfCheetah-v3,TD3
17,-243.6863261648078,85000.0,HalfCheetah-v3,TD3
18,-245.519750811498,90000.0,HalfCheetah-v3,TD3
19,-238.47851581605477,95000.0,HalfCheetah-v3,TD3
20,-337.3475894403461,100000.0,HalfCheetah-v3,TD3
21,-297.8604040743368,105000.0,HalfCheetah-v3,TD3
22,-301.1125540872178,110000.0,HalfCheetah-v3,TD3
23,-318.94819467091185,115000.0,HalfCheetah-v3,TD3
24,-266.51844838948216,120000.0,HalfCheetah-v3,TD3
25,345.43358170634025,125000.0,HalfCheetah-v3,TD3
26,214.08741143840697,130000.0,HalfCheetah-v3,TD3
27,184.64845679570715,135000.0,HalfCheetah-v3,TD3
28,294.46172549584236,140000.0,HalfCheetah-v3,TD3
29,89.81642979013854,145000.0,HalfCheetah-v3,TD3
30,723.7966176945175,150000.0,HalfCheetah-v3,TD3
31,720.662939357871,155000.0,HalfCheetah-v3,TD3
32,780.3814943833493,160000.0,HalfCheetah-v3,TD3
33,674.5096211414818,165000.0,HalfCheetah-v3,TD3
34,1198.8879015306427,170000.0,HalfCheetah-v3,TD3
35,1745.9514394430214,175000.0,HalfCheetah-v3,TD3
36,1896.0325242457627,180000.0,HalfCheetah-v3,TD3
37,1607.999019284382,185000.0,HalfCheetah-v3,TD3
38,1723.63571671225,190000.0,HalfCheetah-v3,TD3
39,1640.0950017726711,195000.0,HalfCheetah-v3,TD3
40,2208.486111831809,200000.0,HalfCheetah-v3,TD3
41,1745.967035939137,205000.0,HalfCheetah-v3,TD3
42,2036.315856822177,210000.0,HalfCheetah-v3,TD3
43,2058.0204829766544,215000.0,HalfCheetah-v3,TD3
44,1923.0506942278912,220000.0,HalfCheetah-v3,TD3
45,2472.6861606012467,225000.0,HalfCheetah-v3,TD3
46,2006.2271389368066,230000.0,HalfCheetah-v3,TD3
47,2568.3004427057376,235000.0,HalfCheetah-v3,TD3
48,2434.010576761751,240000.0,HalfCheetah-v3,TD3
49,2037.3802199385402,245000.0,HalfCheetah-v3,TD3
