index,Average Return,Timesteps,env,algorithm_name
0,-1.2117472166738472,0.0,HalfCheetah-v3,TD3
1,-0.9885309296635875,5000.0,HalfCheetah-v3,TD3
2,-1.0307481598692496,10000.0,HalfCheetah-v3,TD3
3,-576.3166040319869,15000.0,HalfCheetah-v3,TD3
4,-268.9844849033454,20000.0,HalfCheetah-v3,TD3
5,-321.5977079920398,25000.0,HalfCheetah-v3,TD3
6,325.8325556989455,30000.0,HalfCheetah-v3,TD3
7,675.7980221608011,35000.0,HalfCheetah-v3,TD3
8,1715.4425926395666,40000.0,HalfCheetah-v3,TD3
9,2170.1445867646485,45000.0,HalfCheetah-v3,TD3
10,2648.488032303371,50000.0,HalfCheetah-v3,TD3
11,2716.8595912001097,55000.0,HalfCheetah-v3,TD3
12,3187.197107520076,60000.0,HalfCheetah-v3,TD3
13,3471.4744022998966,65000.0,HalfCheetah-v3,TD3
14,3285.7239985771535,70000.0,HalfCheetah-v3,TD3
15,3721.0237423006765,75000.0,HalfCheetah-v3,TD3
16,3898.877348125958,80000.0,HalfCheetah-v3,TD3
17,3955.2066058213118,85000.0,HalfCheetah-v3,TD3
18,4317.541667960302,90000.0,HalfCheetah-v3,TD3
19,4387.600074511167,95000.0,HalfCheetah-v3,TD3
20,4565.376725749313,100000.0,HalfCheetah-v3,TD3
21,4794.978092553373,105000.0,HalfCheetah-v3,TD3
22,4899.110836820249,110000.0,HalfCheetah-v3,TD3
23,4878.4762719211185,115000.0,HalfCheetah-v3,TD3
24,4870.334406477385,120000.0,HalfCheetah-v3,TD3
25,4986.0402782108295,125000.0,HalfCheetah-v3,TD3
26,5342.652614354591,130000.0,HalfCheetah-v3,TD3
27,5248.298100534014,135000.0,HalfCheetah-v3,TD3
28,5353.257914148638,140000.0,HalfCheetah-v3,TD3
29,5319.801608906403,145000.0,HalfCheetah-v3,TD3
30,5801.915641242619,150000.0,HalfCheetah-v3,TD3
31,5773.24739059598,155000.0,HalfCheetah-v3,TD3
32,5747.142095919853,160000.0,HalfCheetah-v3,TD3
33,5789.7857407788715,165000.0,HalfCheetah-v3,TD3
34,5575.160641864399,170000.0,HalfCheetah-v3,TD3
35,6123.414093985768,175000.0,HalfCheetah-v3,TD3
36,6166.348973099525,180000.0,HalfCheetah-v3,TD3
37,6196.3136198880775,185000.0,HalfCheetah-v3,TD3
38,6457.09767304661,190000.0,HalfCheetah-v3,TD3
39,6645.64697350979,195000.0,HalfCheetah-v3,TD3
40,6451.607050517891,200000.0,HalfCheetah-v3,TD3
41,6821.2765571817345,205000.0,HalfCheetah-v3,TD3
42,6343.831617920052,210000.0,HalfCheetah-v3,TD3
43,6806.299365717472,215000.0,HalfCheetah-v3,TD3
44,7393.089333328893,220000.0,HalfCheetah-v3,TD3
45,7514.057684392583,225000.0,HalfCheetah-v3,TD3
46,6290.872322254063,230000.0,HalfCheetah-v3,TD3
47,7018.283919414784,235000.0,HalfCheetah-v3,TD3
48,7361.727704001884,240000.0,HalfCheetah-v3,TD3
49,6692.134095199521,245000.0,HalfCheetah-v3,TD3
50,7320.245781399909,250000.0,HalfCheetah-v3,TD3
51,7259.5414025881355,255000.0,HalfCheetah-v3,TD3
52,7019.574659999819,260000.0,HalfCheetah-v3,TD3
53,7564.3215165949605,265000.0,HalfCheetah-v3,TD3
54,7510.962883138658,270000.0,HalfCheetah-v3,TD3
55,7105.613684705675,275000.0,HalfCheetah-v3,TD3
56,7187.827698275136,280000.0,HalfCheetah-v3,TD3
57,8132.73571072082,285000.0,HalfCheetah-v3,TD3
58,8262.555784350987,290000.0,HalfCheetah-v3,TD3
59,7766.7449163520705,295000.0,HalfCheetah-v3,TD3
60,8330.934376624793,300000.0,HalfCheetah-v3,TD3
61,7782.492117782933,305000.0,HalfCheetah-v3,TD3
62,8162.807901281341,310000.0,HalfCheetah-v3,TD3
63,7894.7014497664695,315000.0,HalfCheetah-v3,TD3
64,8152.143689745263,320000.0,HalfCheetah-v3,TD3
65,8363.772499898152,325000.0,HalfCheetah-v3,TD3
66,8667.770109385505,330000.0,HalfCheetah-v3,TD3
67,8742.444973738639,335000.0,HalfCheetah-v3,TD3
68,8065.790082201388,340000.0,HalfCheetah-v3,TD3
69,8926.781937376372,345000.0,HalfCheetah-v3,TD3
70,9013.94782800768,350000.0,HalfCheetah-v3,TD3
71,8308.209649907538,355000.0,HalfCheetah-v3,TD3
72,8280.554357165316,360000.0,HalfCheetah-v3,TD3
73,9168.299840561576,365000.0,HalfCheetah-v3,TD3
74,8826.947961528487,370000.0,HalfCheetah-v3,TD3
75,8821.887604953195,375000.0,HalfCheetah-v3,TD3
76,8397.64747079642,380000.0,HalfCheetah-v3,TD3
77,8963.557442129368,385000.0,HalfCheetah-v3,TD3
78,8490.84335236274,390000.0,HalfCheetah-v3,TD3
79,8908.429523767487,395000.0,HalfCheetah-v3,TD3
80,8799.217221974342,400000.0,HalfCheetah-v3,TD3
81,9116.53311281234,405000.0,HalfCheetah-v3,TD3
82,9205.838317001746,410000.0,HalfCheetah-v3,TD3
83,9148.497675421004,415000.0,HalfCheetah-v3,TD3
84,9316.498299228784,420000.0,HalfCheetah-v3,TD3
85,8942.066074004066,425000.0,HalfCheetah-v3,TD3
86,9487.488404790394,430000.0,HalfCheetah-v3,TD3
87,9378.919805660724,435000.0,HalfCheetah-v3,TD3
88,9349.103017044261,440000.0,HalfCheetah-v3,TD3
89,9413.238721784557,445000.0,HalfCheetah-v3,TD3
90,9051.269875701953,450000.0,HalfCheetah-v3,TD3
91,9137.540005308329,455000.0,HalfCheetah-v3,TD3
92,9195.847891973866,460000.0,HalfCheetah-v3,TD3
93,9207.878774447916,465000.0,HalfCheetah-v3,TD3
94,9484.454978144186,470000.0,HalfCheetah-v3,TD3
95,9431.48376928326,475000.0,HalfCheetah-v3,TD3
96,9527.344134321238,480000.0,HalfCheetah-v3,TD3
97,9584.383659699706,485000.0,HalfCheetah-v3,TD3
