index,Average Return,Timesteps,env,algorithm_name
0,-1051.2171683891797,0.0,HalfCheetah-v3,TD3_L
1,-1027.5713027572601,5000.0,HalfCheetah-v3,TD3_L
2,-1108.3941610053753,10000.0,HalfCheetah-v3,TD3_L
3,-715.4119222594353,15000.0,HalfCheetah-v3,TD3_L
4,-443.5443673205197,20000.0,HalfCheetah-v3,TD3_L
5,-294.98690941668536,25000.0,HalfCheetah-v3,TD3_L
6,620.8349521909965,30000.0,HalfCheetah-v3,TD3_L
7,61.78806893668118,35000.0,HalfCheetah-v3,TD3_L
8,415.2061945803924,40000.0,HalfCheetah-v3,TD3_L
9,777.8189583923147,45000.0,HalfCheetah-v3,TD3_L
10,1718.6793525061814,50000.0,HalfCheetah-v3,TD3_L
11,888.8784861852249,55000.0,HalfCheetah-v3,TD3_L
12,2744.425962763081,60000.0,HalfCheetah-v3,TD3_L
13,1677.3687363579222,65000.0,HalfCheetah-v3,TD3_L
14,3831.1335707414682,70000.0,HalfCheetah-v3,TD3_L
15,4048.858858003195,75000.0,HalfCheetah-v3,TD3_L
16,3680.963710674286,80000.0,HalfCheetah-v3,TD3_L
17,3894.2399493069256,85000.0,HalfCheetah-v3,TD3_L
18,3836.4211448157985,90000.0,HalfCheetah-v3,TD3_L
19,4548.018839594324,95000.0,HalfCheetah-v3,TD3_L
20,4409.113187964761,100000.0,HalfCheetah-v3,TD3_L
21,4660.7356476805935,105000.0,HalfCheetah-v3,TD3_L
22,4771.13706593055,110000.0,HalfCheetah-v3,TD3_L
23,4796.720864473392,115000.0,HalfCheetah-v3,TD3_L
24,4905.446957489717,120000.0,HalfCheetah-v3,TD3_L
25,4701.6859645667255,125000.0,HalfCheetah-v3,TD3_L
26,4899.101279420154,130000.0,HalfCheetah-v3,TD3_L
27,4880.44653508286,135000.0,HalfCheetah-v3,TD3_L
28,4867.793453366966,140000.0,HalfCheetah-v3,TD3_L
29,4934.059711706917,145000.0,HalfCheetah-v3,TD3_L
30,4802.730077076312,150000.0,HalfCheetah-v3,TD3_L
31,5559.880014448162,155000.0,HalfCheetah-v3,TD3_L
32,5380.285572296148,160000.0,HalfCheetah-v3,TD3_L
33,5703.709056795366,165000.0,HalfCheetah-v3,TD3_L
34,5230.946140134491,170000.0,HalfCheetah-v3,TD3_L
35,4804.270578753535,175000.0,HalfCheetah-v3,TD3_L
36,5268.4231221197715,180000.0,HalfCheetah-v3,TD3_L
37,5376.133022732988,185000.0,HalfCheetah-v3,TD3_L
38,5657.3374382274105,190000.0,HalfCheetah-v3,TD3_L
39,4497.383940756545,195000.0,HalfCheetah-v3,TD3_L
40,5746.1929134442225,200000.0,HalfCheetah-v3,TD3_L
41,5913.994265057494,205000.0,HalfCheetah-v3,TD3_L
42,5853.399843373479,210000.0,HalfCheetah-v3,TD3_L
43,5873.232421988147,215000.0,HalfCheetah-v3,TD3_L
44,5639.753020607073,220000.0,HalfCheetah-v3,TD3_L
45,5838.084878002674,225000.0,HalfCheetah-v3,TD3_L
46,6001.107985981382,230000.0,HalfCheetah-v3,TD3_L
47,6021.480786272313,235000.0,HalfCheetah-v3,TD3_L
48,6008.764627877289,240000.0,HalfCheetah-v3,TD3_L
49,6204.122021316123,245000.0,HalfCheetah-v3,TD3_L
50,5481.6889894651185,250000.0,HalfCheetah-v3,TD3_L
51,5686.93136859392,255000.0,HalfCheetah-v3,TD3_L
52,4705.067216711833,260000.0,HalfCheetah-v3,TD3_L
53,6169.633992730346,265000.0,HalfCheetah-v3,TD3_L
54,6376.131608668255,270000.0,HalfCheetah-v3,TD3_L
55,6210.975647590303,275000.0,HalfCheetah-v3,TD3_L
56,6386.657684610892,280000.0,HalfCheetah-v3,TD3_L
57,6564.075088095351,285000.0,HalfCheetah-v3,TD3_L
58,6584.729914261516,290000.0,HalfCheetah-v3,TD3_L
59,6669.701921787504,295000.0,HalfCheetah-v3,TD3_L
60,5606.016363651106,300000.0,HalfCheetah-v3,TD3_L
61,6279.594648380194,305000.0,HalfCheetah-v3,TD3_L
62,6622.6710258187795,310000.0,HalfCheetah-v3,TD3_L
63,6561.148649466499,315000.0,HalfCheetah-v3,TD3_L
64,6502.251821048305,320000.0,HalfCheetah-v3,TD3_L
65,6306.669156252507,325000.0,HalfCheetah-v3,TD3_L
66,6598.025580998277,330000.0,HalfCheetah-v3,TD3_L
67,6719.111870382486,335000.0,HalfCheetah-v3,TD3_L
68,6690.429076585982,340000.0,HalfCheetah-v3,TD3_L
69,6856.284586219702,345000.0,HalfCheetah-v3,TD3_L
70,6589.710495984944,350000.0,HalfCheetah-v3,TD3_L
71,6741.534532959495,355000.0,HalfCheetah-v3,TD3_L
72,6020.939596206526,360000.0,HalfCheetah-v3,TD3_L
73,6645.936463794697,365000.0,HalfCheetah-v3,TD3_L
74,6869.211410802333,370000.0,HalfCheetah-v3,TD3_L
75,6560.9627461774435,375000.0,HalfCheetah-v3,TD3_L
76,6905.709406430484,380000.0,HalfCheetah-v3,TD3_L
77,6883.132339185149,385000.0,HalfCheetah-v3,TD3_L
78,6784.445160208251,390000.0,HalfCheetah-v3,TD3_L
79,7012.059831933771,395000.0,HalfCheetah-v3,TD3_L
80,6987.01196817737,400000.0,HalfCheetah-v3,TD3_L
81,6885.558981091395,405000.0,HalfCheetah-v3,TD3_L
82,6733.0053493455,410000.0,HalfCheetah-v3,TD3_L
83,6983.665733633068,415000.0,HalfCheetah-v3,TD3_L
84,7140.376220597527,420000.0,HalfCheetah-v3,TD3_L
85,7006.315651128634,425000.0,HalfCheetah-v3,TD3_L
86,6918.937231707515,430000.0,HalfCheetah-v3,TD3_L
87,6441.2202026429595,435000.0,HalfCheetah-v3,TD3_L
88,7008.053769222742,440000.0,HalfCheetah-v3,TD3_L
89,7058.950203255084,445000.0,HalfCheetah-v3,TD3_L
