index,Average Return,Timesteps,env,algorithm_name
0,-600.1299337313632,0.0,HalfCheetah-v3,TD3_Q2b
1,-624.690777622215,5000.0,HalfCheetah-v3,TD3_Q2b
2,-663.8288406696772,10000.0,HalfCheetah-v3,TD3_Q2b
3,-607.2039199068447,15000.0,HalfCheetah-v3,TD3_Q2b
4,-408.7066785582971,20000.0,HalfCheetah-v3,TD3_Q2b
5,-528.9141286038348,25000.0,HalfCheetah-v3,TD3_Q2b
6,454.22091539178734,30000.0,HalfCheetah-v3,TD3_Q2b
7,1423.0381313025189,35000.0,HalfCheetah-v3,TD3_Q2b
8,2397.1624072675795,40000.0,HalfCheetah-v3,TD3_Q2b
9,2054.7853191421614,45000.0,HalfCheetah-v3,TD3_Q2b
10,1932.345414633776,50000.0,HalfCheetah-v3,TD3_Q2b
11,2535.9283538862346,55000.0,HalfCheetah-v3,TD3_Q2b
12,2673.2814042348273,60000.0,HalfCheetah-v3,TD3_Q2b
13,3188.669919046234,65000.0,HalfCheetah-v3,TD3_Q2b
14,3499.843987156819,70000.0,HalfCheetah-v3,TD3_Q2b
15,3556.634468373543,75000.0,HalfCheetah-v3,TD3_Q2b
16,3865.9869314065154,80000.0,HalfCheetah-v3,TD3_Q2b
17,3681.997746415955,85000.0,HalfCheetah-v3,TD3_Q2b
18,3855.9639029542304,90000.0,HalfCheetah-v3,TD3_Q2b
19,4206.6702574541,95000.0,HalfCheetah-v3,TD3_Q2b
20,4216.328910364285,100000.0,HalfCheetah-v3,TD3_Q2b
21,4096.082946603584,105000.0,HalfCheetah-v3,TD3_Q2b
22,4498.315221407656,110000.0,HalfCheetah-v3,TD3_Q2b
23,4485.031344890851,115000.0,HalfCheetah-v3,TD3_Q2b
24,4493.155806537499,120000.0,HalfCheetah-v3,TD3_Q2b
25,4547.148004633762,125000.0,HalfCheetah-v3,TD3_Q2b
26,4462.525050509971,130000.0,HalfCheetah-v3,TD3_Q2b
27,4754.196299423102,135000.0,HalfCheetah-v3,TD3_Q2b
28,4719.168844681926,140000.0,HalfCheetah-v3,TD3_Q2b
29,4844.869459117201,145000.0,HalfCheetah-v3,TD3_Q2b
30,4806.215337591394,150000.0,HalfCheetah-v3,TD3_Q2b
31,4860.257652567844,155000.0,HalfCheetah-v3,TD3_Q2b
32,5135.720571848422,160000.0,HalfCheetah-v3,TD3_Q2b
33,4721.371862003679,165000.0,HalfCheetah-v3,TD3_Q2b
34,5069.058671064823,170000.0,HalfCheetah-v3,TD3_Q2b
35,5162.455187270095,175000.0,HalfCheetah-v3,TD3_Q2b
36,5343.428085753281,180000.0,HalfCheetah-v3,TD3_Q2b
37,5042.272538161224,185000.0,HalfCheetah-v3,TD3_Q2b
38,5365.111395129372,190000.0,HalfCheetah-v3,TD3_Q2b
39,5264.558431185347,195000.0,HalfCheetah-v3,TD3_Q2b
40,5452.058280607291,200000.0,HalfCheetah-v3,TD3_Q2b
41,5426.799130419255,205000.0,HalfCheetah-v3,TD3_Q2b
42,5463.215461817375,210000.0,HalfCheetah-v3,TD3_Q2b
43,5430.385782629077,215000.0,HalfCheetah-v3,TD3_Q2b
44,5704.10502466475,220000.0,HalfCheetah-v3,TD3_Q2b
45,5749.5928267100235,225000.0,HalfCheetah-v3,TD3_Q2b
46,5672.2389517158645,230000.0,HalfCheetah-v3,TD3_Q2b
47,5841.775343542204,235000.0,HalfCheetah-v3,TD3_Q2b
48,5687.476648191933,240000.0,HalfCheetah-v3,TD3_Q2b
49,5852.156960783009,245000.0,HalfCheetah-v3,TD3_Q2b
50,5895.031386104916,250000.0,HalfCheetah-v3,TD3_Q2b
51,5848.301786156759,255000.0,HalfCheetah-v3,TD3_Q2b
52,5897.5047819173415,260000.0,HalfCheetah-v3,TD3_Q2b
53,6003.008422299517,265000.0,HalfCheetah-v3,TD3_Q2b
54,5970.757742922871,270000.0,HalfCheetah-v3,TD3_Q2b
55,5910.858211641585,275000.0,HalfCheetah-v3,TD3_Q2b
56,6168.479865732795,280000.0,HalfCheetah-v3,TD3_Q2b
57,5981.5378137728185,285000.0,HalfCheetah-v3,TD3_Q2b
58,5998.762792403115,290000.0,HalfCheetah-v3,TD3_Q2b
59,6201.32367883605,295000.0,HalfCheetah-v3,TD3_Q2b
60,6265.7203836872395,300000.0,HalfCheetah-v3,TD3_Q2b
61,6169.090457771401,305000.0,HalfCheetah-v3,TD3_Q2b
62,6145.708876166111,310000.0,HalfCheetah-v3,TD3_Q2b
63,6073.87167915074,315000.0,HalfCheetah-v3,TD3_Q2b
64,6321.814780931533,320000.0,HalfCheetah-v3,TD3_Q2b
65,6447.3124762489015,325000.0,HalfCheetah-v3,TD3_Q2b
66,6355.440623112269,330000.0,HalfCheetah-v3,TD3_Q2b
67,6485.927940052496,335000.0,HalfCheetah-v3,TD3_Q2b
68,6243.31425048275,340000.0,HalfCheetah-v3,TD3_Q2b
69,6257.083882462891,345000.0,HalfCheetah-v3,TD3_Q2b
70,6460.403752122343,350000.0,HalfCheetah-v3,TD3_Q2b
71,6497.984185116731,355000.0,HalfCheetah-v3,TD3_Q2b
72,6357.709355046479,360000.0,HalfCheetah-v3,TD3_Q2b
73,6211.946751367528,365000.0,HalfCheetah-v3,TD3_Q2b
74,6793.125800404746,370000.0,HalfCheetah-v3,TD3_Q2b
75,6658.330020020541,375000.0,HalfCheetah-v3,TD3_Q2b
76,6614.948502924934,380000.0,HalfCheetah-v3,TD3_Q2b
77,6702.338881873809,385000.0,HalfCheetah-v3,TD3_Q2b
78,6754.910585721254,390000.0,HalfCheetah-v3,TD3_Q2b
79,6711.54343601065,395000.0,HalfCheetah-v3,TD3_Q2b
80,6640.712926279603,400000.0,HalfCheetah-v3,TD3_Q2b
81,6731.859162559462,405000.0,HalfCheetah-v3,TD3_Q2b
82,6847.325507376266,410000.0,HalfCheetah-v3,TD3_Q2b
83,6763.353416501862,415000.0,HalfCheetah-v3,TD3_Q2b
84,6156.776078600511,420000.0,HalfCheetah-v3,TD3_Q2b
85,6545.51522894456,425000.0,HalfCheetah-v3,TD3_Q2b
86,6831.764538042173,430000.0,HalfCheetah-v3,TD3_Q2b
87,6827.492325193591,435000.0,HalfCheetah-v3,TD3_Q2b
88,6722.285730720784,440000.0,HalfCheetah-v3,TD3_Q2b
89,6941.416632833903,445000.0,HalfCheetah-v3,TD3_Q2b
90,6340.245767030678,450000.0,HalfCheetah-v3,TD3_Q2b
91,6929.7009293920655,455000.0,HalfCheetah-v3,TD3_Q2b
92,6870.439733931033,460000.0,HalfCheetah-v3,TD3_Q2b
93,6976.297386695577,465000.0,HalfCheetah-v3,TD3_Q2b
