index,Average Return,Timesteps,env,algorithm_name
0,16.409430757191636,0.0,Hopper-v3,TD3_Q2a2x64_1p
1,16.27488606995276,5000.0,Hopper-v3,TD3_Q2a2x64_1p
2,16.3690333377723,10000.0,Hopper-v3,TD3_Q2a2x64_1p
3,168.86686713654473,15000.0,Hopper-v3,TD3_Q2a2x64_1p
4,170.38980536763796,20000.0,Hopper-v3,TD3_Q2a2x64_1p
5,171.58616066775517,25000.0,Hopper-v3,TD3_Q2a2x64_1p
6,260.838202693431,30000.0,Hopper-v3,TD3_Q2a2x64_1p
7,249.35822590161388,35000.0,Hopper-v3,TD3_Q2a2x64_1p
8,279.4000116922486,40000.0,Hopper-v3,TD3_Q2a2x64_1p
9,191.78193360402227,45000.0,Hopper-v3,TD3_Q2a2x64_1p
10,213.13716071086918,50000.0,Hopper-v3,TD3_Q2a2x64_1p
11,1008.9407958120504,55000.0,Hopper-v3,TD3_Q2a2x64_1p
12,578.0962407618055,60000.0,Hopper-v3,TD3_Q2a2x64_1p
13,520.8864776012281,65000.0,Hopper-v3,TD3_Q2a2x64_1p
14,351.7974880183807,70000.0,Hopper-v3,TD3_Q2a2x64_1p
15,241.8967555556613,75000.0,Hopper-v3,TD3_Q2a2x64_1p
16,256.2336787039652,80000.0,Hopper-v3,TD3_Q2a2x64_1p
17,294.23618338586914,85000.0,Hopper-v3,TD3_Q2a2x64_1p
18,316.46865658377953,90000.0,Hopper-v3,TD3_Q2a2x64_1p
19,318.3836530678337,95000.0,Hopper-v3,TD3_Q2a2x64_1p
20,311.23551730831207,100000.0,Hopper-v3,TD3_Q2a2x64_1p
21,306.48815254731085,105000.0,Hopper-v3,TD3_Q2a2x64_1p
22,350.80046964953675,110000.0,Hopper-v3,TD3_Q2a2x64_1p
23,338.9242710201469,115000.0,Hopper-v3,TD3_Q2a2x64_1p
24,295.3281613386055,120000.0,Hopper-v3,TD3_Q2a2x64_1p
25,371.4965996937734,125000.0,Hopper-v3,TD3_Q2a2x64_1p
26,360.8077456303621,130000.0,Hopper-v3,TD3_Q2a2x64_1p
27,287.2600250002163,135000.0,Hopper-v3,TD3_Q2a2x64_1p
28,312.4314239083714,140000.0,Hopper-v3,TD3_Q2a2x64_1p
29,331.301651717905,145000.0,Hopper-v3,TD3_Q2a2x64_1p
30,339.7973423088014,150000.0,Hopper-v3,TD3_Q2a2x64_1p
31,336.5730590532345,155000.0,Hopper-v3,TD3_Q2a2x64_1p
32,329.1108163137945,160000.0,Hopper-v3,TD3_Q2a2x64_1p
33,306.8977504662902,165000.0,Hopper-v3,TD3_Q2a2x64_1p
34,268.04823045211356,170000.0,Hopper-v3,TD3_Q2a2x64_1p
35,293.16140733454915,175000.0,Hopper-v3,TD3_Q2a2x64_1p
36,311.81028857318375,180000.0,Hopper-v3,TD3_Q2a2x64_1p
37,323.3786641034392,185000.0,Hopper-v3,TD3_Q2a2x64_1p
38,321.9600169040313,190000.0,Hopper-v3,TD3_Q2a2x64_1p
39,344.0234859535146,195000.0,Hopper-v3,TD3_Q2a2x64_1p
40,318.4440376039464,200000.0,Hopper-v3,TD3_Q2a2x64_1p
41,298.25099586505905,205000.0,Hopper-v3,TD3_Q2a2x64_1p
42,308.1694726457464,210000.0,Hopper-v3,TD3_Q2a2x64_1p
