index,Average Return,Timesteps,env,algorithm_name
0,15.26237837761261,0.0,Hopper-v3,TD3_Q2a2x64_1p
1,14.158219674716275,5000.0,Hopper-v3,TD3_Q2a2x64_1p
2,15.04496885285337,10000.0,Hopper-v3,TD3_Q2a2x64_1p
3,16.03388810524518,15000.0,Hopper-v3,TD3_Q2a2x64_1p
4,15.149264762017841,20000.0,Hopper-v3,TD3_Q2a2x64_1p
5,14.657251500263845,25000.0,Hopper-v3,TD3_Q2a2x64_1p
6,15.730028942118262,30000.0,Hopper-v3,TD3_Q2a2x64_1p
7,14.089458256682372,35000.0,Hopper-v3,TD3_Q2a2x64_1p
8,14.440771932924633,40000.0,Hopper-v3,TD3_Q2a2x64_1p
9,13.812706433527666,45000.0,Hopper-v3,TD3_Q2a2x64_1p
10,261.69750893306514,50000.0,Hopper-v3,TD3_Q2a2x64_1p
11,262.82630911983995,55000.0,Hopper-v3,TD3_Q2a2x64_1p
12,262.3521575190809,60000.0,Hopper-v3,TD3_Q2a2x64_1p
13,258.355732421673,65000.0,Hopper-v3,TD3_Q2a2x64_1p
14,258.9910486744316,70000.0,Hopper-v3,TD3_Q2a2x64_1p
15,157.78191043475124,75000.0,Hopper-v3,TD3_Q2a2x64_1p
16,160.1621416674575,80000.0,Hopper-v3,TD3_Q2a2x64_1p
17,164.81425156948004,85000.0,Hopper-v3,TD3_Q2a2x64_1p
18,183.997105455247,90000.0,Hopper-v3,TD3_Q2a2x64_1p
19,188.53950682009665,95000.0,Hopper-v3,TD3_Q2a2x64_1p
20,278.56797774450337,100000.0,Hopper-v3,TD3_Q2a2x64_1p
21,285.12721170213234,105000.0,Hopper-v3,TD3_Q2a2x64_1p
22,283.9510627165394,110000.0,Hopper-v3,TD3_Q2a2x64_1p
23,288.9654821132493,115000.0,Hopper-v3,TD3_Q2a2x64_1p
24,292.959989249933,120000.0,Hopper-v3,TD3_Q2a2x64_1p
25,227.25255033595653,125000.0,Hopper-v3,TD3_Q2a2x64_1p
26,224.55887992621305,130000.0,Hopper-v3,TD3_Q2a2x64_1p
27,221.29074292759293,135000.0,Hopper-v3,TD3_Q2a2x64_1p
28,223.63141032542632,140000.0,Hopper-v3,TD3_Q2a2x64_1p
29,221.25533674430963,145000.0,Hopper-v3,TD3_Q2a2x64_1p
30,244.41594980153053,150000.0,Hopper-v3,TD3_Q2a2x64_1p
31,243.5569435477683,155000.0,Hopper-v3,TD3_Q2a2x64_1p
32,244.0403714921237,160000.0,Hopper-v3,TD3_Q2a2x64_1p
33,240.72242242731323,165000.0,Hopper-v3,TD3_Q2a2x64_1p
34,243.73324435776902,170000.0,Hopper-v3,TD3_Q2a2x64_1p
35,239.7891187692434,175000.0,Hopper-v3,TD3_Q2a2x64_1p
36,238.97693119585992,180000.0,Hopper-v3,TD3_Q2a2x64_1p
37,240.8368785125705,185000.0,Hopper-v3,TD3_Q2a2x64_1p
38,240.93600051012982,190000.0,Hopper-v3,TD3_Q2a2x64_1p
39,237.96113121756284,195000.0,Hopper-v3,TD3_Q2a2x64_1p
40,273.9366134178386,200000.0,Hopper-v3,TD3_Q2a2x64_1p
41,280.2080735272258,205000.0,Hopper-v3,TD3_Q2a2x64_1p
42,273.8429114974112,210000.0,Hopper-v3,TD3_Q2a2x64_1p
43,273.6971167751434,215000.0,Hopper-v3,TD3_Q2a2x64_1p
44,284.10329710108056,220000.0,Hopper-v3,TD3_Q2a2x64_1p
45,198.98174831343704,225000.0,Hopper-v3,TD3_Q2a2x64_1p
46,216.43149914336965,230000.0,Hopper-v3,TD3_Q2a2x64_1p
47,196.1223802030758,235000.0,Hopper-v3,TD3_Q2a2x64_1p
48,214.3261089245829,240000.0,Hopper-v3,TD3_Q2a2x64_1p
49,211.20779194796984,245000.0,Hopper-v3,TD3_Q2a2x64_1p
50,380.3333028655124,250000.0,Hopper-v3,TD3_Q2a2x64_1p
51,383.15019249171064,255000.0,Hopper-v3,TD3_Q2a2x64_1p
52,371.6741907293579,260000.0,Hopper-v3,TD3_Q2a2x64_1p
53,371.6508870586075,265000.0,Hopper-v3,TD3_Q2a2x64_1p
54,354.7691523392813,270000.0,Hopper-v3,TD3_Q2a2x64_1p
55,331.6094444717604,275000.0,Hopper-v3,TD3_Q2a2x64_1p
56,328.74420480919457,280000.0,Hopper-v3,TD3_Q2a2x64_1p
57,331.279051991365,285000.0,Hopper-v3,TD3_Q2a2x64_1p
58,326.67658723058895,290000.0,Hopper-v3,TD3_Q2a2x64_1p
59,331.9406955076983,295000.0,Hopper-v3,TD3_Q2a2x64_1p
60,426.4227572920089,300000.0,Hopper-v3,TD3_Q2a2x64_1p
61,426.497914768192,305000.0,Hopper-v3,TD3_Q2a2x64_1p
62,423.54943609238944,310000.0,Hopper-v3,TD3_Q2a2x64_1p
63,435.20486346270184,315000.0,Hopper-v3,TD3_Q2a2x64_1p
64,423.1905854659423,320000.0,Hopper-v3,TD3_Q2a2x64_1p
65,405.12978694902944,325000.0,Hopper-v3,TD3_Q2a2x64_1p
66,399.94269578059533,330000.0,Hopper-v3,TD3_Q2a2x64_1p
67,425.3858345640598,335000.0,Hopper-v3,TD3_Q2a2x64_1p
68,481.8525153106158,340000.0,Hopper-v3,TD3_Q2a2x64_1p
69,468.7273550884437,345000.0,Hopper-v3,TD3_Q2a2x64_1p
70,406.3432773957701,350000.0,Hopper-v3,TD3_Q2a2x64_1p
71,397.1280202689519,355000.0,Hopper-v3,TD3_Q2a2x64_1p
72,400.48319363433984,360000.0,Hopper-v3,TD3_Q2a2x64_1p
73,388.28349927978275,365000.0,Hopper-v3,TD3_Q2a2x64_1p
74,381.3352124561742,370000.0,Hopper-v3,TD3_Q2a2x64_1p
75,428.313635537104,375000.0,Hopper-v3,TD3_Q2a2x64_1p
76,419.86148948876723,380000.0,Hopper-v3,TD3_Q2a2x64_1p
77,418.02117504814197,385000.0,Hopper-v3,TD3_Q2a2x64_1p
78,409.16946857021964,390000.0,Hopper-v3,TD3_Q2a2x64_1p
79,418.22187564808155,395000.0,Hopper-v3,TD3_Q2a2x64_1p
80,644.2198240901231,400000.0,Hopper-v3,TD3_Q2a2x64_1p
81,650.0101033611785,405000.0,Hopper-v3,TD3_Q2a2x64_1p
82,624.793574234291,410000.0,Hopper-v3,TD3_Q2a2x64_1p
83,640.6844315611983,415000.0,Hopper-v3,TD3_Q2a2x64_1p
84,597.8004159292395,420000.0,Hopper-v3,TD3_Q2a2x64_1p
85,699.4166832492687,425000.0,Hopper-v3,TD3_Q2a2x64_1p
86,666.195556879156,430000.0,Hopper-v3,TD3_Q2a2x64_1p
87,655.2680098334351,435000.0,Hopper-v3,TD3_Q2a2x64_1p
88,587.0990155695648,440000.0,Hopper-v3,TD3_Q2a2x64_1p
89,616.3368010934872,445000.0,Hopper-v3,TD3_Q2a2x64_1p
90,324.8922384815521,450000.0,Hopper-v3,TD3_Q2a2x64_1p
91,321.6940556069173,455000.0,Hopper-v3,TD3_Q2a2x64_1p
92,324.50804985223084,460000.0,Hopper-v3,TD3_Q2a2x64_1p
93,339.8560103602416,465000.0,Hopper-v3,TD3_Q2a2x64_1p
94,331.7733243011285,470000.0,Hopper-v3,TD3_Q2a2x64_1p
95,773.3402636703667,475000.0,Hopper-v3,TD3_Q2a2x64_1p
96,777.276995533267,480000.0,Hopper-v3,TD3_Q2a2x64_1p
97,736.4906858829617,485000.0,Hopper-v3,TD3_Q2a2x64_1p
98,697.1564901690795,490000.0,Hopper-v3,TD3_Q2a2x64_1p
99,705.153360547862,495000.0,Hopper-v3,TD3_Q2a2x64_1p
100,527.2741899474071,500000.0,Hopper-v3,TD3_Q2a2x64_1p
101,519.2722282072416,505000.0,Hopper-v3,TD3_Q2a2x64_1p
102,507.31922349437417,510000.0,Hopper-v3,TD3_Q2a2x64_1p
103,510.4438696704348,515000.0,Hopper-v3,TD3_Q2a2x64_1p
104,496.62681318014575,520000.0,Hopper-v3,TD3_Q2a2x64_1p
105,537.0092321579156,525000.0,Hopper-v3,TD3_Q2a2x64_1p
106,546.8627591213783,530000.0,Hopper-v3,TD3_Q2a2x64_1p
107,532.0146468753744,535000.0,Hopper-v3,TD3_Q2a2x64_1p
108,533.0479876213751,540000.0,Hopper-v3,TD3_Q2a2x64_1p
109,534.6194197043459,545000.0,Hopper-v3,TD3_Q2a2x64_1p
