index,Average Return,Timesteps,env,algorithm_name
0,181.49846749692597,0.0,Hopper-v3,TD3_Q2a2x64_1p
1,182.52470063147115,5000.0,Hopper-v3,TD3_Q2a2x64_1p
2,182.11362684872313,10000.0,Hopper-v3,TD3_Q2a2x64_1p
3,183.60640289689383,15000.0,Hopper-v3,TD3_Q2a2x64_1p
4,182.54502700739275,20000.0,Hopper-v3,TD3_Q2a2x64_1p
5,182.9247978648711,25000.0,Hopper-v3,TD3_Q2a2x64_1p
6,182.39133365242827,30000.0,Hopper-v3,TD3_Q2a2x64_1p
7,183.13777215625618,35000.0,Hopper-v3,TD3_Q2a2x64_1p
8,183.17021201977744,40000.0,Hopper-v3,TD3_Q2a2x64_1p
9,183.0402438738536,45000.0,Hopper-v3,TD3_Q2a2x64_1p
10,146.20249276700503,50000.0,Hopper-v3,TD3_Q2a2x64_1p
11,146.52981991638813,55000.0,Hopper-v3,TD3_Q2a2x64_1p
12,145.31404099512883,60000.0,Hopper-v3,TD3_Q2a2x64_1p
13,144.26628320819503,65000.0,Hopper-v3,TD3_Q2a2x64_1p
14,143.9103480190598,70000.0,Hopper-v3,TD3_Q2a2x64_1p
15,200.2493526598133,75000.0,Hopper-v3,TD3_Q2a2x64_1p
16,200.37672471025905,80000.0,Hopper-v3,TD3_Q2a2x64_1p
17,200.16715315005223,85000.0,Hopper-v3,TD3_Q2a2x64_1p
18,200.32554364820277,90000.0,Hopper-v3,TD3_Q2a2x64_1p
19,198.20807518338216,95000.0,Hopper-v3,TD3_Q2a2x64_1p
20,196.46011017674985,100000.0,Hopper-v3,TD3_Q2a2x64_1p
21,195.3373812924878,105000.0,Hopper-v3,TD3_Q2a2x64_1p
22,194.80073688210183,110000.0,Hopper-v3,TD3_Q2a2x64_1p
23,196.33664108878014,115000.0,Hopper-v3,TD3_Q2a2x64_1p
24,194.69062170771915,120000.0,Hopper-v3,TD3_Q2a2x64_1p
25,202.9205153282496,125000.0,Hopper-v3,TD3_Q2a2x64_1p
26,202.98288066092965,130000.0,Hopper-v3,TD3_Q2a2x64_1p
27,201.64370522271813,135000.0,Hopper-v3,TD3_Q2a2x64_1p
28,202.05439280119998,140000.0,Hopper-v3,TD3_Q2a2x64_1p
29,200.91948449148157,145000.0,Hopper-v3,TD3_Q2a2x64_1p
30,209.13493164669657,150000.0,Hopper-v3,TD3_Q2a2x64_1p
31,208.29145800286338,155000.0,Hopper-v3,TD3_Q2a2x64_1p
32,206.9546674506534,160000.0,Hopper-v3,TD3_Q2a2x64_1p
33,208.21029479361383,165000.0,Hopper-v3,TD3_Q2a2x64_1p
34,205.8598423372172,170000.0,Hopper-v3,TD3_Q2a2x64_1p
35,215.82830537880054,175000.0,Hopper-v3,TD3_Q2a2x64_1p
36,210.04429699735806,180000.0,Hopper-v3,TD3_Q2a2x64_1p
37,214.49556028908916,185000.0,Hopper-v3,TD3_Q2a2x64_1p
38,207.12696834813332,190000.0,Hopper-v3,TD3_Q2a2x64_1p
39,205.72716105892488,195000.0,Hopper-v3,TD3_Q2a2x64_1p
40,328.163221032006,200000.0,Hopper-v3,TD3_Q2a2x64_1p
41,328.4485115711012,205000.0,Hopper-v3,TD3_Q2a2x64_1p
42,326.81923893723524,210000.0,Hopper-v3,TD3_Q2a2x64_1p
43,324.2931099492193,215000.0,Hopper-v3,TD3_Q2a2x64_1p
44,323.2374443417671,220000.0,Hopper-v3,TD3_Q2a2x64_1p
45,368.59829371694775,225000.0,Hopper-v3,TD3_Q2a2x64_1p
46,370.79436768387035,230000.0,Hopper-v3,TD3_Q2a2x64_1p
47,362.8333355785646,235000.0,Hopper-v3,TD3_Q2a2x64_1p
48,359.29163824595105,240000.0,Hopper-v3,TD3_Q2a2x64_1p
49,355.2785068160641,245000.0,Hopper-v3,TD3_Q2a2x64_1p
50,378.8370525397401,250000.0,Hopper-v3,TD3_Q2a2x64_1p
51,373.9319015718106,255000.0,Hopper-v3,TD3_Q2a2x64_1p
52,353.96506812724033,260000.0,Hopper-v3,TD3_Q2a2x64_1p
53,334.45438649119444,265000.0,Hopper-v3,TD3_Q2a2x64_1p
54,352.1564998911979,270000.0,Hopper-v3,TD3_Q2a2x64_1p
55,175.49659044930243,275000.0,Hopper-v3,TD3_Q2a2x64_1p
56,212.76281634389593,280000.0,Hopper-v3,TD3_Q2a2x64_1p
57,195.15782285906457,285000.0,Hopper-v3,TD3_Q2a2x64_1p
58,194.48387598107132,290000.0,Hopper-v3,TD3_Q2a2x64_1p
59,218.67665563534388,295000.0,Hopper-v3,TD3_Q2a2x64_1p
60,286.2353473395747,300000.0,Hopper-v3,TD3_Q2a2x64_1p
61,281.3269318551324,305000.0,Hopper-v3,TD3_Q2a2x64_1p
62,289.4149373465249,310000.0,Hopper-v3,TD3_Q2a2x64_1p
63,293.24630334722946,315000.0,Hopper-v3,TD3_Q2a2x64_1p
64,285.0832900475568,320000.0,Hopper-v3,TD3_Q2a2x64_1p
65,301.9818161120481,325000.0,Hopper-v3,TD3_Q2a2x64_1p
66,295.5804126645751,330000.0,Hopper-v3,TD3_Q2a2x64_1p
67,297.2570652738723,335000.0,Hopper-v3,TD3_Q2a2x64_1p
68,297.34995340436,340000.0,Hopper-v3,TD3_Q2a2x64_1p
69,292.7011130979387,345000.0,Hopper-v3,TD3_Q2a2x64_1p
70,356.7636612745077,350000.0,Hopper-v3,TD3_Q2a2x64_1p
71,352.78059248924666,355000.0,Hopper-v3,TD3_Q2a2x64_1p
72,348.9828707512977,360000.0,Hopper-v3,TD3_Q2a2x64_1p
73,342.97694593252714,365000.0,Hopper-v3,TD3_Q2a2x64_1p
74,343.32808322439513,370000.0,Hopper-v3,TD3_Q2a2x64_1p
75,343.166111363972,375000.0,Hopper-v3,TD3_Q2a2x64_1p
76,352.8418364621397,380000.0,Hopper-v3,TD3_Q2a2x64_1p
77,345.7052762565747,385000.0,Hopper-v3,TD3_Q2a2x64_1p
78,343.23913503339173,390000.0,Hopper-v3,TD3_Q2a2x64_1p
79,317.7810242263448,395000.0,Hopper-v3,TD3_Q2a2x64_1p
80,336.4269583688176,400000.0,Hopper-v3,TD3_Q2a2x64_1p
81,321.9179731127877,405000.0,Hopper-v3,TD3_Q2a2x64_1p
82,324.9131233180723,410000.0,Hopper-v3,TD3_Q2a2x64_1p
83,321.4848215315843,415000.0,Hopper-v3,TD3_Q2a2x64_1p
84,312.4806948456597,420000.0,Hopper-v3,TD3_Q2a2x64_1p
85,366.4151565621053,425000.0,Hopper-v3,TD3_Q2a2x64_1p
86,374.4424543077493,430000.0,Hopper-v3,TD3_Q2a2x64_1p
87,370.76116697423475,435000.0,Hopper-v3,TD3_Q2a2x64_1p
88,348.2603403038472,440000.0,Hopper-v3,TD3_Q2a2x64_1p
89,359.46944004450603,445000.0,Hopper-v3,TD3_Q2a2x64_1p
90,396.856662370941,450000.0,Hopper-v3,TD3_Q2a2x64_1p
91,402.9823572014294,455000.0,Hopper-v3,TD3_Q2a2x64_1p
92,395.2245258980478,460000.0,Hopper-v3,TD3_Q2a2x64_1p
93,366.56125179910015,465000.0,Hopper-v3,TD3_Q2a2x64_1p
94,323.707400385529,470000.0,Hopper-v3,TD3_Q2a2x64_1p
95,305.836752419779,475000.0,Hopper-v3,TD3_Q2a2x64_1p
96,314.2312303556278,480000.0,Hopper-v3,TD3_Q2a2x64_1p
97,312.44681175135946,485000.0,Hopper-v3,TD3_Q2a2x64_1p
98,310.18846319070514,490000.0,Hopper-v3,TD3_Q2a2x64_1p
99,308.45761919880096,495000.0,Hopper-v3,TD3_Q2a2x64_1p
100,315.2147413315983,500000.0,Hopper-v3,TD3_Q2a2x64_1p
101,314.32713954792223,505000.0,Hopper-v3,TD3_Q2a2x64_1p
102,315.81044651117037,510000.0,Hopper-v3,TD3_Q2a2x64_1p
103,316.28171124657285,515000.0,Hopper-v3,TD3_Q2a2x64_1p
104,306.7580411375714,520000.0,Hopper-v3,TD3_Q2a2x64_1p
105,351.02071451296973,525000.0,Hopper-v3,TD3_Q2a2x64_1p
106,347.3307524406016,530000.0,Hopper-v3,TD3_Q2a2x64_1p
107,359.3294320236158,535000.0,Hopper-v3,TD3_Q2a2x64_1p
108,348.7672091805099,540000.0,Hopper-v3,TD3_Q2a2x64_1p
109,337.65692507203215,545000.0,Hopper-v3,TD3_Q2a2x64_1p
110,330.6534945863083,550000.0,Hopper-v3,TD3_Q2a2x64_1p
111,331.89739067176413,555000.0,Hopper-v3,TD3_Q2a2x64_1p
112,329.56226900600575,560000.0,Hopper-v3,TD3_Q2a2x64_1p
113,319.36920680905683,565000.0,Hopper-v3,TD3_Q2a2x64_1p
114,328.60567178219173,570000.0,Hopper-v3,TD3_Q2a2x64_1p
115,323.7237260414636,575000.0,Hopper-v3,TD3_Q2a2x64_1p
116,324.71339746220116,580000.0,Hopper-v3,TD3_Q2a2x64_1p
