index,Average Return,Timesteps,env,algorithm_name
0,21.543209730592473,0.0,Hopper-v3,TD3
1,21.391450636331363,5000.0,Hopper-v3,TD3
2,21.627035048056452,10000.0,Hopper-v3,TD3
3,21.111296786473325,15000.0,Hopper-v3,TD3
4,21.21067620150531,20000.0,Hopper-v3,TD3
5,21.393880337688238,25000.0,Hopper-v3,TD3
6,21.47914201431423,30000.0,Hopper-v3,TD3
7,21.54833945731431,35000.0,Hopper-v3,TD3
8,21.280424808116727,40000.0,Hopper-v3,TD3
9,21.311245620618884,45000.0,Hopper-v3,TD3
10,88.392537693534,50000.0,Hopper-v3,TD3
11,108.67156163874942,55000.0,Hopper-v3,TD3
12,139.26051379372143,60000.0,Hopper-v3,TD3
13,110.06674244331813,65000.0,Hopper-v3,TD3
14,119.32879448201243,70000.0,Hopper-v3,TD3
15,183.09044197337488,75000.0,Hopper-v3,TD3
16,184.1323127325703,80000.0,Hopper-v3,TD3
17,184.15430665959485,85000.0,Hopper-v3,TD3
18,185.51698661058674,90000.0,Hopper-v3,TD3
19,185.38371270751918,95000.0,Hopper-v3,TD3
20,167.26198037338648,100000.0,Hopper-v3,TD3
21,164.91429913831928,105000.0,Hopper-v3,TD3
22,167.22456270847803,110000.0,Hopper-v3,TD3
23,164.46674597692297,115000.0,Hopper-v3,TD3
24,153.53576287671746,120000.0,Hopper-v3,TD3
25,177.21900584219523,125000.0,Hopper-v3,TD3
26,178.5536254092962,130000.0,Hopper-v3,TD3
27,177.57223670687293,135000.0,Hopper-v3,TD3
28,177.42757458199173,140000.0,Hopper-v3,TD3
29,177.04375207829537,145000.0,Hopper-v3,TD3
30,175.7040258882284,150000.0,Hopper-v3,TD3
31,177.40925129761587,155000.0,Hopper-v3,TD3
32,174.79079541829574,160000.0,Hopper-v3,TD3
33,176.255423596322,165000.0,Hopper-v3,TD3
34,178.85166800621045,170000.0,Hopper-v3,TD3
35,182.2531825989296,175000.0,Hopper-v3,TD3
36,181.57849844338278,180000.0,Hopper-v3,TD3
37,184.20182956779018,185000.0,Hopper-v3,TD3
38,182.4068925577047,190000.0,Hopper-v3,TD3
39,180.3036816795456,195000.0,Hopper-v3,TD3
40,199.38294234123117,200000.0,Hopper-v3,TD3
41,199.29498187242433,205000.0,Hopper-v3,TD3
42,195.26873933196376,210000.0,Hopper-v3,TD3
43,194.72839421828525,215000.0,Hopper-v3,TD3
44,194.61160185317462,220000.0,Hopper-v3,TD3
45,1046.9795087515367,225000.0,Hopper-v3,TD3
46,1047.1181138720008,230000.0,Hopper-v3,TD3
47,1046.5027446660586,235000.0,Hopper-v3,TD3
48,1051.2641492958298,240000.0,Hopper-v3,TD3
49,1049.8893661238571,245000.0,Hopper-v3,TD3
50,290.9204270915985,250000.0,Hopper-v3,TD3
51,287.14793858510996,255000.0,Hopper-v3,TD3
52,282.17636784084095,260000.0,Hopper-v3,TD3
53,288.1834029818028,265000.0,Hopper-v3,TD3
54,290.5112620494283,270000.0,Hopper-v3,TD3
55,875.0474892211511,275000.0,Hopper-v3,TD3
56,846.5943872521073,280000.0,Hopper-v3,TD3
57,863.5391862604938,285000.0,Hopper-v3,TD3
58,859.684815141597,290000.0,Hopper-v3,TD3
59,871.7318412665787,295000.0,Hopper-v3,TD3
60,1046.3623843874082,300000.0,Hopper-v3,TD3
61,1050.1324142532455,305000.0,Hopper-v3,TD3
62,1020.320177234338,310000.0,Hopper-v3,TD3
63,1059.1426971833278,315000.0,Hopper-v3,TD3
64,1047.2011238386074,320000.0,Hopper-v3,TD3
65,341.43489508195233,325000.0,Hopper-v3,TD3
66,317.9877352812248,330000.0,Hopper-v3,TD3
67,350.00889000771366,335000.0,Hopper-v3,TD3
68,296.03394033768626,340000.0,Hopper-v3,TD3
69,326.60720106190564,345000.0,Hopper-v3,TD3
70,345.8811491917503,350000.0,Hopper-v3,TD3
71,334.21153173324234,355000.0,Hopper-v3,TD3
72,346.1671434663905,360000.0,Hopper-v3,TD3
73,353.162349242759,365000.0,Hopper-v3,TD3
74,339.58949428925746,370000.0,Hopper-v3,TD3
75,290.93219834351487,375000.0,Hopper-v3,TD3
76,297.2265619545994,380000.0,Hopper-v3,TD3
77,299.0944916015129,385000.0,Hopper-v3,TD3
78,294.96011293521815,390000.0,Hopper-v3,TD3
79,310.3211194489912,395000.0,Hopper-v3,TD3
80,328.8793047041504,400000.0,Hopper-v3,TD3
81,307.82472097177606,405000.0,Hopper-v3,TD3
82,324.39604544724136,410000.0,Hopper-v3,TD3
83,311.0924576501312,415000.0,Hopper-v3,TD3
