index,Average Return,Timesteps,env,algorithm_name
0,53.81615574903968,0.0,Hopper-v3,TD3
1,58.961196872267934,5000.0,Hopper-v3,TD3
2,69.02603253835677,10000.0,Hopper-v3,TD3
3,55.87411038559914,15000.0,Hopper-v3,TD3
4,52.29824888835996,20000.0,Hopper-v3,TD3
5,55.129019813069434,25000.0,Hopper-v3,TD3
6,61.721156963510296,30000.0,Hopper-v3,TD3
7,56.13141021899647,35000.0,Hopper-v3,TD3
8,47.60713268904151,40000.0,Hopper-v3,TD3
9,58.91403763017337,45000.0,Hopper-v3,TD3
10,190.76861028167122,50000.0,Hopper-v3,TD3
11,195.646386104477,55000.0,Hopper-v3,TD3
12,195.90135528213025,60000.0,Hopper-v3,TD3
13,194.33446627018003,65000.0,Hopper-v3,TD3
14,193.22947359896654,70000.0,Hopper-v3,TD3
15,190.32594095222507,75000.0,Hopper-v3,TD3
16,190.71166098060593,80000.0,Hopper-v3,TD3
17,192.24102180151866,85000.0,Hopper-v3,TD3
18,193.01705973143254,90000.0,Hopper-v3,TD3
19,193.46170547439002,95000.0,Hopper-v3,TD3
20,220.98977698789705,100000.0,Hopper-v3,TD3
21,216.96141667983412,105000.0,Hopper-v3,TD3
22,215.2235142778167,110000.0,Hopper-v3,TD3
23,218.3141785462238,115000.0,Hopper-v3,TD3
24,212.17217997074104,120000.0,Hopper-v3,TD3
25,146.31288262963264,125000.0,Hopper-v3,TD3
26,158.87733944287737,130000.0,Hopper-v3,TD3
27,169.3085359002801,135000.0,Hopper-v3,TD3
28,155.76099769968405,140000.0,Hopper-v3,TD3
29,183.60072322714774,145000.0,Hopper-v3,TD3
30,204.0862442403191,150000.0,Hopper-v3,TD3
31,205.56793079176708,155000.0,Hopper-v3,TD3
32,206.92021201922594,160000.0,Hopper-v3,TD3
33,219.23310186967365,165000.0,Hopper-v3,TD3
34,205.5388677607213,170000.0,Hopper-v3,TD3
35,213.6809800379579,175000.0,Hopper-v3,TD3
36,218.41226005263812,180000.0,Hopper-v3,TD3
37,216.03514053173166,185000.0,Hopper-v3,TD3
38,218.52429436807014,190000.0,Hopper-v3,TD3
39,218.0687231475206,195000.0,Hopper-v3,TD3
40,242.41141650072277,200000.0,Hopper-v3,TD3
41,242.03924610593725,205000.0,Hopper-v3,TD3
42,241.62797433771817,210000.0,Hopper-v3,TD3
43,240.91840787578712,215000.0,Hopper-v3,TD3
44,238.36269237081038,220000.0,Hopper-v3,TD3
45,261.56679534280704,225000.0,Hopper-v3,TD3
46,260.59344742457097,230000.0,Hopper-v3,TD3
47,255.95825960517578,235000.0,Hopper-v3,TD3
48,254.80952854671972,240000.0,Hopper-v3,TD3
49,255.49489701251235,245000.0,Hopper-v3,TD3
50,281.8311255404361,250000.0,Hopper-v3,TD3
51,288.4222644952053,255000.0,Hopper-v3,TD3
52,277.01022584164247,260000.0,Hopper-v3,TD3
53,277.086418608781,265000.0,Hopper-v3,TD3
54,287.42651861664683,270000.0,Hopper-v3,TD3
55,222.06492261169151,275000.0,Hopper-v3,TD3
56,221.90407849989683,280000.0,Hopper-v3,TD3
57,222.31054071583543,285000.0,Hopper-v3,TD3
58,220.70887225796736,290000.0,Hopper-v3,TD3
59,224.71996353042005,295000.0,Hopper-v3,TD3
