index,Average Return,Timesteps,env,algorithm_name
0,57.620821474618005,0.0,Hopper-v3,TD3
1,57.11175826811963,5000.0,Hopper-v3,TD3
2,57.6207151885006,10000.0,Hopper-v3,TD3
3,190.34377506646265,15000.0,Hopper-v3,TD3
4,190.43207835394008,20000.0,Hopper-v3,TD3
5,218.57598544454717,25000.0,Hopper-v3,TD3
6,144.8352077597727,30000.0,Hopper-v3,TD3
7,201.16630515142316,35000.0,Hopper-v3,TD3
8,217.9419226093578,40000.0,Hopper-v3,TD3
9,242.14298916414828,45000.0,Hopper-v3,TD3
10,264.2588028305459,50000.0,Hopper-v3,TD3
11,272.07895755283556,55000.0,Hopper-v3,TD3
12,214.77761202253677,60000.0,Hopper-v3,TD3
13,215.8377159455662,65000.0,Hopper-v3,TD3
14,267.9887798892409,70000.0,Hopper-v3,TD3
15,268.6783974610031,75000.0,Hopper-v3,TD3
16,269.344051299105,80000.0,Hopper-v3,TD3
17,303.20190899428883,85000.0,Hopper-v3,TD3
18,286.79370500411414,90000.0,Hopper-v3,TD3
19,275.2182143334629,95000.0,Hopper-v3,TD3
20,264.47037710127313,100000.0,Hopper-v3,TD3
21,300.0822788309068,105000.0,Hopper-v3,TD3
22,309.80833983583796,110000.0,Hopper-v3,TD3
23,301.76564421992595,115000.0,Hopper-v3,TD3
24,290.12877633179386,120000.0,Hopper-v3,TD3
25,320.0815846992476,125000.0,Hopper-v3,TD3
26,311.29835214089724,130000.0,Hopper-v3,TD3
27,304.38808970833577,135000.0,Hopper-v3,TD3
28,305.35919597985577,140000.0,Hopper-v3,TD3
29,304.3356965481754,145000.0,Hopper-v3,TD3
30,309.3501900694679,150000.0,Hopper-v3,TD3
31,307.3321821376799,155000.0,Hopper-v3,TD3
32,299.8387338456528,160000.0,Hopper-v3,TD3
33,308.2734104870211,165000.0,Hopper-v3,TD3
34,307.79609489482743,170000.0,Hopper-v3,TD3
35,315.15145232298823,175000.0,Hopper-v3,TD3
36,317.90192418419605,180000.0,Hopper-v3,TD3
37,318.86035459133393,185000.0,Hopper-v3,TD3
38,326.12426480615966,190000.0,Hopper-v3,TD3
39,332.06284728199006,195000.0,Hopper-v3,TD3
40,322.59696634116807,200000.0,Hopper-v3,TD3
41,347.99073238219324,205000.0,Hopper-v3,TD3
42,324.89525847383453,210000.0,Hopper-v3,TD3
43,365.64361683389217,215000.0,Hopper-v3,TD3
44,361.869760796798,220000.0,Hopper-v3,TD3
45,336.30697890953974,225000.0,Hopper-v3,TD3
46,338.30218443139233,230000.0,Hopper-v3,TD3
47,328.4181689593204,235000.0,Hopper-v3,TD3
48,324.88843621473575,240000.0,Hopper-v3,TD3
49,313.90125160687614,245000.0,Hopper-v3,TD3
50,315.0201778118962,250000.0,Hopper-v3,TD3
51,309.67492149458405,255000.0,Hopper-v3,TD3
52,321.71827335504844,260000.0,Hopper-v3,TD3
53,296.72824250364727,265000.0,Hopper-v3,TD3
54,336.09513075476184,270000.0,Hopper-v3,TD3
55,337.48302298978194,275000.0,Hopper-v3,TD3
56,328.83342219192525,280000.0,Hopper-v3,TD3
57,275.3540140160109,285000.0,Hopper-v3,TD3
58,288.4627557755954,290000.0,Hopper-v3,TD3
59,303.05671553119254,295000.0,Hopper-v3,TD3
60,317.2005090220131,300000.0,Hopper-v3,TD3
61,319.7277815136123,305000.0,Hopper-v3,TD3
62,303.6732336510851,310000.0,Hopper-v3,TD3
63,321.61926763493733,315000.0,Hopper-v3,TD3
64,332.5735357856397,320000.0,Hopper-v3,TD3
65,323.74184007154884,325000.0,Hopper-v3,TD3
66,322.0503027643498,330000.0,Hopper-v3,TD3
67,314.269479743265,335000.0,Hopper-v3,TD3
68,323.8727959127857,340000.0,Hopper-v3,TD3
69,330.6368734483575,345000.0,Hopper-v3,TD3
70,323.77270882933965,350000.0,Hopper-v3,TD3
71,338.4457269120517,355000.0,Hopper-v3,TD3
72,332.26898996191943,360000.0,Hopper-v3,TD3
73,330.83517303991357,365000.0,Hopper-v3,TD3
74,322.0087798615604,370000.0,Hopper-v3,TD3
75,324.69640166852935,375000.0,Hopper-v3,TD3
76,324.90706066008494,380000.0,Hopper-v3,TD3
77,314.69376840035386,385000.0,Hopper-v3,TD3
78,318.3862110708407,390000.0,Hopper-v3,TD3
79,324.33460502043994,395000.0,Hopper-v3,TD3
80,319.6409414450475,400000.0,Hopper-v3,TD3
81,323.6204662664008,405000.0,Hopper-v3,TD3
82,326.87344190125344,410000.0,Hopper-v3,TD3
83,326.00962342687706,415000.0,Hopper-v3,TD3
84,320.3697370550989,420000.0,Hopper-v3,TD3
85,309.4666627245475,425000.0,Hopper-v3,TD3
86,325.0885959830758,430000.0,Hopper-v3,TD3
87,314.89056029612703,435000.0,Hopper-v3,TD3
88,317.13246107204503,440000.0,Hopper-v3,TD3
89,303.78684638205425,445000.0,Hopper-v3,TD3
90,307.0990965645955,450000.0,Hopper-v3,TD3
91,322.1202449896577,455000.0,Hopper-v3,TD3
92,333.20119905961195,460000.0,Hopper-v3,TD3
93,332.94847953007934,465000.0,Hopper-v3,TD3
94,335.5513241399932,470000.0,Hopper-v3,TD3
95,336.8659355806432,475000.0,Hopper-v3,TD3
96,336.0057344955016,480000.0,Hopper-v3,TD3
97,324.60637148451985,485000.0,Hopper-v3,TD3
98,333.0413578759334,490000.0,Hopper-v3,TD3
99,324.85989379724185,495000.0,Hopper-v3,TD3
100,335.2466049496732,500000.0,Hopper-v3,TD3
101,324.7075086545293,505000.0,Hopper-v3,TD3
102,337.74674855888776,510000.0,Hopper-v3,TD3
103,335.8768044373396,515000.0,Hopper-v3,TD3
104,325.5696979109433,520000.0,Hopper-v3,TD3
105,330.006785061182,525000.0,Hopper-v3,TD3
106,344.79145009147123,530000.0,Hopper-v3,TD3
107,342.0876430989064,535000.0,Hopper-v3,TD3
108,348.2857831160492,540000.0,Hopper-v3,TD3
109,333.8738006776246,545000.0,Hopper-v3,TD3
110,344.40328468170696,550000.0,Hopper-v3,TD3
111,401.8595205521583,555000.0,Hopper-v3,TD3
112,326.87047936326735,560000.0,Hopper-v3,TD3
113,361.1906854410389,565000.0,Hopper-v3,TD3
114,330.033471143833,570000.0,Hopper-v3,TD3
115,298.95119953491974,575000.0,Hopper-v3,TD3
116,318.6555863539082,580000.0,Hopper-v3,TD3
117,317.7409553676165,585000.0,Hopper-v3,TD3
118,325.8689233807039,590000.0,Hopper-v3,TD3
119,366.892977284892,595000.0,Hopper-v3,TD3
120,345.42968192932915,600000.0,Hopper-v3,TD3
121,333.974990495675,605000.0,Hopper-v3,TD3
122,302.6593772282537,610000.0,Hopper-v3,TD3
123,385.4631266104601,615000.0,Hopper-v3,TD3
124,401.93862918807037,620000.0,Hopper-v3,TD3
125,363.4288991993352,625000.0,Hopper-v3,TD3
126,480.6381721622599,630000.0,Hopper-v3,TD3
127,689.8878469614435,635000.0,Hopper-v3,TD3
128,535.7969341732636,640000.0,Hopper-v3,TD3
129,563.7079482231832,645000.0,Hopper-v3,TD3
130,281.65262959084896,650000.0,Hopper-v3,TD3
131,656.8701505222801,655000.0,Hopper-v3,TD3
132,696.576154988185,660000.0,Hopper-v3,TD3
133,931.4423451708969,665000.0,Hopper-v3,TD3
134,629.0591969810623,670000.0,Hopper-v3,TD3
135,650.4672929156959,675000.0,Hopper-v3,TD3
136,678.6914870859504,680000.0,Hopper-v3,TD3
137,893.918549939199,685000.0,Hopper-v3,TD3
138,426.98213351227787,690000.0,Hopper-v3,TD3
139,523.9792026855396,695000.0,Hopper-v3,TD3
140,2640.641567621741,700000.0,Hopper-v3,TD3
141,2439.553755371885,705000.0,Hopper-v3,TD3
142,2074.1390023944928,710000.0,Hopper-v3,TD3
143,2723.0457666443713,715000.0,Hopper-v3,TD3
144,3151.0458510572644,720000.0,Hopper-v3,TD3
145,1636.8582459610275,725000.0,Hopper-v3,TD3
146,1572.8386611477613,730000.0,Hopper-v3,TD3
147,2972.358258668409,735000.0,Hopper-v3,TD3
148,2944.5896427761772,740000.0,Hopper-v3,TD3
149,2978.29293812583,745000.0,Hopper-v3,TD3
150,3178.0521347772337,750000.0,Hopper-v3,TD3
151,3049.55482846643,755000.0,Hopper-v3,TD3
152,2926.188347445776,760000.0,Hopper-v3,TD3
153,2265.0634407686875,765000.0,Hopper-v3,TD3
154,2916.43672331832,770000.0,Hopper-v3,TD3
155,2707.0152756625876,775000.0,Hopper-v3,TD3
156,2907.3634226344193,780000.0,Hopper-v3,TD3
157,2649.0580929308517,785000.0,Hopper-v3,TD3
158,1204.4649594693778,790000.0,Hopper-v3,TD3
159,2977.2421685778327,795000.0,Hopper-v3,TD3
160,2311.3433463507586,800000.0,Hopper-v3,TD3
161,3208.1518672170005,805000.0,Hopper-v3,TD3
162,1530.5892609982457,810000.0,Hopper-v3,TD3
163,3098.576075357057,815000.0,Hopper-v3,TD3
164,3054.879495222179,820000.0,Hopper-v3,TD3
165,3238.8751502669156,825000.0,Hopper-v3,TD3
166,3236.146553415534,830000.0,Hopper-v3,TD3
167,3247.7546324313676,835000.0,Hopper-v3,TD3
168,3259.518781607524,840000.0,Hopper-v3,TD3
169,3054.2175090691335,845000.0,Hopper-v3,TD3
170,3118.5516848385387,850000.0,Hopper-v3,TD3
171,3281.756510401293,855000.0,Hopper-v3,TD3
172,3186.8364088322046,860000.0,Hopper-v3,TD3
173,3145.5787027055717,865000.0,Hopper-v3,TD3
174,3196.9927738373144,870000.0,Hopper-v3,TD3
175,3073.761367362252,875000.0,Hopper-v3,TD3
176,1029.137021768113,880000.0,Hopper-v3,TD3
177,3063.2263090666643,885000.0,Hopper-v3,TD3
178,3061.381763008212,890000.0,Hopper-v3,TD3
179,3004.2351169676817,895000.0,Hopper-v3,TD3
180,3170.756681485721,900000.0,Hopper-v3,TD3
181,3245.5557338518056,905000.0,Hopper-v3,TD3
182,3230.2468196831273,910000.0,Hopper-v3,TD3
183,3283.9543378802214,915000.0,Hopper-v3,TD3
184,3249.3066878801137,920000.0,Hopper-v3,TD3
185,3170.1002201925658,925000.0,Hopper-v3,TD3
186,3155.7765995845957,930000.0,Hopper-v3,TD3
187,3016.1235636671468,935000.0,Hopper-v3,TD3
188,3226.7427039889567,940000.0,Hopper-v3,TD3
189,3191.0180535340073,945000.0,Hopper-v3,TD3
190,3179.837094893447,950000.0,Hopper-v3,TD3
191,3191.096232514601,955000.0,Hopper-v3,TD3
192,3230.89569728171,960000.0,Hopper-v3,TD3
193,3271.9421627294396,965000.0,Hopper-v3,TD3
194,3212.94205759138,970000.0,Hopper-v3,TD3
195,3212.9553998712354,975000.0,Hopper-v3,TD3
196,3261.2756753451117,980000.0,Hopper-v3,TD3
197,2275.2355283749725,985000.0,Hopper-v3,TD3
198,3246.9298857723784,990000.0,Hopper-v3,TD3
199,3194.150298971279,995000.0,Hopper-v3,TD3
200,3233.93802861478,1000000.0,Hopper-v3,TD3
