index,Average Return,Timesteps,env,algorithm_name
0,16.912669360375492,0.0,Hopper-v3,TD3_L
1,16.909652081038296,5000.0,Hopper-v3,TD3_L
2,17.048365786523274,10000.0,Hopper-v3,TD3_L
3,175.51553077333583,15000.0,Hopper-v3,TD3_L
4,173.5643738928955,20000.0,Hopper-v3,TD3_L
5,177.87060168157635,25000.0,Hopper-v3,TD3_L
6,121.70051381298867,30000.0,Hopper-v3,TD3_L
7,226.05315831735385,35000.0,Hopper-v3,TD3_L
8,271.95546875231514,40000.0,Hopper-v3,TD3_L
9,253.92097648720687,45000.0,Hopper-v3,TD3_L
10,280.0820347801778,50000.0,Hopper-v3,TD3_L
11,267.17112243267974,55000.0,Hopper-v3,TD3_L
12,272.0166917511384,60000.0,Hopper-v3,TD3_L
13,321.72832983109646,65000.0,Hopper-v3,TD3_L
14,311.19897463019987,70000.0,Hopper-v3,TD3_L
15,330.6344929064376,75000.0,Hopper-v3,TD3_L
16,320.2707315281049,80000.0,Hopper-v3,TD3_L
17,317.61300188076336,85000.0,Hopper-v3,TD3_L
18,321.0180807861117,90000.0,Hopper-v3,TD3_L
19,277.28212214117127,95000.0,Hopper-v3,TD3_L
20,268.3133851004294,100000.0,Hopper-v3,TD3_L
21,284.2677703652092,105000.0,Hopper-v3,TD3_L
22,313.9509100647896,110000.0,Hopper-v3,TD3_L
23,308.10391325189215,115000.0,Hopper-v3,TD3_L
24,280.40210242410006,120000.0,Hopper-v3,TD3_L
25,307.8385409080189,125000.0,Hopper-v3,TD3_L
26,334.9366249155859,130000.0,Hopper-v3,TD3_L
27,315.1138230140308,135000.0,Hopper-v3,TD3_L
28,304.3870764685175,140000.0,Hopper-v3,TD3_L
29,321.1711599637139,145000.0,Hopper-v3,TD3_L
30,357.9620566882815,150000.0,Hopper-v3,TD3_L
31,342.22037796471807,155000.0,Hopper-v3,TD3_L
32,342.3084924164108,160000.0,Hopper-v3,TD3_L
33,307.4090579957588,165000.0,Hopper-v3,TD3_L
34,322.1522247133688,170000.0,Hopper-v3,TD3_L
35,298.71105946536693,175000.0,Hopper-v3,TD3_L
36,313.6923998272237,180000.0,Hopper-v3,TD3_L
37,347.99456525584577,185000.0,Hopper-v3,TD3_L
38,378.48583860131225,190000.0,Hopper-v3,TD3_L
39,348.2053461406029,195000.0,Hopper-v3,TD3_L
40,351.0233562212332,200000.0,Hopper-v3,TD3_L
