index,Average Return,Timesteps,env,algorithm_name
0,7.927284642053249,0.0,Hopper-v3,TD3_Q2b
1,8.012520419954912,5000.0,Hopper-v3,TD3_Q2b
2,7.817690488027898,10000.0,Hopper-v3,TD3_Q2b
3,42.41705222173253,15000.0,Hopper-v3,TD3_Q2b
4,174.52978435314077,20000.0,Hopper-v3,TD3_Q2b
5,204.36836902238483,25000.0,Hopper-v3,TD3_Q2b
6,313.83811208435367,30000.0,Hopper-v3,TD3_Q2b
7,350.96638399848786,35000.0,Hopper-v3,TD3_Q2b
8,348.08910477423285,40000.0,Hopper-v3,TD3_Q2b
9,265.17767291343057,45000.0,Hopper-v3,TD3_Q2b
10,281.15251137880296,50000.0,Hopper-v3,TD3_Q2b
11,300.92346380726525,55000.0,Hopper-v3,TD3_Q2b
12,288.93210478827183,60000.0,Hopper-v3,TD3_Q2b
13,329.2398744076023,65000.0,Hopper-v3,TD3_Q2b
14,308.4136650680156,70000.0,Hopper-v3,TD3_Q2b
15,383.9516611127708,75000.0,Hopper-v3,TD3_Q2b
16,331.8502690562106,80000.0,Hopper-v3,TD3_Q2b
17,248.09737504934643,85000.0,Hopper-v3,TD3_Q2b
18,342.57569643091256,90000.0,Hopper-v3,TD3_Q2b
19,375.5655212590083,95000.0,Hopper-v3,TD3_Q2b
20,305.86022234193103,100000.0,Hopper-v3,TD3_Q2b
21,897.2177202990604,105000.0,Hopper-v3,TD3_Q2b
22,631.4088152647074,110000.0,Hopper-v3,TD3_Q2b
23,452.0295386410711,115000.0,Hopper-v3,TD3_Q2b
24,330.32111951879534,120000.0,Hopper-v3,TD3_Q2b
25,382.82973774961886,125000.0,Hopper-v3,TD3_Q2b
26,556.7044151976568,130000.0,Hopper-v3,TD3_Q2b
27,883.9478381155683,135000.0,Hopper-v3,TD3_Q2b
28,728.6599460397766,140000.0,Hopper-v3,TD3_Q2b
29,818.2630867199631,145000.0,Hopper-v3,TD3_Q2b
30,1537.015006457661,150000.0,Hopper-v3,TD3_Q2b
31,848.9313405488735,155000.0,Hopper-v3,TD3_Q2b
32,1195.719300526634,160000.0,Hopper-v3,TD3_Q2b
33,1119.7493739581735,165000.0,Hopper-v3,TD3_Q2b
34,871.1069839351891,170000.0,Hopper-v3,TD3_Q2b
35,707.8682589717006,175000.0,Hopper-v3,TD3_Q2b
36,916.8946059112648,180000.0,Hopper-v3,TD3_Q2b
37,890.4499154496876,185000.0,Hopper-v3,TD3_Q2b
38,1357.1014354050685,190000.0,Hopper-v3,TD3_Q2b
39,2142.6226923318363,195000.0,Hopper-v3,TD3_Q2b
40,1328.8722777117123,200000.0,Hopper-v3,TD3_Q2b
41,3174.7460931582636,205000.0,Hopper-v3,TD3_Q2b
42,1312.0179189573555,210000.0,Hopper-v3,TD3_Q2b
43,2669.33236538397,215000.0,Hopper-v3,TD3_Q2b
44,1739.1285755434692,220000.0,Hopper-v3,TD3_Q2b
45,986.9467386102136,225000.0,Hopper-v3,TD3_Q2b
46,3354.9327080217363,230000.0,Hopper-v3,TD3_Q2b
47,2589.1987741963794,235000.0,Hopper-v3,TD3_Q2b
48,3387.1758488567916,240000.0,Hopper-v3,TD3_Q2b
49,1837.1608350991312,245000.0,Hopper-v3,TD3_Q2b
50,2870.144647647742,250000.0,Hopper-v3,TD3_Q2b
51,2571.08699484026,255000.0,Hopper-v3,TD3_Q2b
52,3454.1244723996133,260000.0,Hopper-v3,TD3_Q2b
53,3363.0024424251214,265000.0,Hopper-v3,TD3_Q2b
54,3149.148398357475,270000.0,Hopper-v3,TD3_Q2b
55,3203.9497632192024,275000.0,Hopper-v3,TD3_Q2b
56,3263.9304928729207,280000.0,Hopper-v3,TD3_Q2b
57,2400.289890352754,285000.0,Hopper-v3,TD3_Q2b
58,3079.660011852531,290000.0,Hopper-v3,TD3_Q2b
59,3375.5218824641042,295000.0,Hopper-v3,TD3_Q2b
60,2060.4510220966263,300000.0,Hopper-v3,TD3_Q2b
61,999.4584617135395,305000.0,Hopper-v3,TD3_Q2b
62,1127.3847590408682,310000.0,Hopper-v3,TD3_Q2b
