index,Average Return,Timesteps,env,algorithm_name
0,148.44199813800813,0.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
1,144.52680685475462,5000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
2,147.90165664836235,10000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
3,274.9527377669097,15000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
4,273.7214438311312,20000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
5,279.1791328936229,25000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
6,233.51471675888047,30000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
7,440.80534428124685,35000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
8,373.30844715385604,40000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
9,356.44375998259414,45000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
10,282.5174628894238,50000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
11,431.1009344827682,55000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
12,327.9018847071352,60000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
13,322.55275767837094,65000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
14,412.6873532242692,70000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
15,428.05324281343894,75000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
16,361.77453125352963,80000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
17,443.1632765642254,85000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
18,405.9755098741365,90000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
19,480.35350815240133,95000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
20,480.08765922152014,100000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
21,494.3722928693659,105000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
22,571.8646512851734,110000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
23,437.000057738244,115000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
24,467.99436332400967,120000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
25,569.1259341195903,125000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
26,404.7262279985172,130000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
27,396.91078048851966,135000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
28,507.15793241237526,140000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
29,407.66361116492897,145000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
30,465.7307751791881,150000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
31,592.1027310526337,155000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
32,544.6499164976206,160000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
33,442.0057274778834,165000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
34,619.359875100919,170000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
35,409.73935221398244,175000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
36,352.44863853551146,180000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
37,530.7489906156527,185000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
38,669.8854977329793,190000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
39,606.1767311111364,195000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
40,480.4840432662587,200000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
41,628.8624241645912,205000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
42,548.9715307748294,210000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
43,655.0982797963577,215000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
44,661.3943708959531,220000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
45,739.2640742481562,225000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
46,554.5378501616545,230000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
47,723.5369813441151,235000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
48,675.4478365231488,240000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
49,693.0580953207693,245000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
50,610.1337838654366,250000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
51,722.7999180835757,255000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
52,555.222066661054,260000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
53,733.3421807539497,265000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
54,811.7495470039499,270000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
55,639.6089708939046,275000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
56,1018.5172353205623,280000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
57,972.1592301542165,285000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
58,992.4553573491855,290000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
59,658.7720840645891,295000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
60,766.2467435511957,300000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
61,825.219233611162,305000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
62,1039.3905239516632,310000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
63,907.573989933263,315000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
64,947.5136130967223,320000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
65,1695.8967757590526,325000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
66,1119.4036754150034,330000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
67,995.8377609067471,335000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
68,1582.2381353203466,340000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
69,1386.6682043877454,345000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
70,1018.7106334761535,350000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
71,1231.487279177562,355000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
72,1023.7084689286819,360000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
73,1296.9595688980523,365000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
74,1205.3488199235815,370000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
75,1278.6478609989229,375000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
76,1936.5140995590525,380000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
77,1042.3308874532745,385000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
78,1578.076229762892,390000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
79,2605.2249664190285,395000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
80,3400.7829135404586,400000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
81,2299.062284944774,405000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
82,3658.1092137894693,410000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
83,1592.823031055675,415000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
84,4715.679342405088,420000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
85,3666.245397833309,425000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
86,4535.826811527469,430000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
87,3407.8851433930677,435000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
88,2467.426730708272,440000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
89,3918.7371814405874,445000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
90,4752.573569333233,450000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
91,2432.02830018904,455000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
92,3633.6312745076852,460000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
93,4227.654740371884,465000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
94,2963.6781202280445,470000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
95,2467.084114571154,475000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
96,4150.396559515045,480000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
97,4227.4927512382355,485000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
98,3051.2177656581994,490000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
99,1742.583545308363,495000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
100,4258.133539884234,500000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
101,4015.638970356266,505000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
102,1668.2318853025888,510000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
103,4722.152857925166,515000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
104,4137.791092286676,520000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
105,4028.5861706324067,525000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
106,4191.943332018973,530000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
107,3173.6747763981543,535000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
108,3564.1269333479113,540000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
109,4161.937250168441,545000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
110,4257.055580670856,550000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
111,4898.10275482347,555000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
112,3736.5618589067767,560000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
113,3975.423125943301,565000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
114,4775.086473708732,570000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
115,4490.206029088398,575000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
116,3440.8220600064415,580000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
117,2854.90105282638,585000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
118,4298.19291084602,590000.0,Humanoid-v3,TD3_Q2ahidden3x64_facp02_zeros
