index,Average Return,Timesteps,env,algorithm_name
0,206.5348773326,0.0,Humanoid-v3,TD3
1,206.4818180186697,5000.0,Humanoid-v3,TD3
2,209.1629359783986,10000.0,Humanoid-v3,TD3
3,280.6937659467268,15000.0,Humanoid-v3,TD3
4,238.1787913795641,20000.0,Humanoid-v3,TD3
5,271.0854110079418,25000.0,Humanoid-v3,TD3
6,246.47567010067692,30000.0,Humanoid-v3,TD3
7,281.47368914995144,35000.0,Humanoid-v3,TD3
8,287.65785313659615,40000.0,Humanoid-v3,TD3
9,284.7027526438661,45000.0,Humanoid-v3,TD3
10,403.2845654505266,50000.0,Humanoid-v3,TD3
11,335.89296989398184,55000.0,Humanoid-v3,TD3
12,350.1266399850231,60000.0,Humanoid-v3,TD3
13,391.84329488120926,65000.0,Humanoid-v3,TD3
14,387.1586166988135,70000.0,Humanoid-v3,TD3
15,373.33329117815595,75000.0,Humanoid-v3,TD3
16,399.6622594805349,80000.0,Humanoid-v3,TD3
17,399.3579807541756,85000.0,Humanoid-v3,TD3
18,402.61386339668576,90000.0,Humanoid-v3,TD3
19,394.3930366593231,95000.0,Humanoid-v3,TD3
20,450.2870650588704,100000.0,Humanoid-v3,TD3
21,397.88845530962436,105000.0,Humanoid-v3,TD3
22,416.3829291175586,110000.0,Humanoid-v3,TD3
23,510.6382244799197,115000.0,Humanoid-v3,TD3
24,485.12923652618673,120000.0,Humanoid-v3,TD3
25,475.7007035468193,125000.0,Humanoid-v3,TD3
26,494.80905105248496,130000.0,Humanoid-v3,TD3
27,437.4425471212113,135000.0,Humanoid-v3,TD3
28,522.7091168729559,140000.0,Humanoid-v3,TD3
29,479.2771401855519,145000.0,Humanoid-v3,TD3
30,528.0584468331739,150000.0,Humanoid-v3,TD3
31,589.0189339511197,155000.0,Humanoid-v3,TD3
32,412.4150304226332,160000.0,Humanoid-v3,TD3
33,474.7638850061682,165000.0,Humanoid-v3,TD3
34,527.2160084215151,170000.0,Humanoid-v3,TD3
35,541.7147614900573,175000.0,Humanoid-v3,TD3
36,595.2152156684734,180000.0,Humanoid-v3,TD3
37,560.8864211418343,185000.0,Humanoid-v3,TD3
38,440.13535107578355,190000.0,Humanoid-v3,TD3
39,719.8256861343125,195000.0,Humanoid-v3,TD3
40,593.3519265533625,200000.0,Humanoid-v3,TD3
41,599.0752875753328,205000.0,Humanoid-v3,TD3
42,549.3437160909914,210000.0,Humanoid-v3,TD3
43,569.9038182640484,215000.0,Humanoid-v3,TD3
44,536.483517817264,220000.0,Humanoid-v3,TD3
45,649.3571329387453,225000.0,Humanoid-v3,TD3
46,696.9314958561545,230000.0,Humanoid-v3,TD3
47,703.9265470211126,235000.0,Humanoid-v3,TD3
48,745.8364975992597,240000.0,Humanoid-v3,TD3
49,887.9396855789555,245000.0,Humanoid-v3,TD3
50,868.3221324763811,250000.0,Humanoid-v3,TD3
51,760.9810721637693,255000.0,Humanoid-v3,TD3
52,665.5471437858088,260000.0,Humanoid-v3,TD3
53,775.5393243036713,265000.0,Humanoid-v3,TD3
54,763.2075952663661,270000.0,Humanoid-v3,TD3
55,729.6330694880709,275000.0,Humanoid-v3,TD3
56,1009.1511471382566,280000.0,Humanoid-v3,TD3
57,1449.3822304075409,285000.0,Humanoid-v3,TD3
58,1203.7496691300382,290000.0,Humanoid-v3,TD3
59,895.90471290154,295000.0,Humanoid-v3,TD3
60,764.669841146014,300000.0,Humanoid-v3,TD3
61,1623.9556303171007,305000.0,Humanoid-v3,TD3
62,1032.90059773955,310000.0,Humanoid-v3,TD3
63,1244.4774485348446,315000.0,Humanoid-v3,TD3
64,1133.314339578807,320000.0,Humanoid-v3,TD3
65,1803.8620820973676,325000.0,Humanoid-v3,TD3
66,2890.467605676584,330000.0,Humanoid-v3,TD3
67,3977.3530647072084,335000.0,Humanoid-v3,TD3
68,2084.0663140287384,340000.0,Humanoid-v3,TD3
69,4171.606019005007,345000.0,Humanoid-v3,TD3
70,4421.954315393934,350000.0,Humanoid-v3,TD3
71,4226.162682024409,355000.0,Humanoid-v3,TD3
72,3731.144472156705,360000.0,Humanoid-v3,TD3
73,3962.1603463088372,365000.0,Humanoid-v3,TD3
74,4115.315010350116,370000.0,Humanoid-v3,TD3
75,2788.4767133196674,375000.0,Humanoid-v3,TD3
76,3129.186953041638,380000.0,Humanoid-v3,TD3
77,3804.105230086681,385000.0,Humanoid-v3,TD3
78,3036.67346730102,390000.0,Humanoid-v3,TD3
79,4044.912695450819,395000.0,Humanoid-v3,TD3
80,4591.562598147327,400000.0,Humanoid-v3,TD3
81,4705.266525662732,405000.0,Humanoid-v3,TD3
82,3458.397014571143,410000.0,Humanoid-v3,TD3
