index,Average Return,Timesteps,env,algorithm_name
0,114.86880754604019,0.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
1,101.19595229126266,5000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
2,105.64523619899501,10000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
3,101.6311037409975,15000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
4,90.15658708710575,20000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
5,111.2881963480005,25000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
6,108.55256425455173,30000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
7,92.73212686243845,35000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
8,93.88195834511023,40000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
9,85.61464463978155,45000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
10,266.0693725667794,50000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
11,265.7119023260581,55000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
12,274.2457211220288,60000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
13,272.11405251359446,65000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
14,273.55886786636245,70000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
15,495.9823925676525,75000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
16,420.5969070490037,80000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
17,342.43010459895373,85000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
18,415.02071892855145,90000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
19,379.49697393143595,95000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
20,89.63739986062956,100000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
21,114.749022230729,105000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
22,144.21313577962482,110000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
23,159.7657178188369,115000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
24,166.57657534020188,120000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
25,270.26389196811226,125000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
26,228.59068389565732,130000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
27,217.86550811102933,135000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
28,211.76827411679352,140000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
