index,Average Return,Timesteps,env,algorithm_name
0,148.01801429426322,0.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
1,146.01192005181758,5000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
2,146.20787301237533,10000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
3,148.59938759348742,15000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
4,147.65539297396373,20000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
5,149.51988178378298,25000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
6,148.37554160717627,30000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
7,143.28194790730046,35000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
8,141.66878347639968,40000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
9,144.2062820876594,45000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
10,245.18965146951487,50000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
11,242.74760865503146,55000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
12,244.466956360403,60000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
13,241.66834377498418,65000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
14,246.80355057770072,70000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
15,236.76695050705206,75000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
16,233.5340779186526,80000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
17,237.46128277494253,85000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
18,235.7746327955217,90000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
19,237.04034480282567,95000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
20,271.75574482931245,100000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
21,256.3631301731135,105000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
22,255.1344050481036,110000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
23,255.10257315653354,115000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
24,222.96197076322147,120000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
25,341.31518609480554,125000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
26,333.9089845870377,130000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
27,346.81200890276517,135000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
28,341.2378176747737,140000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
29,335.46313753579244,145000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
30,304.0962277428215,150000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
31,298.6197204304068,155000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
32,294.6282130716476,160000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
33,299.83167583190914,165000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
34,298.4472507849413,170000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
35,291.2092406940468,175000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
36,294.06902439483656,180000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
37,283.93764070275324,185000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
38,285.6706953363586,190000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
39,283.3505751589913,195000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
40,186.7371398747541,200000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
41,211.65597707484986,205000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
42,222.21568156841946,210000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
43,198.94161155233388,215000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
44,184.06538837879228,220000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
45,359.49905247749996,225000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
46,342.49216621492656,230000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
47,336.55321729124756,235000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
48,343.5526948663912,240000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
49,350.1678631717501,245000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
50,272.39468031429715,250000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
51,287.57782000955865,255000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
52,336.77978602231025,260000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
53,325.9900896854381,265000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
54,337.4465638118569,270000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
55,274.5304292122056,275000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
56,287.83386893369516,280000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
57,274.4390281951511,285000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
58,284.2841208910311,290000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
59,288.67049753537947,295000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
60,419.8487280238416,300000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
61,389.7462951548659,305000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
62,450.0301256163487,310000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
63,490.8351086824183,315000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
64,450.55755160939924,320000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
