index,Average Return,Timesteps,env,algorithm_name
0,305.54419531177166,0.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
1,307.3010912128949,5000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
2,311.36932548697683,10000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
3,282.4087633796513,15000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
4,214.87656017042573,20000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
5,340.85992630430184,25000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
6,314.8551527083441,30000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
7,286.5866249134625,35000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
8,299.312209115641,40000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
9,243.88627643957233,45000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
10,411.3522776301499,50000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
11,333.21285107785405,55000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
12,321.13748633684344,60000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
13,411.186286432426,65000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
14,412.89991050422975,70000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
15,389.71008025997537,75000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
16,417.81874303638006,80000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
17,452.89608200037947,85000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
18,410.3671169388273,90000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
19,467.30273163428853,95000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
20,517.8796942490104,100000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
21,468.01647326574965,105000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
22,431.3128073920828,110000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
23,426.8234994821907,115000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
24,497.0952080895985,120000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
25,483.3850600658976,125000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
26,494.03667546614395,130000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
27,484.95367560578234,135000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
28,527.491549134387,140000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
29,627.7063417914469,145000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
30,456.4044503159395,150000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
31,704.1037905682298,155000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
32,560.5739620791566,160000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
33,477.22496301496784,165000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
34,574.1235542043589,170000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
35,636.0905089051644,175000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
36,657.9356871986454,180000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
37,686.3101044254278,185000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
38,776.3119085594942,190000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
39,709.8013831256052,195000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
40,654.445866546667,200000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
41,613.8799122963042,205000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
42,725.968305602266,210000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
43,577.0310489022054,215000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
44,611.916879460184,220000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
45,635.1579039630002,225000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
46,607.9058899510003,230000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
47,640.7299602080203,235000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
48,637.1526067833797,240000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
49,825.4925165136877,245000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
50,788.2169321760324,250000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
51,663.1453171802517,255000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
52,686.4620164432246,260000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
53,733.7320042939435,265000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
54,798.2138655168427,270000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
55,795.3634782779709,275000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
56,701.384631658637,280000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
57,748.4178430618848,285000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
58,760.6216468761406,290000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
59,732.7747640950927,295000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
60,625.2059786612537,300000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
61,732.5562719086633,305000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
62,682.2353510098048,310000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
63,817.1728817212379,315000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
64,684.8307124699379,320000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
65,522.0157472724546,325000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
66,688.2598459012704,330000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
67,808.528953435237,335000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
68,672.448719598876,340000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
69,842.5236434991969,345000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
70,752.3797890764433,350000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
71,787.2270911813027,355000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
72,919.6122134889504,360000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
73,898.2491448302017,365000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
74,912.4633502246431,370000.0,Humanoid-v3,TD3_Q2a3x64_p02_zeros_run
