index,Average Return,Timesteps,env,algorithm_name
0,-6.141906652376029,0.0,Walker2d-v3,TD3
1,-6.023684234494901,5000.0,Walker2d-v3,TD3
2,-6.114222850450689,10000.0,Walker2d-v3,TD3
3,406.1773959517528,15000.0,Walker2d-v3,TD3
4,0.8020280475974613,20000.0,Walker2d-v3,TD3
5,267.6103801095466,25000.0,Walker2d-v3,TD3
6,295.4724821335266,30000.0,Walker2d-v3,TD3
7,136.8744490894742,35000.0,Walker2d-v3,TD3
8,276.5565632719838,40000.0,Walker2d-v3,TD3
9,201.97683880269497,45000.0,Walker2d-v3,TD3
10,93.87343443555348,50000.0,Walker2d-v3,TD3
11,396.93401731009783,55000.0,Walker2d-v3,TD3
12,442.1953277812261,60000.0,Walker2d-v3,TD3
13,430.9982005353537,65000.0,Walker2d-v3,TD3
14,692.0636492468901,70000.0,Walker2d-v3,TD3
15,323.6551246612109,75000.0,Walker2d-v3,TD3
16,470.63494739912784,80000.0,Walker2d-v3,TD3
17,283.0547394339438,85000.0,Walker2d-v3,TD3
18,412.53903021472314,90000.0,Walker2d-v3,TD3
19,397.0316528456188,95000.0,Walker2d-v3,TD3
20,385.54208337658247,100000.0,Walker2d-v3,TD3
21,438.0443534235769,105000.0,Walker2d-v3,TD3
22,870.9484031474551,110000.0,Walker2d-v3,TD3
23,528.2171869279052,115000.0,Walker2d-v3,TD3
24,600.4012659264255,120000.0,Walker2d-v3,TD3
25,623.8355468385137,125000.0,Walker2d-v3,TD3
26,584.3123484357648,130000.0,Walker2d-v3,TD3
27,667.1748233125348,135000.0,Walker2d-v3,TD3
28,366.06448840990635,140000.0,Walker2d-v3,TD3
29,437.57895088306014,145000.0,Walker2d-v3,TD3
30,631.0322351667367,150000.0,Walker2d-v3,TD3
31,762.9853364464004,155000.0,Walker2d-v3,TD3
32,561.5421859637999,160000.0,Walker2d-v3,TD3
33,578.7610391889916,165000.0,Walker2d-v3,TD3
34,765.2531800378596,170000.0,Walker2d-v3,TD3
35,798.1646087002075,175000.0,Walker2d-v3,TD3
36,605.860838356246,180000.0,Walker2d-v3,TD3
37,746.6913192143553,185000.0,Walker2d-v3,TD3
38,727.5882397505809,190000.0,Walker2d-v3,TD3
39,487.9204394239292,195000.0,Walker2d-v3,TD3
40,528.7568359990732,200000.0,Walker2d-v3,TD3
41,686.8714095193008,205000.0,Walker2d-v3,TD3
42,501.5316211457468,210000.0,Walker2d-v3,TD3
43,467.0733520906897,215000.0,Walker2d-v3,TD3
44,516.4893383812379,220000.0,Walker2d-v3,TD3
45,570.7389068811234,225000.0,Walker2d-v3,TD3
46,1454.306163558667,230000.0,Walker2d-v3,TD3
47,1050.957654129287,235000.0,Walker2d-v3,TD3
48,1189.5622417722384,240000.0,Walker2d-v3,TD3
49,2586.8844928090857,245000.0,Walker2d-v3,TD3
50,2056.0331577892257,250000.0,Walker2d-v3,TD3
51,2772.9040912728087,255000.0,Walker2d-v3,TD3
52,2343.19011979188,260000.0,Walker2d-v3,TD3
53,1214.8449160494415,265000.0,Walker2d-v3,TD3
54,2515.0633970783556,270000.0,Walker2d-v3,TD3
55,2329.110759927976,275000.0,Walker2d-v3,TD3
56,2436.9661768211045,280000.0,Walker2d-v3,TD3
57,1489.6636985558875,285000.0,Walker2d-v3,TD3
58,1985.067909664201,290000.0,Walker2d-v3,TD3
59,2228.0052813297707,295000.0,Walker2d-v3,TD3
60,1091.2340535393946,300000.0,Walker2d-v3,TD3
61,2326.9000512569646,305000.0,Walker2d-v3,TD3
62,2643.332949474041,310000.0,Walker2d-v3,TD3
63,2211.9318822881005,315000.0,Walker2d-v3,TD3
64,2602.9900048228656,320000.0,Walker2d-v3,TD3
65,2394.678679367269,325000.0,Walker2d-v3,TD3
66,3128.749821037596,330000.0,Walker2d-v3,TD3
67,2350.0416391901967,335000.0,Walker2d-v3,TD3
68,3077.049912425823,340000.0,Walker2d-v3,TD3
69,3082.569614190501,345000.0,Walker2d-v3,TD3
70,1679.644036068004,350000.0,Walker2d-v3,TD3
71,3135.83763946379,355000.0,Walker2d-v3,TD3
72,3228.644820333403,360000.0,Walker2d-v3,TD3
73,3092.5523015389567,365000.0,Walker2d-v3,TD3
74,2313.3154320981025,370000.0,Walker2d-v3,TD3
75,2718.497235833697,375000.0,Walker2d-v3,TD3
76,3108.3482872611435,380000.0,Walker2d-v3,TD3
77,3122.3329372410976,385000.0,Walker2d-v3,TD3
78,3268.337385478712,390000.0,Walker2d-v3,TD3
79,3275.0184314981334,395000.0,Walker2d-v3,TD3
80,2875.1847833617267,400000.0,Walker2d-v3,TD3
81,2284.529223418287,405000.0,Walker2d-v3,TD3
82,3102.8266462360903,410000.0,Walker2d-v3,TD3
83,3348.4344146072617,415000.0,Walker2d-v3,TD3
84,3243.273389525437,420000.0,Walker2d-v3,TD3
85,3167.473997077877,425000.0,Walker2d-v3,TD3
86,2980.6585080690465,430000.0,Walker2d-v3,TD3
87,3134.176115766112,435000.0,Walker2d-v3,TD3
88,3296.9058249468144,440000.0,Walker2d-v3,TD3
89,3374.636892218224,445000.0,Walker2d-v3,TD3
90,2340.2604642236442,450000.0,Walker2d-v3,TD3
91,3276.7368921960688,455000.0,Walker2d-v3,TD3
92,3380.9179020012393,460000.0,Walker2d-v3,TD3
93,1791.6485401922953,465000.0,Walker2d-v3,TD3
94,3136.356916990013,470000.0,Walker2d-v3,TD3
95,3001.6558181666287,475000.0,Walker2d-v3,TD3
96,3261.2308442472954,480000.0,Walker2d-v3,TD3
97,3279.045420406055,485000.0,Walker2d-v3,TD3
98,3442.6842383182484,490000.0,Walker2d-v3,TD3
99,3227.607325953102,495000.0,Walker2d-v3,TD3
100,3401.981906874755,500000.0,Walker2d-v3,TD3
101,2845.0552372694533,505000.0,Walker2d-v3,TD3
102,3210.4459625943846,510000.0,Walker2d-v3,TD3
103,3486.7664263806955,515000.0,Walker2d-v3,TD3
104,3127.1727927559823,520000.0,Walker2d-v3,TD3
105,3400.9713627989245,525000.0,Walker2d-v3,TD3
106,3530.4524953148693,530000.0,Walker2d-v3,TD3
107,3345.2764708248824,535000.0,Walker2d-v3,TD3
108,3512.181188324636,540000.0,Walker2d-v3,TD3
109,3260.4834116182014,545000.0,Walker2d-v3,TD3
110,3407.1790204658673,550000.0,Walker2d-v3,TD3
111,3532.8361487420966,555000.0,Walker2d-v3,TD3
112,3132.3235151516474,560000.0,Walker2d-v3,TD3
113,3512.5678843899027,565000.0,Walker2d-v3,TD3
114,3375.911228721897,570000.0,Walker2d-v3,TD3
115,3479.7781413981625,575000.0,Walker2d-v3,TD3
116,3297.211330163812,580000.0,Walker2d-v3,TD3
117,3533.527256177673,585000.0,Walker2d-v3,TD3
118,3273.309901303127,590000.0,Walker2d-v3,TD3
119,3395.6737864190227,595000.0,Walker2d-v3,TD3
120,3029.2682417204533,600000.0,Walker2d-v3,TD3
121,3562.737055905314,605000.0,Walker2d-v3,TD3
122,3519.909119086453,610000.0,Walker2d-v3,TD3
123,3440.680589376369,615000.0,Walker2d-v3,TD3
124,3470.7248549306764,620000.0,Walker2d-v3,TD3
125,3398.7393023911873,625000.0,Walker2d-v3,TD3
126,3135.957244634706,630000.0,Walker2d-v3,TD3
127,3469.280678993312,635000.0,Walker2d-v3,TD3
128,3361.2648128438705,640000.0,Walker2d-v3,TD3
129,3384.0065403394233,645000.0,Walker2d-v3,TD3
130,3455.940468394787,650000.0,Walker2d-v3,TD3
131,3457.934661677226,655000.0,Walker2d-v3,TD3
132,3355.9066660533963,660000.0,Walker2d-v3,TD3
133,3447.0008369264456,665000.0,Walker2d-v3,TD3
134,3444.5193497644186,670000.0,Walker2d-v3,TD3
135,3354.453927797509,675000.0,Walker2d-v3,TD3
136,3428.1514795094286,680000.0,Walker2d-v3,TD3
137,3384.7068591722796,685000.0,Walker2d-v3,TD3
138,3497.701071423373,690000.0,Walker2d-v3,TD3
139,3394.344138508698,695000.0,Walker2d-v3,TD3
140,3380.2502099777603,700000.0,Walker2d-v3,TD3
141,2968.1089204345926,705000.0,Walker2d-v3,TD3
142,3383.2153281825767,710000.0,Walker2d-v3,TD3
143,3401.361872018857,715000.0,Walker2d-v3,TD3
144,3389.176502886473,720000.0,Walker2d-v3,TD3
145,3562.370909309703,725000.0,Walker2d-v3,TD3
146,3475.842465839926,730000.0,Walker2d-v3,TD3
147,3439.882647489428,735000.0,Walker2d-v3,TD3
148,3590.3674420764605,740000.0,Walker2d-v3,TD3
149,3574.8323599365663,745000.0,Walker2d-v3,TD3
150,3657.898230421186,750000.0,Walker2d-v3,TD3
151,3588.8179487107395,755000.0,Walker2d-v3,TD3
152,3652.8406646783287,760000.0,Walker2d-v3,TD3
153,3649.7024994465232,765000.0,Walker2d-v3,TD3
154,3445.869601215071,770000.0,Walker2d-v3,TD3
155,3508.775009656098,775000.0,Walker2d-v3,TD3
156,3488.884665802832,780000.0,Walker2d-v3,TD3
157,3433.9488025658275,785000.0,Walker2d-v3,TD3
158,3666.692625494374,790000.0,Walker2d-v3,TD3
159,3479.874558858676,795000.0,Walker2d-v3,TD3
160,3461.821193383033,800000.0,Walker2d-v3,TD3
161,3445.5908979176684,805000.0,Walker2d-v3,TD3
162,3545.891987539003,810000.0,Walker2d-v3,TD3
163,3627.6225882289873,815000.0,Walker2d-v3,TD3
164,3644.5629138675904,820000.0,Walker2d-v3,TD3
165,3692.2399709126025,825000.0,Walker2d-v3,TD3
166,3533.1103202943937,830000.0,Walker2d-v3,TD3
167,3553.592725073403,835000.0,Walker2d-v3,TD3
168,3621.193863584961,840000.0,Walker2d-v3,TD3
169,3141.8133721372906,845000.0,Walker2d-v3,TD3
170,3442.8599088883357,850000.0,Walker2d-v3,TD3
171,2568.793187497948,855000.0,Walker2d-v3,TD3
172,3523.0748132372255,860000.0,Walker2d-v3,TD3
173,3444.813017039773,865000.0,Walker2d-v3,TD3
174,3591.528366027246,870000.0,Walker2d-v3,TD3
175,3475.190398298653,875000.0,Walker2d-v3,TD3
176,3533.7364273728663,880000.0,Walker2d-v3,TD3
177,3573.730926918626,885000.0,Walker2d-v3,TD3
178,3675.782952990484,890000.0,Walker2d-v3,TD3
179,3523.4806575214848,895000.0,Walker2d-v3,TD3
180,3511.3515183375102,900000.0,Walker2d-v3,TD3
181,3377.548271996933,905000.0,Walker2d-v3,TD3
182,3509.946666708636,910000.0,Walker2d-v3,TD3
183,3509.625377065341,915000.0,Walker2d-v3,TD3
184,3351.2713018850363,920000.0,Walker2d-v3,TD3
185,3426.0483449896697,925000.0,Walker2d-v3,TD3
186,3415.250851430415,930000.0,Walker2d-v3,TD3
187,3525.1335439928107,935000.0,Walker2d-v3,TD3
188,3437.4207627804653,940000.0,Walker2d-v3,TD3
189,3467.848476641896,945000.0,Walker2d-v3,TD3
190,3369.049197287438,950000.0,Walker2d-v3,TD3
191,3255.0832317961194,955000.0,Walker2d-v3,TD3
192,3335.9462707366374,960000.0,Walker2d-v3,TD3
193,3344.7451230135025,965000.0,Walker2d-v3,TD3
